Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
Siberian Husky,Medium,Male,3.0,Spayed,,2.0,10.0,2.0,1.0,14.97
Poodle,Small,Male,5.0,Spayed,Low,4.0,10.0,1.0,1.0,14.97
Boxer,Medium,Male,5.0,,Moderate,4.0,12.0,2.0,2.0,17.24
Yorkshire Terrier,Small,Male,12.0,,Low,2.0,11.0,4.0,1.0,18.14
Doberman,Large,Male,10.0,,Very Active,3.0,,3.0,1.0,24.49
,Medium,Male,7.0,,Active,5.0,11.0,2.0,0.0,
Labrador Retriever,Large,Male,2.0,Neutered,Active,0.0,10.0,1.0,1.0,25.85
Bulldog,Medium,Female,8.0,Neutered,Moderate,2.0,9.0,1.0,2.0,17.24
Siberian Husky,Medium,Male,7.0,Spayed,Very Active,3.0,12.0,1.0,2.0,17.69
Chihuahua,Small,Female,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,20.41
Siberian Husky,Medium,Male,1.0,Neutered,Active,1.0,12.0,2.0,1.0,27.67
Australian Shepherd,Medium,Male,5.0,Neutered,,5.0,12.0,0.0,4.0,19.5
Doberman,Large,Female,9.0,Spayed,,2.0,13.0,0.0,1.0,
Bulldog,Medium,Female,9.0,Spayed,Very Active,3.0,13.0,1.0,2.0,11.34
Great Dane,Large,Female,11.0,Spayed,Active,1.0,12.0,1.0,2.0,27.22
Poodle,Small,Male,8.0,Neutered,Active,1.0,13.0,2.0,0.0,29.94
Beagle,Small,Male,6.0,Spayed,Low,2.0,9.0,2.0,1.0,28.58
Doberman,,Male,7.0,Neutered,Low,2.0,10.0,2.0,4.0,17.69
Labrador Retriever,Large,Female,13.0,Neutered,,2.0,10.0,2.0,1.0,4.54
Yorkshire Terrier,Small,Female,1.0,,Very Active,3.0,11.0,0.0,,18.6
Beagle,Small,Male,,Neutered,Moderate,2.0,14.0,1.0,0.0,13.15
Yorkshire Terrier,Small,Female,10.0,Spayed,,4.0,13.0,3.0,3.0,23.13
Siberian Husky,Medium,,8.0,,Active,2.0,,1.0,2.0,26.31
Boxer,Medium,Male,4.0,Neutered,Moderate,4.0,12.0,3.0,2.0,28.58
Siberian Husky,Medium,Male,4.0,Neutered,Low,3.0,12.0,0.0,1.0,16.33
Labrador Retriever,Large,Male,4.0,Spayed,Active,3.0,9.0,2.0,1.0,9.07
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,2.0,11.0,,3.0,22.68
,Large,Female,6.0,Neutered,Moderate,1.0,9.0,1.0,0.0,22.68
Siberian Husky,Medium,Male,4.0,,Moderate,1.0,10.0,2.0,0.0,12.25
Chihuahua,Small,Male,4.0,Spayed,Active,0.0,12.0,1.0,0.0,24.95
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,1.0,1.0,23.13
Labrador Retriever,Large,Male,4.0,Spayed,Active,2.0,13.0,1.0,1.0,19.5
German Shepherd,Large,Female,10.0,,Active,4.0,9.0,3.0,0.0,22.68
Beagle,Small,Male,4.0,Neutered,,3.0,,2.0,1.0,28.12
Chihuahua,Small,Male,11.0,,Active,3.0,10.0,2.0,0.0,16.78
Siberian Husky,Medium,Male,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,18.6
Dachshund,Small,Male,2.0,,,0.0,13.0,0.0,1.0,14.97
Labrador Retriever,Large,Female,4.0,Spayed,,6.0,10.0,0.0,1.0,32.21
Doberman,Large,Female,3.0,Neutered,Low,3.0,14.0,0.0,2.0,21.32
Yorkshire Terrier,Small,Male,3.0,Neutered,,1.0,10.0,0.0,3.0,19.96
Rottweiler,Large,Male,10.0,Neutered,Active,0.0,10.0,0.0,2.0,27.67
Great Dane,Large,Male,3.0,Neutered,Low,5.0,9.0,2.0,2.0,35.38
Yorkshire Terrier,Small,Female,4.0,Neutered,,7.0,8.0,0.0,2.0,20.41
Doberman,Large,Male,9.0,,Active,1.0,11.0,2.0,3.0,5.44
Siberian Husky,Medium,Male,4.0,Neutered,Very Active,3.0,13.0,2.0,2.0,28.12
Labrador Retriever,Large,Female,,Spayed,Active,1.0,10.0,1.0,4.0,18.14
Beagle,Small,Male,11.0,Spayed,Low,1.0,11.0,3.0,3.0,28.12
Yorkshire Terrier,Small,Male,8.0,Spayed,,2.0,11.0,2.0,3.0,22.68
Siberian Husky,Medium,Female,7.0,Neutered,Active,0.0,12.0,1.0,3.0,38.1
Golden Retriever,Large,Female,10.0,Spayed,Low,1.0,12.0,1.0,,26.76
Dachshund,Small,Female,4.0,Spayed,Very Active,3.0,13.0,3.0,2.0,10.43
Siberian Husky,Medium,Male,2.0,,Active,2.0,10.0,3.0,0.0,29.94
Poodle,Small,,5.0,Spayed,Very Active,2.0,12.0,2.0,2.0,14.97
Labrador Retriever,Large,Female,13.0,Spayed,Moderate,2.0,12.0,,0.0,26.31
German Shepherd,Large,Female,12.0,,Low,3.0,10.0,0.0,2.0,21.32
Labrador Retriever,,Female,2.0,,Moderate,2.0,10.0,3.0,3.0,
Boxer,Medium,Male,,,Active,0.0,9.0,3.0,2.0,28.58
Doberman,Large,Male,2.0,Spayed,Active,2.0,10.0,1.0,0.0,23.13
Boxer,Medium,Female,6.0,Spayed,,2.0,11.0,1.0,4.0,30.39
Labrador Retriever,Large,Male,7.0,Spayed,Very Active,1.0,11.0,1.0,2.0,27.67
Doberman,Large,Female,2.0,Neutered,,2.0,11.0,3.0,3.0,24.95
Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,3.0,11.0,1.0,2.0,19.5
German Shepherd,Large,Female,6.0,Spayed,Low,4.0,11.0,2.0,2.0,31.3
Chihuahua,Small,Female,2.0,Spayed,Active,3.0,13.0,0.0,2.0,21.32
Australian Shepherd,Medium,Male,7.0,Spayed,Active,1.0,12.0,4.0,1.0,4.54
Bulldog,Medium,Male,,Neutered,Active,2.0,10.0,1.0,4.0,36.29
Siberian Husky,Medium,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,0.0,27.67
Australian Shepherd,Medium,Male,2.0,,Moderate,4.0,12.0,1.0,1.0,19.96
Rottweiler,Large,Female,5.0,,Very Active,3.0,13.0,3.0,2.0,28.12
Doberman,Large,Male,11.0,,Very Active,,11.0,2.0,4.0,33.11
Siberian Husky,Medium,Female,6.0,Spayed,Low,4.0,12.0,2.0,2.0,11.34
Rottweiler,Large,Female,3.0,Spayed,,3.0,11.0,1.0,1.0,29.03
Beagle,Small,Male,8.0,Neutered,,,11.0,0.0,2.0,26.31
Siberian Husky,Medium,Male,13.0,Spayed,Very Active,1.0,14.0,2.0,4.0,17.24
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,9.0,3.0,2.0,23.59
Doberman,Large,Female,8.0,Spayed,Low,1.0,10.0,2.0,2.0,36.29
Australian Shepherd,Medium,Female,11.0,,Very Active,2.0,10.0,3.0,2.0,27.67
Great Dane,Large,Female,4.0,,Low,0.0,11.0,2.0,2.0,14.97
Bulldog,Medium,Female,12.0,Neutered,Moderate,2.0,12.0,2.0,3.0,20.41
Rottweiler,Large,Male,,Neutered,,1.0,12.0,,1.0,23.59
Siberian Husky,Medium,Female,5.0,Spayed,,1.0,11.0,2.0,2.0,19.05
Boxer,Medium,Female,7.0,Spayed,Moderate,2.0,10.0,2.0,1.0,22.68
German Shepherd,Large,Female,5.0,,,3.0,10.0,1.0,3.0,20.41
Beagle,Small,Male,3.0,,Moderate,1.0,9.0,1.0,3.0,21.32
Great Dane,Large,Male,9.0,Neutered,Moderate,5.0,13.0,2.0,2.0,22.68
German Shepherd,Large,Male,8.0,Neutered,Very Active,4.0,9.0,3.0,,29.94
Boxer,Medium,Female,1.0,Spayed,Moderate,2.0,10.0,3.0,0.0,29.48
Poodle,Small,Female,6.0,Spayed,Moderate,3.0,11.0,2.0,1.0,27.22
,Large,Male,8.0,Spayed,Moderate,5.0,11.0,1.0,1.0,22.23
Labrador Retriever,Large,Male,10.0,Spayed,Very Active,3.0,9.0,1.0,2.0,8.16
German Shepherd,Large,Female,6.0,,Very Active,2.0,10.0,0.0,1.0,18.6
Dachshund,Small,Male,7.0,,Active,2.0,10.0,1.0,3.0,26.31
Siberian Husky,Medium,Male,1.0,,Active,4.0,10.0,2.0,3.0,23.59
Rottweiler,Large,Male,9.0,Spayed,Low,2.0,12.0,1.0,0.0,20.87
Golden Retriever,Large,Female,1.0,Neutered,Active,1.0,12.0,2.0,2.0,38.56
Yorkshire Terrier,Small,Female,1.0,,Active,1.0,10.0,2.0,3.0,16.33
Australian Shepherd,Medium,Male,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,26.76
Doberman,Large,Male,11.0,,Active,1.0,11.0,0.0,1.0,19.96
Bulldog,Medium,Female,7.0,Neutered,Active,1.0,10.0,1.0,1.0,26.76
Great Dane,Large,,12.0,Spayed,Moderate,2.0,10.0,1.0,1.0,19.05
Dachshund,Small,Female,4.0,Spayed,Active,4.0,12.0,3.0,1.0,20.87
German Shepherd,Large,Female,3.0,Neutered,Low,2.0,10.0,1.0,0.0,26.76
Dachshund,Small,Female,5.0,,Very Active,7.0,13.0,2.0,1.0,26.76
Chihuahua,Small,Female,12.0,Spayed,,3.0,11.0,0.0,,30.39
Australian Shepherd,,Male,6.0,Spayed,Active,1.0,12.0,3.0,0.0,24.95
Labrador Retriever,Large,Male,5.0,Neutered,Active,0.0,11.0,2.0,2.0,24.95
Great Dane,Large,Male,2.0,Neutered,,0.0,13.0,0.0,1.0,24.95
Bulldog,Medium,Male,10.0,,Very Active,1.0,11.0,3.0,1.0,30.39
Dachshund,Small,Female,8.0,Spayed,,1.0,11.0,1.0,1.0,29.03
Poodle,Small,Female,3.0,Neutered,Low,3.0,13.0,2.0,3.0,26.31
Labrador Retriever,Large,Male,12.0,Neutered,,1.0,14.0,2.0,4.0,25.4
Beagle,Small,Female,13.0,Neutered,Low,5.0,12.0,2.0,2.0,19.05
Beagle,Small,Male,1.0,Spayed,Very Active,2.0,10.0,1.0,2.0,24.49
Dachshund,Small,Male,13.0,,Active,2.0,11.0,2.0,2.0,10.43
Yorkshire Terrier,Small,Female,8.0,Neutered,Very Active,4.0,13.0,1.0,2.0,14.97
Great Dane,Large,Female,4.0,,,1.0,12.0,2.0,1.0,21.77
Dachshund,Small,Female,13.0,Neutered,Active,3.0,11.0,2.0,1.0,32.21
German Shepherd,,Female,6.0,Neutered,Low,,10.0,2.0,1.0,28.58
Siberian Husky,,Male,1.0,,Very Active,1.0,13.0,1.0,2.0,16.33
Siberian Husky,Medium,Male,1.0,Spayed,Low,2.0,12.0,3.0,1.0,24.49
German Shepherd,Large,Male,13.0,,Active,2.0,14.0,2.0,1.0,24.95
Bulldog,Medium,Female,7.0,Neutered,,4.0,10.0,1.0,2.0,25.4
Poodle,Small,Female,9.0,Spayed,,3.0,12.0,2.0,0.0,21.32
Beagle,Small,Male,3.0,Spayed,Low,2.0,12.0,0.0,0.0,34.47
Chihuahua,Small,Male,4.0,,,4.0,11.0,1.0,3.0,29.48
Great Dane,Large,Male,6.0,Neutered,Active,1.0,10.0,0.0,2.0,16.33
Boxer,Medium,Male,5.0,,Moderate,4.0,13.0,1.0,1.0,26.76
Yorkshire Terrier,Small,Female,1.0,Neutered,Low,1.0,10.0,2.0,4.0,11.34
Doberman,Large,Male,1.0,Spayed,,5.0,9.0,2.0,1.0,15.42
Labrador Retriever,Large,Female,10.0,Spayed,Very Active,2.0,10.0,1.0,3.0,23.13
Golden Retriever,Large,Male,7.0,Spayed,,5.0,11.0,2.0,0.0,28.12
Boxer,Medium,Female,3.0,Spayed,Low,2.0,10.0,1.0,1.0,24.49
Siberian Husky,Medium,Male,6.0,Spayed,Low,3.0,11.0,1.0,2.0,23.59
Golden Retriever,Large,Male,2.0,,Active,6.0,11.0,,2.0,27.67
Poodle,Small,,11.0,Neutered,Active,4.0,12.0,1.0,2.0,17.24
Rottweiler,Large,Male,2.0,Neutered,,2.0,10.0,0.0,3.0,32.21
Dachshund,Small,Male,5.0,,Low,2.0,12.0,,2.0,32.66
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,4.0,8.0,0.0,1.0,34.02
German Shepherd,Large,Female,7.0,,Very Active,4.0,13.0,1.0,1.0,15.88
Australian Shepherd,Medium,Female,5.0,Neutered,Low,5.0,8.0,0.0,3.0,22.23
Rottweiler,Large,Female,2.0,Neutered,Very Active,2.0,12.0,1.0,1.0,26.31
Doberman,Large,Male,10.0,Spayed,,4.0,12.0,1.0,1.0,14.51
Yorkshire Terrier,Small,Male,12.0,,Very Active,2.0,12.0,2.0,4.0,16.78
Australian Shepherd,,Male,13.0,Spayed,,5.0,12.0,1.0,1.0,
Beagle,Small,Female,13.0,Spayed,Active,2.0,11.0,,4.0,29.03
Labrador Retriever,Large,Female,9.0,Spayed,,4.0,10.0,2.0,0.0,25.4
Yorkshire Terrier,Small,Male,2.0,,,2.0,12.0,2.0,1.0,17.24
Labrador Retriever,Large,Male,12.0,Neutered,Active,4.0,12.0,1.0,2.0,31.3
Golden Retriever,Large,Male,9.0,,Active,3.0,10.0,1.0,3.0,28.58
Siberian Husky,Medium,Female,5.0,Spayed,Low,,11.0,0.0,2.0,30.39
Golden Retriever,,Male,2.0,,Very Active,3.0,11.0,4.0,3.0,16.78
German Shepherd,Large,Female,8.0,Neutered,Very Active,0.0,13.0,0.0,1.0,12.7
Yorkshire Terrier,Small,Male,3.0,,Very Active,2.0,10.0,2.0,1.0,26.76
Australian Shepherd,Medium,Female,4.0,Neutered,,2.0,10.0,1.0,4.0,23.13
Doberman,Large,Male,2.0,,Active,5.0,12.0,2.0,0.0,8.62
Doberman,Large,Female,3.0,Spayed,Moderate,3.0,12.0,1.0,0.0,17.24
Australian Shepherd,Medium,Male,10.0,Neutered,Very Active,2.0,12.0,2.0,3.0,21.32
German Shepherd,Large,Female,2.0,Spayed,,4.0,11.0,3.0,0.0,29.48
Labrador Retriever,Large,Male,2.0,Spayed,Moderate,1.0,11.0,,2.0,25.85
Golden Retriever,Large,Male,4.0,Neutered,,,10.0,3.0,1.0,24.49
Yorkshire Terrier,Small,Male,8.0,Neutered,Active,5.0,10.0,3.0,0.0,37.65
Great Dane,Large,,11.0,Neutered,Low,3.0,,2.0,2.0,29.03
Great Dane,Large,Female,1.0,Neutered,,6.0,11.0,3.0,1.0,25.4
Yorkshire Terrier,Small,Female,8.0,Spayed,Moderate,1.0,11.0,2.0,4.0,22.23
Poodle,Small,Male,12.0,Spayed,Active,6.0,10.0,0.0,1.0,29.48
Yorkshire Terrier,Small,Male,2.0,Spayed,Moderate,2.0,11.0,1.0,3.0,22.23
Yorkshire Terrier,Small,Female,4.0,,Very Active,1.0,9.0,,2.0,23.59
Poodle,,Female,11.0,Neutered,Very Active,5.0,11.0,3.0,2.0,32.66
Golden Retriever,Large,Male,5.0,Neutered,Active,1.0,11.0,3.0,3.0,23.59
German Shepherd,Large,Male,5.0,Neutered,Moderate,4.0,10.0,0.0,3.0,25.4
Dachshund,Small,Female,7.0,Spayed,Active,3.0,13.0,1.0,2.0,27.22
Bulldog,Medium,Female,9.0,Neutered,Very Active,5.0,11.0,2.0,1.0,19.5
Doberman,Large,Female,9.0,,Active,1.0,9.0,1.0,3.0,19.05
Labrador Retriever,Large,Male,10.0,Neutered,,3.0,13.0,1.0,0.0,29.03
Doberman,Large,Male,8.0,Spayed,Low,2.0,11.0,3.0,3.0,17.24
Australian Shepherd,Medium,Male,7.0,Spayed,Very Active,0.0,13.0,2.0,0.0,34.02
Golden Retriever,Large,Female,13.0,,Active,,11.0,0.0,1.0,19.96
Bulldog,Medium,Male,9.0,,Very Active,1.0,12.0,2.0,1.0,30.39
Beagle,Small,Female,10.0,Neutered,Very Active,2.0,12.0,1.0,3.0,16.78
Golden Retriever,Large,Male,12.0,,Low,4.0,10.0,2.0,1.0,27.67
Yorkshire Terrier,Small,Male,2.0,Spayed,Low,4.0,14.0,2.0,2.0,16.33
Beagle,Small,Female,9.0,,Low,2.0,9.0,3.0,3.0,18.6
Yorkshire Terrier,Small,Female,1.0,Spayed,Active,3.0,10.0,2.0,1.0,26.76
Boxer,Medium,Female,2.0,,,1.0,8.0,0.0,1.0,24.04
Boxer,Medium,Female,11.0,Neutered,Low,6.0,10.0,2.0,2.0,28.12
Rottweiler,Large,,13.0,Neutered,Low,1.0,12.0,4.0,1.0,33.57
Beagle,Small,Female,11.0,,Active,3.0,12.0,0.0,0.0,34.47
Doberman,Large,Female,4.0,Neutered,,,12.0,1.0,0.0,17.24
Rottweiler,Large,Female,5.0,Neutered,Moderate,2.0,,1.0,,19.05
Labrador Retriever,Large,,1.0,Spayed,Active,6.0,9.0,3.0,1.0,22.68
Australian Shepherd,Medium,Female,10.0,Spayed,Low,0.0,13.0,2.0,2.0,16.33
Rottweiler,Large,Male,7.0,Spayed,Moderate,3.0,10.0,2.0,3.0,15.88
Boxer,Medium,Female,,Spayed,,4.0,13.0,1.0,1.0,22.68
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,12.0,2.0,0.0,23.13
Chihuahua,Small,,6.0,Neutered,Active,1.0,9.0,1.0,2.0,28.12
Australian Shepherd,Medium,Male,11.0,Spayed,Active,3.0,8.0,3.0,1.0,22.23
Dachshund,,Female,7.0,,Moderate,5.0,11.0,3.0,2.0,7.26
Great Dane,Large,Male,9.0,Neutered,,2.0,13.0,3.0,2.0,29.03
Great Dane,Large,Male,1.0,,Very Active,3.0,10.0,2.0,0.0,24.49
Siberian Husky,Medium,Male,6.0,Neutered,Low,4.0,14.0,0.0,1.0,28.12
Yorkshire Terrier,Small,Female,3.0,Spayed,Active,2.0,9.0,1.0,2.0,16.78
Boxer,Medium,Female,6.0,,,3.0,10.0,1.0,3.0,33.57
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,3.0,12.0,1.0,1.0,29.03
Labrador Retriever,Large,Male,,,Moderate,3.0,11.0,1.0,3.0,
Rottweiler,Large,Male,5.0,,Moderate,4.0,12.0,2.0,4.0,31.75
Great Dane,Large,Male,8.0,Neutered,Moderate,3.0,11.0,1.0,1.0,14.06
Boxer,Medium,Male,12.0,Spayed,Low,,10.0,1.0,4.0,18.14
Poodle,Small,Male,5.0,,Very Active,1.0,10.0,3.0,0.0,12.25
German Shepherd,Large,Male,3.0,,,5.0,,2.0,3.0,21.32
Doberman,Large,Male,2.0,,Moderate,4.0,11.0,0.0,3.0,21.32
Poodle,Small,Male,5.0,Spayed,Very Active,2.0,12.0,0.0,1.0,12.25
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,2.0,1.0,24.95
Poodle,Small,Male,5.0,Spayed,Moderate,2.0,11.0,1.0,1.0,27.67
Bulldog,Medium,Male,4.0,Spayed,Low,4.0,10.0,3.0,,30.84
Labrador Retriever,Large,Male,11.0,Neutered,Active,0.0,10.0,1.0,1.0,27.67
Boxer,Medium,Male,11.0,,Active,1.0,11.0,2.0,2.0,26.31
Beagle,Small,Male,13.0,Neutered,Very Active,3.0,,0.0,1.0,8.16
Yorkshire Terrier,Small,Female,1.0,,,4.0,,0.0,0.0,21.32
Dachshund,Small,Female,13.0,,Active,3.0,,2.0,2.0,34.93
German Shepherd,Large,Female,8.0,Neutered,Active,4.0,11.0,1.0,3.0,31.75
Rottweiler,Large,Male,7.0,Spayed,,2.0,9.0,1.0,3.0,19.96
,Small,Male,1.0,Spayed,Moderate,2.0,12.0,0.0,1.0,14.51
Golden Retriever,Large,Female,7.0,,Low,2.0,11.0,2.0,1.0,24.49
Beagle,Small,Female,7.0,Spayed,Moderate,4.0,10.0,1.0,1.0,36.29
Australian Shepherd,Medium,Male,7.0,,Active,,11.0,4.0,2.0,13.15
Dachshund,Small,Female,2.0,Spayed,Low,1.0,11.0,2.0,1.0,27.67
Beagle,Small,Female,13.0,Spayed,Active,1.0,12.0,1.0,1.0,25.85
Yorkshire Terrier,,Male,6.0,,Low,2.0,12.0,0.0,1.0,34.02
Chihuahua,Small,Female,5.0,Neutered,,2.0,10.0,3.0,1.0,14.97
Labrador Retriever,Large,Female,8.0,Neutered,Very Active,3.0,10.0,1.0,3.0,8.62
Yorkshire Terrier,Small,Male,9.0,,Very Active,6.0,10.0,1.0,1.0,14.97
Doberman,Large,Female,11.0,Neutered,Very Active,4.0,12.0,0.0,1.0,36.29
Chihuahua,Small,Female,8.0,Neutered,Moderate,5.0,11.0,1.0,4.0,27.67
Golden Retriever,Large,Male,13.0,Spayed,Moderate,1.0,10.0,1.0,0.0,19.5
Yorkshire Terrier,Small,Male,13.0,,Very Active,0.0,11.0,3.0,0.0,26.31
Dachshund,Small,Female,7.0,Neutered,,2.0,11.0,4.0,1.0,24.04
Yorkshire Terrier,Small,Female,5.0,Spayed,Moderate,2.0,13.0,4.0,1.0,31.3
German Shepherd,Large,,9.0,Neutered,Very Active,2.0,11.0,2.0,0.0,24.04
Great Dane,Large,Female,13.0,Spayed,,3.0,13.0,1.0,3.0,24.04
Australian Shepherd,Medium,Female,10.0,Spayed,Active,4.0,11.0,2.0,1.0,31.3
Yorkshire Terrier,Small,Female,10.0,Spayed,,3.0,,3.0,2.0,19.5
Dachshund,Small,Female,9.0,,Moderate,3.0,9.0,2.0,4.0,27.22
Great Dane,Large,Male,5.0,,,0.0,11.0,1.0,0.0,24.49
Golden Retriever,Large,Male,11.0,Spayed,,6.0,11.0,3.0,,23.13
Bulldog,Medium,Female,4.0,,Very Active,4.0,11.0,1.0,,30.39
Boxer,Medium,Male,10.0,Spayed,Active,3.0,9.0,1.0,3.0,
Siberian Husky,Medium,Female,3.0,,Low,2.0,11.0,1.0,2.0,30.84
Siberian Husky,Medium,Male,12.0,Spayed,Very Active,5.0,12.0,3.0,1.0,27.67
Labrador Retriever,Large,Male,9.0,Neutered,Low,5.0,12.0,2.0,1.0,17.69
Doberman,Large,Male,,Spayed,Very Active,1.0,11.0,1.0,0.0,20.41
Great Dane,Large,Female,4.0,Neutered,Moderate,5.0,11.0,,2.0,17.69
German Shepherd,Large,Female,11.0,Neutered,Low,2.0,11.0,2.0,1.0,29.94
German Shepherd,Large,Male,2.0,Spayed,Low,2.0,11.0,2.0,1.0,22.23
