Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Yorkshire Terrier,Small,Unknown,2.0,Spayed,Unknown,1.0,10.0,3.0,3.0,3.43,Young Adult
Bulldog,Medium,Male,11.0,Spayed,Moderate,2.0,9.0,3.0,3.0,21.74,Senior
Boxer,Medium,Male,9.0,Unknown,Very Active,3.0,12.0,1.0,1.0,25.85,Senior
Rottweiler,Large,Male,11.0,Neutered,Very Active,5.0,14.0,1.0,1.0,40.05,Senior
Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,2.0,10.0,2.0,0.0,4.89,Senior
Dachshund,Unknown,Male,7.0,Spayed,Very Active,2.0,11.0,0.0,1.0,7.52,Adult
Poodle,Small,Male,1.0,Unknown,Active,3.0,11.0,2.0,2.0,13.61,Puppy
Australian Shepherd,Medium,Female,12.0,Unknown,Very Active,2.0,10.0,2.0,1.0,19.5,Senior
Golden Retriever,Large,Male,2.0,Unknown,Low,2.0,14.0,0.0,1.0,31.95,Young Adult
Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,3.0,8.0,3.0,2.0,22.55,Young Adult
Australian Shepherd,Medium,Female,6.0,Neutered,Moderate,5.0,14.0,0.0,3.0,24.04,Adult
Rottweiler,Large,Female,3.0,Neutered,Unknown,4.0,10.0,1.0,0.0,48.91,Young Adult
German Shepherd,Large,Female,10.0,Neutered,Very Active,3.0,11.0,2.0,2.0,36.88,Senior
Australian Shepherd,Medium,Female,4.0,Neutered,Active,3.0,9.0,0.0,1.0,25.4,Young Adult
Chihuahua,Small,Female,9.0,Neutered,Low,0.0,13.0,3.0,1.0,1.79,Senior
Siberian Husky,Medium,Male,3.0,Spayed,Unknown,2.0,10.0,2.0,1.0,25.5,Young Adult
Poodle,Small,Male,5.0,Spayed,Low,4.0,10.0,1.0,1.0,14.97,Adult
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,2.0,34.42,Adult
Yorkshire Terrier,Small,Male,12.0,Unknown,Low,2.0,11.0,4.0,1.0,4.28,Senior
Doberman,Large,Male,10.0,Unknown,Very Active,3.0,11.0,3.0,1.0,28.36,Senior
Unknown,Medium,Male,7.0,Unknown,Active,5.0,11.0,2.0,0.0,22.68,Adult
Labrador Retriever,Large,Male,2.0,Neutered,Active,0.0,10.0,1.0,1.0,25.85,Young Adult
Bulldog,Medium,Female,8.0,Neutered,Moderate,2.0,9.0,1.0,2.0,22.99,Senior
Siberian Husky,Medium,Male,7.0,Spayed,Very Active,3.0,12.0,1.0,2.0,17.69,Adult
Chihuahua,Small,Female,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,2.4,Senior
Siberian Husky,Medium,Male,1.0,Neutered,Active,1.0,12.0,2.0,1.0,22.62,Puppy
Australian Shepherd,Medium,Male,5.0,Neutered,Unknown,5.0,12.0,0.0,4.0,19.5,Adult
Doberman,Large,Female,9.0,Spayed,Unknown,2.0,13.0,0.0,1.0,34.03,Senior
Bulldog,Medium,Female,9.0,Spayed,Very Active,3.0,13.0,1.0,2.0,20.42,Senior
Great Dane,Large,Female,11.0,Spayed,Active,1.0,12.0,1.0,2.0,48.09,Senior
Poodle,Small,Male,8.0,Neutered,Active,1.0,13.0,2.0,0.0,29.94,Senior
Beagle,Small,Male,6.0,Spayed,Low,2.0,9.0,2.0,1.0,9.28,Adult
Doberman,Unknown,Male,7.0,Neutered,Low,2.0,10.0,2.0,4.0,34.98,Adult
Labrador Retriever,Large,Female,13.0,Neutered,Unknown,2.0,10.0,2.0,1.0,30.38,Senior
Yorkshire Terrier,Small,Female,1.0,Unknown,Very Active,3.0,11.0,0.0,1.0,2.34,Puppy
Beagle,Small,Male,6.0,Neutered,Moderate,2.0,14.0,1.0,0.0,13.15,Adult
Yorkshire Terrier,Small,Female,10.0,Spayed,Unknown,4.0,13.0,3.0,3.0,2.11,Senior
Siberian Husky,Medium,Unknown,8.0,Unknown,Active,2.0,11.0,1.0,2.0,26.31,Senior
Boxer,Medium,Male,4.0,Neutered,Moderate,4.0,12.0,3.0,2.0,28.58,Young Adult
Siberian Husky,Medium,Male,4.0,Neutered,Low,3.0,12.0,0.0,1.0,16.33,Young Adult
Labrador Retriever,Large,Male,4.0,Spayed,Active,3.0,9.0,2.0,1.0,31.38,Young Adult
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,2.0,11.0,2.0,3.0,3.08,Senior
Unknown,Large,Female,6.0,Neutered,Moderate,1.0,9.0,1.0,0.0,22.68,Adult
Siberian Husky,Medium,Male,4.0,Unknown,Moderate,1.0,10.0,2.0,0.0,18.97,Young Adult
Chihuahua,Small,Male,4.0,Spayed,Active,0.0,12.0,1.0,0.0,3.44,Young Adult
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,1.0,1.0,23.13,Young Adult
Labrador Retriever,Large,Male,4.0,Spayed,Active,2.0,13.0,1.0,1.0,29.82,Young Adult
German Shepherd,Large,Female,10.0,Unknown,Active,4.0,9.0,3.0,0.0,22.68,Senior
Beagle,Small,Male,4.0,Neutered,Unknown,3.0,11.0,2.0,1.0,15.38,Young Adult
Chihuahua,Small,Male,11.0,Unknown,Active,3.0,10.0,2.0,0.0,2.56,Senior
Siberian Husky,Medium,Male,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,18.6,Senior
Dachshund,Small,Male,2.0,Unknown,Unknown,0.0,13.0,0.0,1.0,6.37,Young Adult
Labrador Retriever,Large,Female,4.0,Spayed,Unknown,6.0,10.0,0.0,1.0,32.21,Young Adult
Doberman,Large,Female,3.0,Neutered,Low,3.0,14.0,0.0,2.0,35.8,Young Adult
Yorkshire Terrier,Small,Male,3.0,Neutered,Unknown,1.0,10.0,0.0,3.0,3.95,Young Adult
Rottweiler,Large,Male,10.0,Neutered,Active,0.0,10.0,0.0,2.0,37.56,Senior
Great Dane,Large,Male,3.0,Neutered,Low,5.0,9.0,2.0,2.0,68.53,Young Adult
Yorkshire Terrier,Small,Female,4.0,Neutered,Unknown,7.0,8.0,0.0,2.0,4.31,Young Adult
Doberman,Large,Male,9.0,Unknown,Active,1.0,11.0,2.0,3.0,34.24,Senior
Siberian Husky,Medium,Male,4.0,Neutered,Very Active,3.0,13.0,2.0,2.0,23.33,Young Adult
Labrador Retriever,Large,Female,6.0,Spayed,Active,1.0,10.0,1.0,4.0,35.33,Adult
Beagle,Small,Male,11.0,Spayed,Low,1.0,11.0,3.0,3.0,10.34,Senior
Yorkshire Terrier,Small,Male,8.0,Spayed,Unknown,2.0,11.0,2.0,3.0,4.85,Senior
Siberian Husky,Medium,Female,7.0,Neutered,Active,0.0,12.0,1.0,3.0,23.25,Adult
Golden Retriever,Large,Female,10.0,Spayed,Low,1.0,12.0,1.0,1.0,26.76,Senior
Dachshund,Small,Female,4.0,Spayed,Very Active,3.0,13.0,3.0,2.0,7.51,Young Adult
Siberian Husky,Medium,Male,2.0,Unknown,Active,2.0,10.0,3.0,0.0,22.0,Young Adult
Poodle,Small,Unknown,5.0,Spayed,Very Active,2.0,12.0,2.0,2.0,14.97,Adult
Labrador Retriever,Large,Female,13.0,Spayed,Moderate,2.0,12.0,2.0,0.0,26.31,Senior
German Shepherd,Large,Female,12.0,Unknown,Low,3.0,10.0,0.0,2.0,22.44,Senior
Labrador Retriever,Unknown,Female,2.0,Unknown,Moderate,2.0,10.0,3.0,3.0,26.35,Young Adult
Boxer,Medium,Male,6.0,Unknown,Active,0.0,9.0,3.0,2.0,28.58,Adult
Doberman,Large,Male,2.0,Spayed,Active,2.0,10.0,1.0,0.0,44.99,Young Adult
Boxer,Medium,Female,6.0,Spayed,Unknown,2.0,11.0,1.0,4.0,30.39,Adult
Labrador Retriever,Large,Male,7.0,Spayed,Very Active,1.0,11.0,1.0,2.0,27.67,Adult
Doberman,Large,Female,2.0,Neutered,Unknown,2.0,11.0,3.0,3.0,30.32,Young Adult
Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,3.0,11.0,1.0,2.0,19.5,Puppy
German Shepherd,Large,Female,6.0,Spayed,Low,4.0,11.0,2.0,2.0,31.3,Adult
Chihuahua,Small,Female,2.0,Spayed,Active,3.0,13.0,0.0,2.0,3.13,Young Adult
Australian Shepherd,Medium,Male,7.0,Spayed,Active,1.0,12.0,4.0,1.0,26.44,Adult
Bulldog,Medium,Male,6.0,Neutered,Active,2.0,10.0,1.0,4.0,21.74,Adult
Siberian Husky,Medium,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,0.0,16.7,Adult
Australian Shepherd,Medium,Male,2.0,Unknown,Moderate,4.0,12.0,1.0,1.0,19.96,Young Adult
Rottweiler,Large,Female,5.0,Unknown,Very Active,3.0,13.0,3.0,2.0,49.76,Adult
Doberman,Large,Male,11.0,Unknown,Very Active,3.0,11.0,2.0,4.0,33.11,Senior
Siberian Husky,Medium,Female,6.0,Spayed,Low,4.0,12.0,2.0,2.0,20.03,Adult
Rottweiler,Large,Female,3.0,Spayed,Unknown,3.0,11.0,1.0,1.0,52.1,Young Adult
Beagle,Small,Male,8.0,Neutered,Unknown,3.0,11.0,0.0,2.0,9.99,Senior
Siberian Husky,Medium,Male,13.0,Spayed,Very Active,1.0,14.0,2.0,4.0,17.24,Senior
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,9.0,3.0,2.0,1.69,Senior
Doberman,Large,Female,8.0,Spayed,Low,1.0,10.0,2.0,2.0,36.29,Senior
Australian Shepherd,Medium,Female,11.0,Unknown,Very Active,2.0,10.0,3.0,2.0,27.67,Senior
Great Dane,Large,Female,4.0,Unknown,Low,0.0,11.0,2.0,2.0,51.99,Young Adult
Bulldog,Medium,Female,12.0,Neutered,Moderate,2.0,12.0,2.0,3.0,20.41,Senior
Rottweiler,Large,Male,6.0,Neutered,Unknown,1.0,12.0,2.0,1.0,39.87,Adult
Siberian Husky,Medium,Female,5.0,Spayed,Unknown,1.0,11.0,2.0,2.0,19.05,Adult
Boxer,Medium,Female,7.0,Spayed,Moderate,2.0,10.0,2.0,1.0,27.98,Adult
German Shepherd,Large,Female,5.0,Unknown,Unknown,3.0,10.0,1.0,3.0,39.19,Adult
Beagle,Small,Male,3.0,Unknown,Moderate,1.0,9.0,1.0,3.0,10.63,Young Adult
Great Dane,Large,Male,9.0,Neutered,Moderate,5.0,13.0,2.0,2.0,63.02,Senior
German Shepherd,Large,Male,8.0,Neutered,Very Active,4.0,9.0,3.0,1.0,29.94,Senior
Boxer,Medium,Female,1.0,Spayed,Moderate,2.0,10.0,3.0,0.0,29.48,Puppy
Poodle,Small,Female,6.0,Spayed,Moderate,3.0,11.0,2.0,1.0,27.22,Adult
Unknown,Large,Male,8.0,Spayed,Moderate,5.0,11.0,1.0,1.0,22.23,Senior
Labrador Retriever,Large,Male,10.0,Spayed,Very Active,3.0,9.0,1.0,2.0,31.99,Senior
German Shepherd,Large,Female,6.0,Unknown,Very Active,2.0,10.0,0.0,1.0,35.15,Adult
Dachshund,Small,Male,7.0,Unknown,Active,2.0,10.0,1.0,3.0,7.79,Adult
Siberian Husky,Medium,Male,1.0,Unknown,Active,4.0,10.0,2.0,3.0,23.59,Puppy
Rottweiler,Large,Male,9.0,Spayed,Low,2.0,12.0,1.0,0.0,56.9,Senior
Golden Retriever,Large,Female,1.0,Neutered,Active,1.0,12.0,2.0,2.0,32.87,Puppy
Yorkshire Terrier,Small,Female,1.0,Unknown,Active,1.0,10.0,2.0,3.0,4.89,Puppy
Australian Shepherd,Medium,Male,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,26.76,Young Adult
Doberman,Large,Male,11.0,Unknown,Active,1.0,11.0,0.0,1.0,28.34,Senior
Bulldog,Medium,Female,7.0,Neutered,Active,1.0,10.0,1.0,1.0,20.79,Adult
Great Dane,Large,Unknown,12.0,Spayed,Moderate,2.0,10.0,1.0,1.0,70.99,Senior
Dachshund,Small,Female,4.0,Spayed,Active,4.0,12.0,3.0,1.0,6.04,Young Adult
German Shepherd,Large,Female,3.0,Neutered,Low,2.0,10.0,1.0,0.0,26.76,Young Adult
Dachshund,Small,Female,5.0,Unknown,Very Active,7.0,13.0,2.0,1.0,4.17,Adult
Chihuahua,Small,Female,12.0,Spayed,Unknown,3.0,11.0,0.0,1.0,3.97,Senior
Australian Shepherd,Unknown,Male,6.0,Spayed,Active,1.0,12.0,3.0,0.0,24.95,Adult
Labrador Retriever,Large,Male,5.0,Neutered,Active,0.0,11.0,2.0,2.0,31.89,Adult
Great Dane,Large,Male,2.0,Neutered,Unknown,0.0,13.0,0.0,1.0,72.36,Young Adult
Bulldog,Medium,Male,10.0,Unknown,Very Active,1.0,11.0,3.0,1.0,24.35,Senior
Dachshund,Small,Female,8.0,Spayed,Unknown,1.0,11.0,1.0,1.0,4.23,Senior
Poodle,Small,Female,3.0,Neutered,Low,3.0,13.0,2.0,3.0,26.31,Young Adult
Labrador Retriever,Large,Male,12.0,Neutered,Unknown,1.0,14.0,2.0,4.0,25.4,Senior
Beagle,Small,Female,13.0,Neutered,Low,5.0,12.0,2.0,2.0,9.79,Senior
Beagle,Small,Male,1.0,Spayed,Very Active,2.0,10.0,1.0,2.0,14.56,Puppy
Dachshund,Small,Male,13.0,Unknown,Active,2.0,11.0,2.0,2.0,4.14,Senior
Yorkshire Terrier,Small,Female,8.0,Neutered,Very Active,4.0,13.0,1.0,2.0,3.22,Senior
Great Dane,Large,Female,4.0,Unknown,Unknown,1.0,12.0,2.0,1.0,71.15,Young Adult
Dachshund,Small,Female,13.0,Neutered,Active,3.0,11.0,2.0,1.0,6.76,Senior
German Shepherd,Unknown,Female,6.0,Neutered,Low,3.0,10.0,2.0,1.0,28.58,Adult
Siberian Husky,Unknown,Male,1.0,Unknown,Very Active,1.0,13.0,1.0,2.0,16.33,Puppy
Siberian Husky,Medium,Male,1.0,Spayed,Low,2.0,12.0,3.0,1.0,24.49,Puppy
German Shepherd,Large,Male,13.0,Unknown,Active,2.0,14.0,2.0,1.0,24.95,Senior
Bulldog,Medium,Female,7.0,Neutered,Unknown,4.0,10.0,1.0,2.0,23.15,Adult
Poodle,Small,Female,9.0,Spayed,Unknown,3.0,12.0,2.0,0.0,21.32,Senior
Beagle,Small,Male,3.0,Spayed,Low,2.0,12.0,0.0,0.0,14.04,Young Adult
Chihuahua,Small,Male,4.0,Unknown,Unknown,4.0,11.0,1.0,3.0,2.89,Young Adult
Great Dane,Large,Male,6.0,Neutered,Active,1.0,10.0,0.0,2.0,72.36,Adult
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,13.0,1.0,1.0,26.76,Adult
Yorkshire Terrier,Small,Female,1.0,Neutered,Low,1.0,10.0,2.0,4.0,4.82,Puppy
Doberman,Large,Male,1.0,Spayed,Unknown,5.0,9.0,2.0,1.0,39.39,Puppy
Labrador Retriever,Large,Female,10.0,Spayed,Very Active,2.0,10.0,1.0,3.0,33.95,Senior
Golden Retriever,Large,Male,7.0,Spayed,Unknown,5.0,11.0,2.0,0.0,28.12,Adult
Boxer,Medium,Female,3.0,Spayed,Low,2.0,10.0,1.0,1.0,32.55,Young Adult
Siberian Husky,Medium,Male,6.0,Spayed,Low,3.0,11.0,1.0,2.0,23.59,Adult
Golden Retriever,Large,Male,2.0,Unknown,Active,6.0,11.0,2.0,2.0,27.67,Young Adult
Poodle,Small,Unknown,11.0,Neutered,Active,4.0,12.0,1.0,2.0,17.24,Senior
Rottweiler,Large,Male,2.0,Neutered,Unknown,2.0,10.0,0.0,3.0,48.89,Young Adult
Dachshund,Small,Male,5.0,Unknown,Low,2.0,12.0,2.0,2.0,7.14,Adult
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,4.0,8.0,0.0,1.0,26.57,Young Adult
German Shepherd,Large,Female,7.0,Unknown,Very Active,4.0,13.0,1.0,1.0,23.68,Adult
Australian Shepherd,Medium,Female,5.0,Neutered,Low,5.0,8.0,0.0,3.0,22.23,Adult
Rottweiler,Large,Female,2.0,Neutered,Very Active,2.0,12.0,1.0,1.0,53.52,Young Adult
Doberman,Large,Male,10.0,Spayed,Unknown,4.0,12.0,1.0,1.0,42.09,Senior
Yorkshire Terrier,Small,Male,12.0,Unknown,Very Active,2.0,12.0,2.0,4.0,4.2,Senior
Australian Shepherd,Unknown,Male,13.0,Spayed,Unknown,5.0,12.0,1.0,1.0,22.68,Senior
Beagle,Small,Female,13.0,Spayed,Active,2.0,11.0,2.0,4.0,12.5,Senior
Labrador Retriever,Large,Female,9.0,Spayed,Unknown,4.0,10.0,2.0,0.0,25.4,Senior
Yorkshire Terrier,Small,Male,2.0,Unknown,Unknown,2.0,12.0,2.0,1.0,2.5,Young Adult
Labrador Retriever,Large,Male,12.0,Neutered,Active,4.0,12.0,1.0,2.0,31.3,Senior
Golden Retriever,Large,Male,9.0,Unknown,Active,3.0,10.0,1.0,3.0,28.58,Senior
Siberian Husky,Medium,Female,5.0,Spayed,Low,3.0,11.0,0.0,2.0,18.52,Adult
Golden Retriever,Unknown,Male,2.0,Unknown,Very Active,3.0,11.0,4.0,3.0,32.3,Young Adult
German Shepherd,Large,Female,8.0,Neutered,Very Active,0.0,13.0,0.0,1.0,34.67,Senior
Yorkshire Terrier,Small,Male,3.0,Unknown,Very Active,2.0,10.0,2.0,1.0,2.48,Young Adult
Australian Shepherd,Medium,Female,4.0,Neutered,Unknown,2.0,10.0,1.0,4.0,23.13,Young Adult
Doberman,Large,Male,2.0,Unknown,Active,5.0,12.0,2.0,0.0,28.73,Young Adult
Doberman,Large,Female,3.0,Spayed,Moderate,3.0,12.0,1.0,0.0,33.97,Young Adult
Australian Shepherd,Medium,Male,10.0,Neutered,Very Active,2.0,12.0,2.0,3.0,21.32,Senior
German Shepherd,Large,Female,2.0,Spayed,Unknown,4.0,11.0,3.0,0.0,29.48,Young Adult
Labrador Retriever,Large,Male,2.0,Spayed,Moderate,1.0,11.0,2.0,2.0,25.85,Young Adult
Golden Retriever,Large,Male,4.0,Neutered,Unknown,3.0,10.0,3.0,1.0,26.84,Young Adult
Yorkshire Terrier,Small,Male,8.0,Neutered,Active,5.0,10.0,3.0,0.0,3.53,Senior
Great Dane,Large,Unknown,11.0,Neutered,Low,3.0,11.0,2.0,2.0,70.16,Senior
Great Dane,Large,Female,1.0,Neutered,Unknown,6.0,11.0,3.0,1.0,49.9,Puppy
Yorkshire Terrier,Small,Female,8.0,Spayed,Moderate,1.0,11.0,2.0,4.0,3.8,Senior
Poodle,Small,Male,12.0,Spayed,Active,6.0,10.0,0.0,1.0,29.48,Senior
Yorkshire Terrier,Small,Male,2.0,Spayed,Moderate,2.0,11.0,1.0,3.0,2.61,Young Adult
Yorkshire Terrier,Small,Female,4.0,Unknown,Very Active,1.0,9.0,2.0,2.0,4.8,Young Adult
Poodle,Unknown,Female,11.0,Neutered,Very Active,5.0,11.0,3.0,2.0,21.96,Senior
Golden Retriever,Large,Male,5.0,Neutered,Active,1.0,11.0,3.0,3.0,26.85,Adult
German Shepherd,Large,Male,5.0,Neutered,Moderate,4.0,10.0,0.0,3.0,25.4,Adult
Dachshund,Small,Female,7.0,Spayed,Active,3.0,13.0,1.0,2.0,5.4,Adult
Bulldog,Medium,Female,9.0,Neutered,Very Active,5.0,11.0,2.0,1.0,19.5,Senior
Doberman,Large,Female,9.0,Unknown,Active,1.0,9.0,1.0,3.0,39.15,Senior
Labrador Retriever,Large,Male,10.0,Neutered,Unknown,3.0,13.0,1.0,0.0,29.03,Senior
Doberman,Large,Male,8.0,Spayed,Low,2.0,11.0,3.0,3.0,44.6,Senior
Australian Shepherd,Medium,Male,7.0,Spayed,Very Active,0.0,13.0,2.0,0.0,27.63,Adult
Golden Retriever,Large,Female,13.0,Unknown,Active,3.0,11.0,0.0,1.0,31.24,Senior
Bulldog,Medium,Male,9.0,Unknown,Very Active,1.0,12.0,2.0,1.0,19.3,Senior
Beagle,Small,Female,10.0,Neutered,Very Active,2.0,12.0,1.0,3.0,15.62,Senior
Golden Retriever,Large,Male,12.0,Unknown,Low,4.0,10.0,2.0,1.0,27.67,Senior
Yorkshire Terrier,Small,Male,2.0,Spayed,Low,4.0,14.0,2.0,2.0,3.73,Young Adult
Beagle,Small,Female,9.0,Unknown,Low,2.0,9.0,3.0,3.0,10.3,Senior
Yorkshire Terrier,Small,Female,1.0,Spayed,Active,3.0,10.0,2.0,1.0,3.32,Puppy
Boxer,Medium,Female,2.0,Unknown,Unknown,1.0,8.0,0.0,1.0,33.29,Young Adult
Boxer,Medium,Female,11.0,Neutered,Low,6.0,10.0,2.0,2.0,28.12,Senior
Rottweiler,Large,Unknown,13.0,Neutered,Low,1.0,12.0,4.0,1.0,59.32,Senior
Beagle,Small,Female,11.0,Unknown,Active,3.0,12.0,0.0,0.0,9.27,Senior
Doberman,Large,Female,4.0,Neutered,Unknown,3.0,12.0,1.0,0.0,43.29,Young Adult
Rottweiler,Large,Female,5.0,Neutered,Moderate,2.0,11.0,1.0,1.0,54.14,Adult
Labrador Retriever,Large,Unknown,1.0,Spayed,Active,6.0,9.0,3.0,1.0,31.44,Puppy
Australian Shepherd,Medium,Female,10.0,Spayed,Low,0.0,13.0,2.0,2.0,22.42,Senior
Rottweiler,Large,Male,7.0,Spayed,Moderate,3.0,10.0,2.0,3.0,52.17,Adult
Boxer,Medium,Female,6.0,Spayed,Unknown,4.0,13.0,1.0,1.0,26.19,Adult
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,12.0,2.0,0.0,3.58,Senior
Chihuahua,Small,Unknown,6.0,Neutered,Active,1.0,9.0,1.0,2.0,1.65,Adult
Australian Shepherd,Medium,Male,11.0,Spayed,Active,3.0,8.0,3.0,1.0,22.23,Senior
Dachshund,Unknown,Female,7.0,Unknown,Moderate,5.0,11.0,3.0,2.0,7.26,Adult
Great Dane,Large,Male,9.0,Neutered,Unknown,2.0,13.0,3.0,2.0,79.44,Senior
Great Dane,Large,Male,1.0,Unknown,Very Active,3.0,10.0,2.0,0.0,66.96,Puppy
Siberian Husky,Medium,Male,6.0,Neutered,Low,4.0,14.0,0.0,1.0,21.11,Adult
Yorkshire Terrier,Small,Female,3.0,Spayed,Active,2.0,9.0,1.0,2.0,2.76,Young Adult
Boxer,Medium,Female,6.0,Unknown,Unknown,3.0,10.0,1.0,3.0,33.57,Adult
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,3.0,12.0,1.0,1.0,4.04,Senior
Labrador Retriever,Large,Male,6.0,Unknown,Moderate,3.0,11.0,1.0,3.0,35.06,Adult
Rottweiler,Large,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,4.0,59.13,Adult
Great Dane,Large,Male,8.0,Neutered,Moderate,3.0,11.0,1.0,1.0,56.25,Senior
Boxer,Medium,Male,12.0,Spayed,Low,3.0,10.0,1.0,4.0,29.25,Senior
