ID,Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy,Weight (kg)
921,Boxer,Medium,Male,3.0,,,Hard food,Nutro,2.0,Yes,Yes,Yes,11.0,3.0,Active,4.0,47.0,Yes,No,24.49
922,Labrador Retriever,Large,Female,4.0,Spayed,Low,Hard food,Iams,2.0,Yes,Yes,No,10.0,,Active,2.0,73.0,Yes,Yes,19.05
923,Chihuahua,Small,Male,10.0,,Moderate,Hard food,Wellness,4.0,No,,No,11.0,1.0,Moderate,0.0,65.0,Yes,No,24.04
924,German Shepherd,Large,Male,3.0,Spayed,Very Active,Hard food,Pedigree,1.0,Yes,Yes,No,10.0,1.0,Very Active,2.0,73.0,Yes,Yes,34.93
925,Bulldog,Medium,Male,9.0,Spayed,,Home cooked,Special,1.0,No,Yes,No,12.0,1.0,,,68.0,Yes,Yes,26.76
926,Bulldog,Medium,Male,5.0,,Low,Home cooked,Special,3.0,Yes,No,No,14.0,4.0,Very Active,0.0,53.0,Yes,Yes,12.25
927,Australian Shepherd,Medium,Female,6.0,Neutered,Moderate,Home cooked,Special,2.0,Yes,No,No,9.0,0.0,Active,2.0,61.0,Yes,Yes,14.06
928,Rottweiler,Large,Female,8.0,,Very Active,Wet food,Royal Canin,0.0,No,No,No,11.0,1.0,Low,1.0,52.0,Yes,Yes,17.69
929,Great Dane,Large,Female,13.0,Neutered,Active,Wet food,Pedigree,3.0,No,Yes,No,10.0,3.0,Active,3.0,70.0,Yes,Yes,26.31
930,Doberman,Large,Male,12.0,Spayed,Active,Wet food,Hill's Science,0.0,No,Yes,No,10.0,1.0,Very Active,1.0,55.0,Yes,Yes,18.6
931,Labrador Retriever,Large,Male,11.0,Neutered,Active,Wet food,Blue Buffalo,6.0,No,Yes,No,10.0,1.0,,2.0,52.0,Yes,Yes,19.5
932,Boxer,Medium,Female,6.0,,Very Active,Hard food,Nutro,3.0,Yes,No,No,13.0,1.0,Moderate,0.0,55.0,Yes,,24.04
933,German Shepherd,Large,Male,1.0,Neutered,Very Active,Special diet,Blue Buffalo,4.0,Yes,No,No,11.0,1.0,Low,3.0,47.0,Yes,Yes,15.88
934,Yorkshire Terrier,Small,Female,13.0,Neutered,Low,Special diet,Nutro,2.0,No,Yes,No,9.0,2.0,Moderate,,45.0,Yes,Yes,24.04
935,Chihuahua,Small,Male,12.0,Neutered,Very Active,Special diet,Pedigree,4.0,Yes,Yes,No,12.0,4.0,Moderate,0.0,76.0,Yes,Yes,14.51
936,Australian Shepherd,Medium,Female,7.0,,,Wet food,Wellness,2.0,Yes,No,No,12.0,1.0,Moderate,,88.0,Yes,Yes,31.3
937,Doberman,Large,Male,,Neutered,Low,Home cooked,Special,6.0,No,No,No,12.0,1.0,Very Active,0.0,61.0,Yes,Yes,24.04
938,Boxer,Medium,Male,11.0,,Moderate,Hard food,Wellness,1.0,No,Yes,No,12.0,2.0,Active,2.0,75.0,Yes,No,32.66
939,Australian Shepherd,Medium,Male,6.0,,Very Active,Wet food,Hill's Science,4.0,No,Yes,Yes,10.0,0.0,Active,4.0,56.0,Yes,Yes,22.68
940,Australian Shepherd,Medium,,6.0,,Moderate,Hard food,Iams,4.0,No,No,No,8.0,1.0,Moderate,4.0,89.0,Yes,Yes,27.22
941,Australian Shepherd,Medium,Male,11.0,Neutered,,Special diet,Wellness,4.0,No,Yes,No,8.0,2.0,Moderate,3.0,45.0,Yes,Yes,12.25
942,Siberian Husky,Medium,Male,1.0,,Moderate,Home cooked,Special,4.0,No,No,No,10.0,2.0,,1.0,64.0,Yes,Yes,16.33
943,Beagle,Small,Male,4.0,Spayed,,Home cooked,Special,0.0,No,No,Yes,9.0,2.0,,1.0,68.0,Yes,Yes,29.03
944,Chihuahua,Small,Female,12.0,,Very Active,Hard food,Blue Buffalo,1.0,Yes,No,No,9.0,2.0,Very Active,1.0,41.0,Yes,Yes,27.22
945,Australian Shepherd,Medium,Female,10.0,Spayed,Moderate,Wet food,Iams,3.0,,No,No,8.0,1.0,Very Active,4.0,82.0,Yes,No,9.98
946,Doberman,Large,Male,2.0,Spayed,Moderate,Special diet,Nutro,2.0,Yes,No,No,11.0,1.0,Active,2.0,83.0,Yes,Yes,23.59
947,Great Dane,,Male,12.0,Spayed,,Hard food,Wellness,2.0,Yes,No,No,11.0,0.0,Very Active,2.0,57.0,Yes,Yes,17.24
948,Labrador Retriever,Large,Male,8.0,Neutered,Moderate,,Purina,3.0,Yes,No,No,10.0,0.0,,2.0,62.0,Yes,Yes,32.66
949,Golden Retriever,Large,Male,8.0,Spayed,Low,Special diet,Blue Buffalo,2.0,Yes,Yes,No,12.0,3.0,Active,3.0,73.0,Yes,Yes,19.05
950,Golden Retriever,Large,Male,1.0,,Low,Special diet,Iams,3.0,No,No,,11.0,1.0,Low,2.0,,Yes,Yes,26.31
951,Bulldog,Medium,Male,12.0,Spayed,Active,Home cooked,Special,2.0,No,Yes,No,9.0,2.0,Very Active,2.0,78.0,,Yes,26.76
952,Golden Retriever,Large,Male,1.0,Neutered,,Hard food,Royal Canin,2.0,No,Yes,No,13.0,2.0,,2.0,86.0,Yes,No,25.4
953,Rottweiler,Large,Female,4.0,,Active,Hard food,Hill's Science,3.0,Yes,Yes,No,12.0,2.0,Very Active,1.0,55.0,Yes,Yes,34.02
954,German Shepherd,Large,Male,5.0,Neutered,Active,Wet food,Pedigree,4.0,No,No,No,10.0,1.0,Very Active,2.0,93.0,Yes,Yes,22.23
955,Siberian Husky,Medium,Male,12.0,Neutered,Very Active,Hard food,Iams,2.0,Yes,Yes,No,13.0,0.0,Low,2.0,70.0,Yes,Yes,24.95
956,Yorkshire Terrier,Small,Female,10.0,Spayed,,Hard food,Nutro,3.0,No,Yes,No,12.0,1.0,Active,2.0,78.0,Yes,No,21.32
957,Doberman,Large,Male,3.0,Neutered,,Wet food,Blue Buffalo,1.0,Yes,Yes,No,11.0,0.0,Low,2.0,55.0,Yes,Yes,27.67
958,Chihuahua,Small,Female,12.0,Spayed,,Special diet,Pedigree,3.0,Yes,Yes,No,11.0,2.0,Low,0.0,95.0,Yes,No,13.61
959,Chihuahua,Small,Female,10.0,,Very Active,Home cooked,Special,4.0,,No,No,9.0,2.0,Low,3.0,68.0,Yes,,18.6
960,Chihuahua,Small,Male,3.0,,Low,Hard food,Purina,1.0,No,Yes,No,10.0,3.0,Moderate,1.0,78.0,Yes,Yes,29.03
961,Poodle,Small,Female,9.0,Neutered,,Home cooked,Special,3.0,No,No,No,13.0,2.0,Low,0.0,60.0,Yes,Yes,14.51
962,German Shepherd,Large,Female,4.0,,Very Active,Wet food,Blue Buffalo,0.0,No,No,No,9.0,3.0,Active,3.0,62.0,Yes,Yes,28.58
963,Dachshund,Small,Female,5.0,Spayed,Low,Wet food,Purina,2.0,No,No,No,9.0,1.0,Very Active,0.0,86.0,Yes,Yes,
964,German Shepherd,Large,Male,9.0,Spayed,Very Active,Special diet,Blue Buffalo,0.0,,Yes,No,14.0,2.0,,2.0,59.0,Yes,Yes,26.76
965,Beagle,Small,Male,10.0,Spayed,,Home cooked,Special,2.0,No,Yes,No,14.0,1.0,Low,2.0,55.0,Yes,Yes,26.31
966,Yorkshire Terrier,Small,Male,9.0,Spayed,Very Active,Home cooked,Special,2.0,No,No,No,11.0,1.0,,1.0,76.0,Yes,Yes,13.15
967,Great Dane,Large,Male,8.0,Spayed,Moderate,Wet food,Pedigree,3.0,Yes,No,No,8.0,,,1.0,66.0,Yes,Yes,23.59
968,Boxer,Medium,Male,8.0,,Active,Special diet,Purina,3.0,Yes,No,No,12.0,2.0,Low,4.0,62.0,Yes,Yes,14.51
969,Chihuahua,Small,Female,3.0,,,Wet food,Pedigree,0.0,Yes,No,No,12.0,,Moderate,0.0,54.0,Yes,Yes,26.76
970,Beagle,Small,Female,6.0,Neutered,Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,10.0,2.0,,1.0,56.0,Yes,Yes,18.14
971,Beagle,Small,Female,11.0,,Moderate,Home cooked,Special,0.0,No,Yes,No,10.0,2.0,Low,2.0,58.0,Yes,No,38.56
972,Golden Retriever,Large,Female,2.0,,Moderate,Special diet,Wellness,1.0,No,No,No,12.0,1.0,Very Active,0.0,39.0,Yes,Yes,24.95
973,,Large,Female,10.0,Neutered,Moderate,Home cooked,Special,2.0,Yes,No,No,8.0,0.0,Low,3.0,87.0,Yes,Yes,31.3
974,Doberman,Large,Male,8.0,,Moderate,Special diet,Iams,4.0,Yes,Yes,No,11.0,1.0,,0.0,94.0,Yes,No,
975,Great Dane,Large,Male,10.0,Neutered,Low,Special diet,Iams,3.0,Yes,No,No,11.0,0.0,Moderate,4.0,73.0,Yes,Yes,35.38
976,Rottweiler,Large,Male,1.0,Neutered,Low,Special diet,Royal Canin,2.0,No,Yes,No,11.0,3.0,Moderate,3.0,55.0,Yes,Yes,13.61
977,Beagle,Small,Male,10.0,Spayed,Active,Hard food,Wellness,2.0,No,No,No,10.0,2.0,,2.0,57.0,Yes,Yes,13.15
978,Bulldog,Medium,Male,2.0,Neutered,Low,Hard food,Purina,4.0,Yes,Yes,No,11.0,3.0,Moderate,2.0,71.0,Yes,Yes,22.68
979,Chihuahua,Small,Male,11.0,,Very Active,Hard food,Royal Canin,1.0,No,Yes,No,10.0,2.0,,1.0,45.0,Yes,No,17.69
980,German Shepherd,Large,Female,9.0,Neutered,Very Active,Wet food,Hill's Science,,No,No,No,9.0,3.0,Active,2.0,87.0,Yes,Yes,22.68
981,Bulldog,Medium,Male,2.0,Neutered,,Hard food,Royal Canin,4.0,No,Yes,No,12.0,0.0,Active,4.0,57.0,Yes,Yes,30.39
982,,Medium,Male,12.0,,Low,Hard food,Wellness,1.0,Yes,Yes,No,11.0,2.0,,0.0,58.0,Yes,No,21.32
983,Bulldog,Medium,Female,11.0,,Low,Special diet,Wellness,4.0,No,No,No,13.0,1.0,Low,,68.0,Yes,Yes,24.04
984,Poodle,Small,Male,11.0,Neutered,Very Active,Hard food,Iams,2.0,Yes,Yes,No,11.0,4.0,Low,1.0,56.0,Yes,Yes,25.85
985,Beagle,Small,,13.0,Neutered,Moderate,Hard food,Pedigree,2.0,No,Yes,No,8.0,2.0,Low,1.0,60.0,Yes,No,28.12
986,Bulldog,Medium,Female,2.0,Neutered,Moderate,Home cooked,Special,4.0,,Yes,No,11.0,0.0,Low,1.0,56.0,Yes,Yes,30.39
987,Chihuahua,Small,Male,10.0,,,Special diet,Wellness,1.0,No,No,No,13.0,0.0,Very Active,0.0,66.0,Yes,Yes,26.76
988,Beagle,Small,Male,13.0,Spayed,,Home cooked,Special,2.0,Yes,Yes,No,12.0,0.0,Moderate,2.0,42.0,Yes,Yes,29.48
989,,Large,Male,8.0,,Very Active,Home cooked,Special,3.0,Yes,Yes,No,8.0,2.0,Moderate,2.0,30.0,Yes,Yes,16.78
990,Chihuahua,Small,Male,9.0,Neutered,,Wet food,Purina,4.0,Yes,Yes,No,12.0,0.0,Moderate,1.0,55.0,Yes,No,22.23
991,,Small,Female,4.0,Spayed,,Hard food,Pedigree,4.0,No,No,No,13.0,1.0,Low,2.0,100.0,Yes,Yes,29.94
992,Boxer,,Female,5.0,Neutered,Moderate,Hard food,Blue Buffalo,3.0,No,No,No,10.0,2.0,Active,0.0,50.0,Yes,Yes,29.48
993,Rottweiler,Large,Female,12.0,Spayed,Active,Special diet,Wellness,3.0,No,No,No,13.0,1.0,Very Active,1.0,78.0,Yes,Yes,21.32
994,Great Dane,Large,Female,5.0,,Low,Home cooked,Special,1.0,No,Yes,,11.0,3.0,,0.0,69.0,Yes,No,26.31
995,Australian Shepherd,Medium,Female,2.0,Spayed,Very Active,Wet food,Royal Canin,0.0,No,No,Yes,12.0,1.0,Very Active,2.0,90.0,Yes,Yes,25.4
996,Great Dane,Large,Male,8.0,Spayed,,Hard food,Blue Buffalo,2.0,No,Yes,No,10.0,1.0,Low,0.0,35.0,Yes,No,17.69
997,Labrador Retriever,,Female,7.0,Neutered,,Wet food,Hill's Science,3.0,Yes,Yes,No,11.0,2.0,,0.0,34.0,Yes,No,22.23
998,Golden Retriever,Large,Male,5.0,Neutered,Active,Hard food,Wellness,5.0,No,Yes,No,11.0,2.0,Active,2.0,58.0,Yes,Yes,19.5
999,Bulldog,Medium,Female,12.0,Spayed,Low,Special diet,Blue Buffalo,0.0,Yes,No,No,8.0,0.0,Very Active,1.0,88.0,Yes,Yes,17.69
1000,Beagle,Small,Female,4.0,Spayed,Moderate,Home cooked,Special,4.0,No,Yes,No,10.0,1.0,Moderate,0.0,66.0,Yes,Yes,16.78
1001,Dachshund,Small,Female,9.0,Spayed,Active,Special diet,Purina,3.0,Yes,No,No,10.0,1.0,Active,1.0,76.0,Yes,Yes,22.68
1002,Siberian Husky,Medium,Female,12.0,,Very Active,Hard food,Purina,4.0,Yes,Yes,No,,2.0,Low,0.0,100.0,Yes,No,19.05
1003,German Shepherd,Large,Male,10.0,Spayed,Very Active,Special diet,Wellness,3.0,Yes,Yes,No,9.0,0.0,Active,0.0,58.0,Yes,Yes,13.61
1004,German Shepherd,Large,Male,3.0,,Low,Wet food,Hill's Science,4.0,Yes,Yes,No,8.0,1.0,,2.0,88.0,Yes,No,38.1
1005,Yorkshire Terrier,Small,Male,6.0,,,Hard food,Purina,3.0,No,No,No,12.0,2.0,Moderate,1.0,34.0,Yes,Yes,25.85
1006,Dachshund,Small,Male,9.0,Spayed,Moderate,,Royal Canin,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,57.0,Yes,No,24.49
1007,Yorkshire Terrier,,Female,9.0,,Low,Home cooked,Special,1.0,No,No,No,11.0,1.0,Active,2.0,66.0,Yes,Yes,25.4
1008,Chihuahua,Small,Male,9.0,Neutered,Very Active,Hard food,Wellness,4.0,Yes,Yes,No,12.0,1.0,Low,2.0,69.0,Yes,Yes,28.58
1009,Siberian Husky,Medium,Female,4.0,Spayed,,Special diet,Nutro,3.0,No,No,No,11.0,2.0,,1.0,73.0,Yes,Yes,27.22
1010,Chihuahua,Small,Male,7.0,Neutered,Moderate,Wet food,Royal Canin,1.0,Yes,No,No,10.0,3.0,Very Active,0.0,100.0,Yes,Yes,29.94
1011,Siberian Husky,Medium,Female,6.0,Spayed,Low,Hard food,Nutro,2.0,Yes,No,No,11.0,3.0,Low,1.0,60.0,Yes,Yes,24.95
1012,Beagle,Small,,4.0,Spayed,Active,Special diet,Hill's Science,0.0,No,No,No,12.0,1.0,,1.0,54.0,Yes,Yes,18.14
1013,Yorkshire Terrier,Small,Male,5.0,,Moderate,Hard food,Wellness,5.0,No,No,No,8.0,0.0,Very Active,2.0,87.0,Yes,Yes,22.68
1014,Bulldog,Medium,Female,11.0,Neutered,,Hard food,Nutro,0.0,Yes,No,No,11.0,2.0,,2.0,81.0,Yes,Yes,
1015,Boxer,Medium,Female,12.0,Neutered,Moderate,Special diet,Nutro,5.0,No,No,No,12.0,2.0,,1.0,58.0,Yes,Yes,26.76
1016,Siberian Husky,Medium,Male,3.0,,Moderate,Wet food,Wellness,5.0,No,Yes,No,13.0,2.0,Moderate,2.0,,Yes,No,18.14
1017,,Medium,Female,9.0,Spayed,Moderate,Special diet,Nutro,0.0,Yes,No,No,12.0,0.0,,2.0,96.0,Yes,Yes,14.06
1018,Bulldog,Medium,Male,2.0,Neutered,Low,Special diet,Iams,2.0,Yes,Yes,No,10.0,1.0,,2.0,53.0,Yes,Yes,23.59
1019,Australian Shepherd,Medium,Female,11.0,Spayed,Active,Wet food,Nutro,2.0,No,Yes,No,11.0,0.0,Very Active,3.0,41.0,Yes,Yes,
1020,Yorkshire Terrier,Small,Male,10.0,,Very Active,Special diet,Pedigree,2.0,Yes,No,No,8.0,2.0,,3.0,55.0,Yes,Yes,26.31
1021,Golden Retriever,Large,Female,4.0,Neutered,Moderate,Hard food,Blue Buffalo,2.0,No,Yes,No,12.0,0.0,Moderate,2.0,67.0,Yes,Yes,19.05
1022,Golden Retriever,Large,Male,6.0,,,Special diet,Hill's Science,2.0,No,Yes,No,10.0,1.0,,3.0,70.0,Yes,Yes,27.22
1023,German Shepherd,Large,Female,9.0,,Active,Home cooked,Special,3.0,Yes,Yes,No,12.0,0.0,Moderate,1.0,85.0,Yes,No,7.71
1024,Labrador Retriever,Large,,4.0,Spayed,Active,,Special,5.0,Yes,Yes,No,10.0,2.0,Moderate,1.0,67.0,Yes,Yes,12.25
1025,Labrador Retriever,Large,Male,9.0,,Active,Special diet,Blue Buffalo,1.0,Yes,Yes,No,11.0,0.0,,2.0,64.0,Yes,,22.68
1026,Rottweiler,Large,Female,10.0,Spayed,Very Active,Home cooked,Special,1.0,No,Yes,No,8.0,1.0,Active,,49.0,Yes,Yes,23.13
1027,Boxer,Medium,Female,6.0,,Low,Hard food,Iams,2.0,No,Yes,No,,2.0,Low,2.0,67.0,Yes,No,12.25
1028,Doberman,Large,Male,2.0,,Moderate,Hard food,Wellness,0.0,Yes,Yes,No,9.0,2.0,Very Active,1.0,60.0,Yes,No,28.58
1029,Yorkshire Terrier,Small,Female,9.0,,Very Active,Wet food,Hill's Science,0.0,No,No,No,11.0,3.0,Low,2.0,80.0,Yes,Yes,31.3
1030,Dachshund,Small,Male,6.0,,Low,Special diet,Nutro,2.0,No,No,No,12.0,2.0,Very Active,3.0,75.0,Yes,,20.41
1031,Great Dane,,Male,7.0,,Moderate,Home cooked,Special,5.0,No,No,No,11.0,0.0,,1.0,76.0,Yes,Yes,25.4
1032,Boxer,Medium,Female,13.0,,Moderate,Wet food,Iams,1.0,No,No,No,10.0,2.0,Very Active,0.0,72.0,Yes,No,23.59
1033,Boxer,Medium,Female,13.0,,Very Active,Hard food,Nutro,2.0,No,No,Yes,12.0,1.0,Very Active,3.0,47.0,Yes,No,22.23
1034,Rottweiler,Large,Male,1.0,,Very Active,Hard food,Royal Canin,5.0,No,No,No,12.0,,,1.0,81.0,Yes,Yes,20.87
1035,Labrador Retriever,Large,Male,10.0,,Moderate,Wet food,Royal Canin,3.0,No,No,Yes,13.0,1.0,Very Active,2.0,47.0,Yes,No,23.59
1036,Great Dane,Large,Male,9.0,,Very Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,13.0,3.0,Moderate,1.0,49.0,Yes,No,13.15
1037,Poodle,Small,Male,8.0,Neutered,Moderate,Hard food,Nutro,5.0,Yes,No,No,12.0,0.0,Low,1.0,67.0,Yes,Yes,34.47
1038,Golden Retriever,Large,Male,1.0,Neutered,,Special diet,Blue Buffalo,3.0,Yes,No,No,11.0,1.0,Low,1.0,55.0,Yes,Yes,16.78
1039,Dachshund,Small,Female,3.0,Neutered,,Wet food,,2.0,No,Yes,No,11.0,1.0,Very Active,0.0,50.0,Yes,No,29.94
1040,Bulldog,Medium,Male,9.0,Spayed,,Special diet,Royal Canin,1.0,Yes,No,No,9.0,1.0,Low,0.0,34.0,Yes,Yes,26.76
1041,Doberman,Large,Female,5.0,Neutered,Active,Wet food,Pedigree,5.0,No,No,No,12.0,3.0,,,64.0,Yes,Yes,9.07
1042,Yorkshire Terrier,Small,Female,12.0,Neutered,,Wet food,Blue Buffalo,2.0,Yes,Yes,No,12.0,2.0,,2.0,77.0,Yes,No,24.49
1043,Doberman,Large,Female,6.0,Neutered,Very Active,Special diet,Pedigree,0.0,Yes,Yes,No,14.0,0.0,,3.0,45.0,Yes,Yes,21.77
1044,,Large,Male,6.0,,Moderate,Home cooked,Special,4.0,No,No,No,10.0,2.0,Moderate,1.0,66.0,Yes,Yes,18.14
1045,Labrador Retriever,Large,Female,12.0,,Moderate,Hard food,Wellness,,Yes,No,No,8.0,2.0,,0.0,79.0,Yes,No,18.14
1046,Doberman,Large,Female,3.0,,,Home cooked,Special,5.0,No,Yes,No,9.0,1.0,Moderate,3.0,60.0,Yes,Yes,20.87
1047,Labrador Retriever,Large,Male,5.0,Neutered,,Wet food,Pedigree,2.0,Yes,No,Yes,11.0,2.0,,0.0,72.0,Yes,No,24.49
1048,Siberian Husky,Medium,Female,1.0,,Low,Wet food,Purina,6.0,No,No,No,9.0,1.0,,1.0,61.0,Yes,No,27.67
1049,Golden Retriever,Large,Male,1.0,Spayed,,Special diet,Hill's Science,3.0,Yes,Yes,No,10.0,2.0,Low,2.0,67.0,Yes,Yes,29.48
1050,Siberian Husky,Medium,Female,6.0,,,Hard food,Iams,2.0,Yes,Yes,No,9.0,1.0,,1.0,82.0,Yes,No,23.13
1051,Boxer,Medium,Male,13.0,Spayed,Moderate,Wet food,Hill's Science,4.0,Yes,No,Yes,12.0,2.0,Active,3.0,47.0,Yes,No,18.6
1052,German Shepherd,Large,Male,12.0,,,Home cooked,Special,3.0,No,Yes,No,11.0,4.0,Low,0.0,84.0,Yes,No,21.77
1053,German Shepherd,Large,Male,3.0,Neutered,Moderate,Special diet,Wellness,0.0,Yes,Yes,No,,0.0,Moderate,0.0,65.0,Yes,Yes,22.68
1054,Siberian Husky,Medium,Male,1.0,Neutered,,Special diet,Nutro,0.0,No,No,No,10.0,3.0,Moderate,1.0,62.0,Yes,Yes,14.06
1055,Beagle,Small,Female,8.0,Neutered,Moderate,Home cooked,Special,3.0,Yes,No,No,10.0,1.0,Active,0.0,47.0,,Yes,27.67
1056,Chihuahua,Small,Female,4.0,Spayed,Very Active,Hard food,Nutro,1.0,Yes,Yes,Yes,11.0,2.0,Active,0.0,56.0,Yes,No,26.31
1057,Doberman,Large,Male,9.0,,,Special diet,,3.0,No,No,No,11.0,2.0,Moderate,4.0,89.0,Yes,Yes,30.84
1058,Australian Shepherd,Medium,Male,9.0,,Very Active,Home cooked,Special,2.0,Yes,No,No,9.0,2.0,Moderate,0.0,82.0,Yes,Yes,19.96
1059,Dachshund,Small,Female,9.0,,Low,Wet food,Pedigree,,No,No,No,11.0,4.0,Low,2.0,88.0,Yes,No,23.59
1060,Dachshund,Small,Male,5.0,Neutered,,Hard food,Royal Canin,3.0,Yes,No,No,11.0,2.0,Low,3.0,77.0,Yes,Yes,32.66
1061,Great Dane,Large,Male,12.0,Neutered,Active,Special diet,Royal Canin,3.0,No,No,No,11.0,1.0,Moderate,3.0,44.0,Yes,Yes,31.75
1062,Boxer,Medium,Female,5.0,Neutered,Active,Special diet,Nutro,3.0,Yes,Yes,No,11.0,1.0,Moderate,2.0,63.0,Yes,Yes,24.04
1063,Bulldog,Medium,Male,8.0,Spayed,,Hard food,Hill's Science,4.0,No,No,No,14.0,2.0,Moderate,2.0,44.0,Yes,Yes,16.78
1064,Poodle,Small,Female,2.0,Spayed,,Home cooked,Special,3.0,No,Yes,No,8.0,1.0,Very Active,0.0,58.0,Yes,Yes,12.7
1065,Siberian Husky,Medium,Female,12.0,Spayed,,Hard food,Royal Canin,2.0,Yes,No,No,9.0,1.0,Very Active,0.0,64.0,Yes,No,16.78
1066,Rottweiler,Large,Female,9.0,,Active,Home cooked,Special,3.0,No,No,No,10.0,1.0,Moderate,1.0,38.0,Yes,Yes,32.21
1067,Australian Shepherd,Medium,Male,10.0,,Low,,Special,1.0,No,No,No,12.0,2.0,,2.0,92.0,Yes,Yes,29.94
1068,Doberman,Large,Male,8.0,Neutered,Active,Home cooked,Special,6.0,Yes,No,No,14.0,1.0,,2.0,82.0,Yes,Yes,7.26
1069,Golden Retriever,Large,Male,8.0,Neutered,Moderate,Home cooked,Special,2.0,No,No,No,13.0,2.0,,1.0,66.0,Yes,Yes,21.32
1070,Labrador Retriever,Large,Male,6.0,,Moderate,Special diet,Purina,5.0,Yes,Yes,No,10.0,3.0,Active,0.0,83.0,Yes,No,31.75
1071,Beagle,Small,Male,3.0,,,Wet food,Royal Canin,2.0,Yes,Yes,No,10.0,1.0,,1.0,78.0,Yes,Yes,21.77
1072,Doberman,Large,Male,6.0,,Low,Wet food,Nutro,1.0,No,Yes,Yes,14.0,1.0,Moderate,1.0,,Yes,No,18.6
1073,Rottweiler,Large,Female,10.0,Spayed,Low,Special diet,Nutro,2.0,No,No,No,11.0,2.0,Moderate,2.0,96.0,Yes,Yes,22.23
1074,German Shepherd,Large,Male,12.0,Neutered,Very Active,Hard food,Iams,3.0,No,Yes,Yes,10.0,2.0,Low,4.0,70.0,Yes,No,15.42
1075,Boxer,Medium,Female,11.0,,,Home cooked,Special,,No,No,No,,2.0,Active,3.0,58.0,Yes,Yes,14.51
1076,Great Dane,Large,Male,6.0,Neutered,Low,Home cooked,Special,2.0,Yes,Yes,No,,0.0,Low,2.0,51.0,Yes,Yes,24.95
1077,Rottweiler,Large,Male,13.0,Spayed,Active,Wet food,Iams,3.0,,Yes,No,9.0,1.0,Active,2.0,66.0,Yes,No,39.92
1078,Labrador Retriever,Large,Female,2.0,Spayed,Low,Home cooked,Special,5.0,No,No,No,10.0,2.0,Moderate,2.0,55.0,Yes,Yes,32.66
1079,Australian Shepherd,Medium,Male,5.0,Neutered,,Hard food,Nutro,3.0,Yes,No,No,11.0,1.0,,1.0,71.0,Yes,Yes,28.12
1080,Rottweiler,Large,,2.0,Neutered,Moderate,Special diet,Blue Buffalo,5.0,No,Yes,No,12.0,2.0,,1.0,34.0,Yes,Yes,29.03
1081,Great Dane,Large,Female,2.0,Spayed,,Home cooked,Special,2.0,Yes,Yes,No,12.0,,Moderate,2.0,61.0,Yes,Yes,27.67
1082,Golden Retriever,Large,Male,6.0,,Active,Hard food,Pedigree,0.0,,Yes,No,10.0,3.0,Low,0.0,51.0,Yes,No,23.59
1083,Great Dane,Large,Male,7.0,,Very Active,Wet food,Blue Buffalo,2.0,,No,No,13.0,1.0,Moderate,4.0,57.0,Yes,Yes,32.66
1084,Australian Shepherd,Medium,Female,10.0,,Moderate,Wet food,Purina,3.0,Yes,No,No,,1.0,Low,1.0,70.0,Yes,No,27.22
1085,Doberman,Large,Male,3.0,Spayed,Active,Special diet,Royal Canin,4.0,No,No,No,11.0,2.0,Active,3.0,70.0,Yes,Yes,27.67
1086,Great Dane,Large,Male,3.0,Neutered,,Special diet,Royal Canin,2.0,No,No,No,12.0,1.0,Moderate,2.0,76.0,Yes,Yes,25.4
1087,Great Dane,Large,Female,10.0,,Very Active,Home cooked,Special,1.0,Yes,No,No,10.0,2.0,Active,0.0,78.0,Yes,Yes,25.85
1088,Yorkshire Terrier,Small,Female,11.0,Spayed,Low,Wet food,Purina,2.0,No,Yes,No,9.0,0.0,Moderate,4.0,85.0,Yes,No,10.43
1089,Australian Shepherd,Medium,Male,5.0,,Active,Hard food,Blue Buffalo,5.0,No,Yes,No,11.0,0.0,Low,1.0,62.0,Yes,Yes,29.03
1090,Great Dane,Large,Female,6.0,Spayed,Very Active,Special diet,Royal Canin,2.0,,No,No,11.0,1.0,Very Active,0.0,78.0,Yes,Yes,24.49
1091,,Large,Male,9.0,Spayed,Moderate,Special diet,Pedigree,0.0,Yes,No,No,9.0,1.0,Very Active,1.0,40.0,Yes,Yes,37.19
1092,Yorkshire Terrier,Small,Female,2.0,,Very Active,Special diet,Nutro,2.0,No,Yes,No,10.0,3.0,Very Active,0.0,68.0,Yes,Yes,24.95
1093,Beagle,Small,Male,11.0,Spayed,Low,Wet food,Iams,3.0,Yes,Yes,No,10.0,3.0,Active,0.0,82.0,Yes,No,12.7
1094,Chihuahua,Small,Male,13.0,Spayed,Low,Wet food,Wellness,1.0,Yes,Yes,No,12.0,3.0,Low,1.0,41.0,Yes,No,19.96
1095,Doberman,Large,Female,7.0,,Active,Home cooked,Special,5.0,No,Yes,No,11.0,2.0,Active,0.0,60.0,Yes,Yes,29.94
1096,Australian Shepherd,Medium,Female,7.0,Spayed,,Wet food,Wellness,2.0,No,Yes,No,,1.0,Moderate,1.0,74.0,Yes,Yes,19.5
