Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER,Sugestao_Otimizada
Bulldog,12.0,14.97,Médio,Não,532.74,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Great Dane,2.0,31.3,Grande,Sim,926.31,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,2.0,20.41,Médio,Sim,672.17,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,4.0,29.03,Grande,Sim,875.45,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,13.0,4.54,Pequeno,Não,217.72,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,12.0,18.6,Médio,Não,626.95,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Rottweiler,7.0,21.77,Médio,Não,705.49,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Poodle,9.0,27.67,Grande,Sim,844.51,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,8.0,22.23,Médio,Sim,716.64,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,11.0,26.76,Grande,Não,823.59,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
German Shepherd,5.0,20.87,Médio,Não,683.5,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Poodle,7.0,15.42,Médio,Sim,544.7,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,12.0,20.41,Médio,Não,672.17,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
German Shepherd,4.0,11.79,Médio,Sim,445.38,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,8.0,27.22,Grande,Sim,834.19,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,2.0,34.93,Grande,Sim,1005.77,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,6.0,28.12,Grande,Sim,854.79,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,7.0,29.94,Grande,Sim,895.96,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,8.0,19.05,Médio,Sim,638.29,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,12.0,28.12,Grande,Não,854.79,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Golden Retriever,1.0,34.02,Grande,Não,986.05,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Labrador Retriever,4.0,18.14,Médio,Sim,615.28,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,8.0,28.58,Grande,Não,865.26,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,13.0,18.6,Médio,Não,626.95,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Yorkshire Terrier,11.0,28.58,Grande,Sim,865.26,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,5.0,17.24,Médio,Sim,592.24,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,10.0,23.59,Médio,Não,749.28,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Golden Retriever,5.0,32.21,Grande,Sim,946.44,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,9.0,13.61,Médio,Não,496.01,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Golden Retriever,1.0,15.88,Médio,Não,556.85,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Boxer,10.0,18.6,Médio,Sim,626.95,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,9.0,23.13,Médio,Não,738.29,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Dachshund,13.0,28.12,Grande,Não,854.79,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,10.0,24.95,Médio,Sim,781.45,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,9.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,13.0,38.1,Grande,Não,1073.47,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Yorkshire Terrier,13.0,6.35,Pequeno,Não,280.01,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,6.0,25.4,Grande,Sim,792.0,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,2.0,13.15,Médio,Sim,483.38,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,11.0,15.42,Médio,Sim,544.7,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,9.0,25.85,Grande,Sim,802.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,11.0,32.21,Grande,Sim,946.44,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,12.0,33.11,Grande,Sim,966.2,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,7.0,25.85,Grande,Não,802.5,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,7.0,41.28,Grande,Sim,1139.99,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,1.0,13.61,Médio,Sim,496.01,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,9.0,9.98,Pequeno,Não,393.05,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Chihuahua,2.0,22.23,Médio,Sim,716.64,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,12.0,19.5,Médio,Sim,649.57,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,1.0,21.77,Médio,Não,705.49,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Siberian Husky,4.0,24.49,Médio,Sim,770.62,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,2.0,19.5,Médio,Sim,649.57,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,3.0,34.47,Grande,Sim,995.82,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,7.0,24.04,Médio,Sim,759.97,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,3.0,14.51,Médio,Sim,520.41,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,10.0,16.78,Médio,Sim,580.35,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,4.0,25.4,Grande,Sim,792.0,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,9.0,34.47,Grande,Sim,995.82,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,3.0,14.97,Médio,Sim,532.74,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,5.0,14.97,Médio,Sim,532.74,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,5.0,17.24,Médio,Sim,592.24,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,12.0,18.14,Médio,Sim,615.28,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,10.0,24.49,Médio,Sim,770.62,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,2.0,29.48,Grande,Não,885.61,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
SRD (Sem Raça Definida),7.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,2.0,25.85,Grande,Sim,802.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,8.0,17.24,Médio,Sim,592.24,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,7.0,17.69,Médio,Sim,603.8,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,8.0,20.41,Médio,Sim,672.17,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,1.0,27.67,Grande,Sim,844.51,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,5.0,19.5,Médio,Sim,649.57,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,8.0,41.73,Grande,Não,1149.3,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Doberman,9.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,9.0,11.34,Médio,Sim,432.57,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,11.0,27.22,Grande,Sim,834.19,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,8.0,29.94,Grande,Sim,895.96,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,12.0,15.42,Médio,Não,544.7,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
German Shepherd,7.0,25.4,Grande,Não,792.0,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,6.0,28.58,Grande,Sim,865.26,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,7.0,17.69,Médio,Sim,603.8,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,13.0,4.54,Pequeno,Sim,217.72,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey"
Yorkshire Terrier,1.0,18.6,Médio,Sim,626.95,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,7.0,13.15,Médio,Sim,483.38,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,10.0,23.13,Médio,Sim,738.29,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,9.0,27.22,Grande,Não,834.19,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Siberian Husky,8.0,26.31,Grande,Sim,813.18,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,4.0,28.58,Grande,Sim,865.26,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,6.0,16.78,Médio,Sim,580.35,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,10.0,35.83,Grande,Não,1025.14,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Siberian Husky,4.0,16.33,Médio,Sim,568.64,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,4.0,9.07,Pequeno,Sim,365.85,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey"
Golden Retriever,7.0,11.79,Médio,Não,445.38,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Yorkshire Terrier,9.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),6.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,4.0,12.25,Médio,Sim,458.35,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
