Breed,Breed Size,Sex,Age,Weight (lbs),Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits
Siberian Husky,Medium,Male,4.0,62.0,Very Active,3.0,13.0,2.0,2.0
Siberian Husky,Medium,Female,7.0,84.0,Active,0.0,12.0,1.0,3.0
Siberian Husky,Medium,Male,2.0,66.0,Active,2.0,10.0,3.0,0.0
Boxer,Medium,Male,6.0,63.0,Active,0.0,9.0,3.0,2.0
Boxer,Medium,Female,6.0,67.0,Active,2.0,11.0,1.0,4.0
Australian Shepherd,Medium,Male,1.0,43.0,Very Active,3.0,11.0,1.0,2.0
Bulldog,Medium,Male,6.0,80.0,Active,2.0,10.0,1.0,4.0
Siberian Husky,Medium,Female,7.0,61.0,Very Active,3.0,11.0,0.0,0.0
Australian Shepherd,Medium,Male,2.0,44.0,Moderate,4.0,12.0,1.0,1.0
Siberian Husky,Medium,Female,6.0,25.0,Low,4.0,12.0,2.0,2.0
Siberian Husky,Medium,Male,13.0,38.0,Very Active,1.0,14.0,2.0,4.0
Australian Shepherd,Medium,Female,11.0,61.0,Very Active,2.0,10.0,3.0,2.0
Bulldog,Medium,Female,12.0,45.0,Moderate,2.0,12.0,2.0,3.0
Siberian Husky,Medium,Female,5.0,42.0,Active,1.0,11.0,2.0,2.0
Boxer,Medium,Female,7.0,50.0,Moderate,2.0,10.0,2.0,1.0
Boxer,Medium,Female,1.0,65.0,Moderate,2.0,10.0,3.0,0.0
Siberian Husky,Medium,Male,1.0,52.0,Active,4.0,10.0,2.0,3.0
Australian Shepherd,Medium,Male,3.0,59.0,Moderate,3.0,10.0,2.0,1.0
Bulldog,Medium,Female,7.0,59.0,Active,1.0,10.0,1.0,1.0
Bulldog,Medium,Male,10.0,67.0,Very Active,1.0,11.0,3.0,1.0
Siberian Husky,Medium,Male,1.0,54.0,Low,2.0,12.0,3.0,1.0
Bulldog,Medium,Female,7.0,56.0,Active,4.0,10.0,1.0,2.0
Boxer,Medium,Male,5.0,59.0,Moderate,4.0,13.0,1.0,1.0
Boxer,Medium,Female,3.0,54.0,Low,2.0,10.0,1.0,1.0
Siberian Husky,Medium,Male,6.0,52.0,Low,3.0,11.0,1.0,2.0
Siberian Husky,Medium,Male,3.0,75.0,Moderate,4.0,8.0,0.0,1.0
Australian Shepherd,Medium,Female,5.0,49.0,Low,5.0,8.0,0.0,3.0
Siberian Husky,Medium,Female,5.0,67.0,Low,3.0,11.0,0.0,2.0
Australian Shepherd,Medium,Female,4.0,51.0,Active,2.0,10.0,1.0,4.0
Australian Shepherd,Medium,Male,10.0,47.0,Very Active,2.0,12.0,2.0,3.0
Bulldog,Medium,Female,9.0,43.0,Very Active,5.0,11.0,2.0,1.0
Australian Shepherd,Medium,Male,7.0,75.0,Very Active,0.0,13.0,2.0,0.0
Bulldog,Medium,Male,9.0,67.0,Very Active,1.0,12.0,2.0,1.0
Boxer,Medium,Female,2.0,53.0,Active,1.0,8.0,0.0,1.0
Boxer,Medium,Female,11.0,62.0,Low,6.0,10.0,2.0,2.0
Australian Shepherd,Medium,Female,10.0,36.0,Low,0.0,13.0,2.0,2.0
Boxer,Medium,Female,6.0,50.0,Active,4.0,13.0,1.0,1.0
Australian Shepherd,Medium,Male,11.0,49.0,Active,3.0,8.0,3.0,1.0
Siberian Husky,Medium,Male,6.0,62.0,Low,4.0,14.0,0.0,1.0
Boxer,Medium,Female,6.0,74.0,Active,3.0,10.0,1.0,3.0
Boxer,Medium,Male,12.0,40.0,Low,3.0,10.0,1.0,4.0
Bulldog,Medium,Male,4.0,68.0,Low,4.0,10.0,3.0,1.0
Boxer,Medium,Male,11.0,58.0,Active,1.0,11.0,2.0,2.0
Australian Shepherd,Medium,Male,7.0,29.0,Active,3.0,11.0,4.0,2.0
Australian Shepherd,Medium,Female,10.0,69.0,Active,4.0,11.0,2.0,1.0
Bulldog,Medium,Female,4.0,67.0,Very Active,4.0,11.0,1.0,1.0
Boxer,Medium,Male,10.0,50.0,Active,3.0,9.0,1.0,3.0
Siberian Husky,Medium,Female,3.0,68.0,Low,2.0,11.0,1.0,2.0
Siberian Husky,Medium,Male,12.0,61.0,Very Active,5.0,12.0,3.0,1.0
Boxer,Medium,Male,9.0,46.0,Moderate,1.0,10.0,1.0,2.0
Bulldog,Medium,Male,12.0,55.0,Moderate,3.0,10.0,2.0,2.0
Siberian Husky,Medium,Male,11.0,62.0,Active,2.0,10.0,2.0,1.0
Boxer,Medium,Female,7.0,50.0,Low,2.0,13.0,0.0,1.0
Siberian Husky,Medium,Female,1.0,31.0,Active,3.0,13.0,3.0,1.0
Bulldog,Medium,Female,13.0,58.0,Active,4.0,11.0,2.0,2.0
Bulldog,Medium,Male,4.0,19.0,Active,4.0,11.0,2.0,1.0
Australian Shepherd,Medium,Male,7.0,43.0,Active,4.0,11.0,2.0,0.0
Bulldog,Medium,Female,6.0,43.0,Active,3.0,11.0,0.0,0.0
Bulldog,Medium,Male,8.0,77.0,Active,4.0,13.0,3.0,0.0
Boxer,Medium,Male,2.0,65.0,Active,2.0,11.0,2.0,2.0
Siberian Husky,Medium,Female,5.0,21.0,Very Active,4.0,13.0,2.0,1.0
Bulldog,Medium,Male,1.0,61.0,Active,3.0,10.0,1.0,1.0
Siberian Husky,Medium,Female,7.0,48.0,Active,5.0,10.0,1.0,1.0
Bulldog,Medium,Male,8.0,31.0,Moderate,3.0,11.0,3.0,2.0
Boxer,Medium,Female,13.0,15.0,Moderate,2.0,9.0,3.0,4.0
Bulldog,Medium,Female,11.0,60.0,Low,4.0,12.0,2.0,1.0
Bulldog,Medium,Female,7.0,80.0,Active,1.0,13.0,1.0,1.0
Australian Shepherd,Medium,Male,13.0,51.0,Active,0.0,12.0,1.0,1.0
Boxer,Medium,Male,5.0,62.0,Active,0.0,9.0,0.0,1.0
Australian Shepherd,Medium,Female,13.0,50.0,Very Active,4.0,11.0,1.0,1.0
Siberian Husky,Medium,Female,13.0,57.0,Very Active,1.0,13.0,1.0,1.0
Boxer,Medium,Male,12.0,45.0,Very Active,2.0,9.0,2.0,0.0
Siberian Husky,Medium,Female,9.0,60.0,Active,3.0,12.0,1.0,1.0
Australian Shepherd,Medium,Female,4.0,30.0,Moderate,2.0,10.0,1.0,2.0
Boxer,Medium,Female,1.0,48.0,Active,1.0,11.0,0.0,1.0
Bulldog,Medium,Female,6.0,49.0,Low,1.0,10.0,2.0,2.0
Siberian Husky,Medium,Male,1.0,33.0,Active,2.0,12.0,1.0,2.0
Australian Shepherd,Medium,Female,2.0,49.0,Low,3.0,11.0,1.0,1.0
Siberian Husky,Medium,Female,8.0,77.0,Very Active,3.0,14.0,3.0,1.0
Australian Shepherd,Medium,Male,4.0,33.0,Low,1.0,13.0,1.0,2.0
Bulldog,Medium,Female,3.0,51.0,Low,4.0,11.0,0.0,2.0
Siberian Husky,Medium,Female,1.0,51.0,Active,3.0,13.0,1.0,2.0
Siberian Husky,Medium,Male,4.0,51.0,Low,4.0,11.0,1.0,1.0
Bulldog,Medium,Male,13.0,57.0,Active,3.0,14.0,1.0,3.0
Siberian Husky,Medium,Female,6.0,29.0,Very Active,2.0,8.0,2.0,0.0
Australian Shepherd,Medium,Male,10.0,50.0,Active,1.0,11.0,2.0,1.0
Boxer,Medium,Male,5.0,66.0,Active,3.0,12.0,2.0,4.0
Boxer,Medium,Male,13.0,48.0,Active,3.0,12.0,1.0,1.0
Siberian Husky,Medium,Female,6.0,51.0,Moderate,3.0,10.0,1.0,2.0
Boxer,Medium,Male,5.0,52.0,Low,0.0,10.0,2.0,3.0
Australian Shepherd,Medium,Male,2.0,44.0,Active,3.0,10.0,1.0,3.0
Australian Shepherd,Medium,Female,4.0,64.0,Active,0.0,13.0,3.0,3.0
Siberian Husky,Medium,Male,7.0,42.0,Active,1.0,11.0,2.0,0.0
Siberian Husky,Medium,Male,5.0,61.0,Moderate,3.0,9.0,2.0,0.0
Boxer,Medium,Male,2.0,32.0,Active,1.0,11.0,1.0,1.0
Australian Shepherd,Medium,Male,2.0,48.0,Active,3.0,12.0,3.0,2.0
Boxer,Medium,Female,11.0,37.0,Low,7.0,9.0,2.0,2.0
Australian Shepherd,Medium,Female,1.0,45.0,Moderate,0.0,12.0,0.0,2.0
Boxer,Medium,Female,2.0,44.0,Very Active,4.0,11.0,3.0,2.0
Bulldog,Medium,Female,2.0,45.0,Active,3.0,9.0,1.0,0.0
Bulldog,Medium,Male,6.0,32.0,Active,4.0,11.0,1.0,1.0
Bulldog,Medium,Male,10.0,65.0,Active,1.0,9.0,2.0,1.0
Australian Shepherd,Medium,Male,2.0,58.0,Very Active,2.0,11.0,1.0,0.0
Siberian Husky,Medium,Male,9.0,69.0,Active,2.0,14.0,1.0,2.0
Siberian Husky,Medium,Male,9.0,60.0,Very Active,4.0,12.0,1.0,1.0
Australian Shepherd,Medium,Female,11.0,44.0,Active,3.0,12.0,1.0,0.0
Bulldog,Medium,Male,12.0,55.0,Very Active,2.0,11.0,1.0,2.0
Siberian Husky,Medium,Male,4.0,46.0,Moderate,1.0,11.0,2.0,2.0
Siberian Husky,Medium,Female,8.0,47.0,Active,0.0,10.0,2.0,1.0
Siberian Husky,Medium,Male,10.0,43.0,Active,3.0,8.0,3.0,2.0
Bulldog,Medium,Male,7.0,43.0,Moderate,6.0,11.0,1.0,2.0
Australian Shepherd,Medium,Female,6.0,50.0,Active,3.0,10.0,2.0,1.0
Boxer,Medium,Female,11.0,74.0,Active,1.0,13.0,0.0,2.0
Siberian Husky,Medium,Female,2.0,50.0,Moderate,1.0,11.0,2.0,1.0
Siberian Husky,Medium,Male,7.0,45.0,Very Active,4.0,11.0,2.0,0.0
Siberian Husky,Medium,Male,6.0,81.0,Active,4.0,11.0,4.0,3.0
Australian Shepherd,Medium,Female,5.0,63.0,Low,5.0,10.0,2.0,1.0
Boxer,Medium,Male,4.0,42.0,Active,2.0,11.0,0.0,4.0
Boxer,Medium,Male,8.0,49.0,Very Active,4.0,13.0,0.0,0.0
Boxer,Medium,Female,3.0,26.0,Active,3.0,12.0,0.0,2.0
Australian Shepherd,Medium,Female,1.0,44.0,Active,3.0,9.0,1.0,4.0
Boxer,Medium,Male,3.0,53.0,Active,5.0,10.0,1.0,1.0
Australian Shepherd,Medium,Male,2.0,51.0,Low,4.0,13.0,2.0,3.0
Siberian Husky,Medium,Male,8.0,53.0,Active,3.0,13.0,1.0,0.0
Australian Shepherd,Medium,Male,9.0,65.0,Very Active,2.0,10.0,4.0,1.0
Australian Shepherd,Medium,Male,7.0,84.0,Active,2.0,9.0,1.0,1.0
Siberian Husky,Medium,Female,6.0,76.0,Moderate,1.0,11.0,1.0,1.0
Boxer,Medium,Male,2.0,23.0,Moderate,5.0,10.0,1.0,1.0
Siberian Husky,Medium,Male,2.0,33.0,Moderate,2.0,10.0,2.0,4.0
Boxer,Medium,Male,3.0,42.0,Active,3.0,11.0,2.0,2.0
Siberian Husky,Medium,Male,4.0,58.0,Active,0.0,9.0,2.0,2.0
Australian Shepherd,Medium,Female,2.0,56.0,Moderate,3.0,11.0,0.0,1.0
Australian Shepherd,Medium,Female,4.0,70.0,Low,0.0,14.0,2.0,1.0
Siberian Husky,Medium,Male,8.0,40.0,Active,4.0,11.0,1.0,1.0
Bulldog,Medium,Male,9.0,59.0,Active,1.0,12.0,1.0,1.0
Bulldog,Medium,Male,5.0,27.0,Low,3.0,14.0,4.0,0.0
Australian Shepherd,Medium,Female,6.0,31.0,Moderate,2.0,9.0,0.0,2.0
Australian Shepherd,Medium,Female,7.0,69.0,Active,2.0,12.0,1.0,1.0
Australian Shepherd,Medium,Male,6.0,50.0,Very Active,4.0,10.0,0.0,4.0
Australian Shepherd,Medium,Male,6.0,60.0,Moderate,4.0,8.0,1.0,4.0
Australian Shepherd,Medium,Male,11.0,27.0,Active,4.0,8.0,2.0,3.0
Siberian Husky,Medium,Male,1.0,36.0,Moderate,4.0,10.0,2.0,1.0
Bulldog,Medium,Male,12.0,59.0,Active,2.0,9.0,2.0,2.0
Siberian Husky,Medium,Male,12.0,55.0,Very Active,2.0,13.0,0.0,2.0
Boxer,Medium,Male,8.0,32.0,Active,3.0,12.0,2.0,4.0
Bulldog,Medium,Male,2.0,50.0,Low,4.0,11.0,3.0,2.0
Bulldog,Medium,Male,2.0,67.0,Active,4.0,12.0,0.0,4.0
Bulldog,Medium,Female,11.0,53.0,Low,4.0,13.0,1.0,1.0
Bulldog,Medium,Female,2.0,67.0,Moderate,4.0,11.0,0.0,1.0
Australian Shepherd,Medium,Female,2.0,56.0,Very Active,0.0,12.0,1.0,2.0
Bulldog,Medium,Female,12.0,39.0,Low,0.0,8.0,0.0,1.0
Siberian Husky,Medium,Female,4.0,60.0,Active,3.0,11.0,2.0,1.0
Siberian Husky,Medium,Female,6.0,55.0,Low,2.0,11.0,3.0,1.0
Bulldog,Medium,Female,11.0,50.0,Active,0.0,11.0,2.0,2.0
Boxer,Medium,Female,12.0,59.0,Moderate,5.0,12.0,2.0,1.0
Australian Shepherd,Medium,Female,9.0,31.0,Moderate,0.0,12.0,0.0,2.0
Bulldog,Medium,Male,2.0,52.0,Low,2.0,10.0,1.0,2.0
Australian Shepherd,Medium,Female,11.0,50.0,Active,2.0,11.0,0.0,3.0
Bulldog,Medium,Male,9.0,59.0,Active,1.0,9.0,1.0,0.0
Siberian Husky,Medium,Male,1.0,31.0,Active,0.0,10.0,3.0,1.0
Australian Shepherd,Medium,Male,9.0,44.0,Very Active,2.0,9.0,2.0,0.0
Boxer,Medium,Female,5.0,53.0,Active,3.0,11.0,1.0,2.0
Bulldog,Medium,Male,8.0,37.0,Active,4.0,14.0,2.0,2.0
Australian Shepherd,Medium,Male,10.0,66.0,Low,1.0,12.0,2.0,2.0
Boxer,Medium,Female,11.0,32.0,Active,3.0,11.0,2.0,3.0
Australian Shepherd,Medium,Male,5.0,62.0,Active,3.0,11.0,1.0,1.0
Australian Shepherd,Medium,Male,5.0,64.0,Active,5.0,11.0,0.0,1.0
Australian Shepherd,Medium,Female,7.0,43.0,Active,2.0,11.0,1.0,1.0
Bulldog,Medium,Male,8.0,48.0,Moderate,1.0,12.0,2.0,0.0
Australian Shepherd,Medium,Male,8.0,61.0,Active,0.0,9.0,1.0,0.0
Australian Shepherd,Medium,Female,10.0,41.0,Active,0.0,10.0,2.0,1.0
Bulldog,Medium,Male,9.0,57.0,Very Active,5.0,11.0,2.0,3.0
Australian Shepherd,Medium,Male,8.0,59.0,Low,3.0,11.0,2.0,2.0
Siberian Husky,Medium,Female,3.0,29.0,Low,0.0,10.0,3.0,3.0
Australian Shepherd,Medium,Male,7.0,65.0,Active,3.0,12.0,0.0,1.0
Boxer,Medium,Male,11.0,56.0,Active,2.0,9.0,3.0,0.0
Siberian Husky,Medium,Female,3.0,43.0,Moderate,4.0,12.0,1.0,4.0
Australian Shepherd,Medium,Male,8.0,56.0,Very Active,1.0,10.0,2.0,1.0
Siberian Husky,Medium,Male,7.0,44.0,Moderate,0.0,10.0,3.0,2.0
Siberian Husky,Medium,Female,13.0,72.0,Low,1.0,10.0,2.0,1.0
Bulldog,Medium,Female,9.0,54.0,Very Active,2.0,11.0,1.0,1.0
Australian Shepherd,Medium,Male,4.0,49.0,Very Active,2.0,11.0,3.0,1.0
Bulldog,Medium,Female,5.0,33.0,Low,3.0,10.0,2.0,3.0
Boxer,Medium,Male,6.0,66.0,Moderate,3.0,13.0,1.0,2.0
Bulldog,Medium,Female,9.0,55.0,Very Active,3.0,12.0,3.0,3.0
Bulldog,Medium,Male,13.0,63.0,Moderate,2.0,14.0,1.0,2.0
Bulldog,Medium,Female,5.0,44.0,Very Active,1.0,13.0,1.0,1.0
Siberian Husky,Medium,Female,7.0,37.0,Moderate,3.0,12.0,2.0,1.0
Boxer,Medium,Male,10.0,56.0,Moderate,0.0,11.0,2.0,1.0
Boxer,Medium,Female,6.0,64.0,Active,3.0,10.0,2.0,0.0
Siberian Husky,Medium,Male,7.0,58.0,Low,2.0,8.0,2.0,1.0
Boxer,Medium,Male,8.0,63.0,Active,3.0,13.0,1.0,2.0
Boxer,Medium,Female,5.0,32.0,Active,3.0,10.0,0.0,0.0
Australian Shepherd,Medium,Male,13.0,41.0,Very Active,4.0,11.0,1.0,1.0
Boxer,Medium,Male,2.0,56.0,Very Active,4.0,12.0,1.0,1.0
Siberian Husky,Medium,Female,11.0,27.0,Active,1.0,12.0,1.0,2.0
Siberian Husky,Medium,Female,5.0,58.0,Moderate,5.0,14.0,2.0,4.0
Australian Shepherd,Medium,Male,4.0,64.0,Low,3.0,10.0,1.0,0.0
Bulldog,Medium,Male,6.0,50.0,Very Active,2.0,12.0,2.0,0.0
Boxer,Medium,Female,8.0,38.0,Low,1.0,11.0,2.0,1.0
Bulldog,Medium,Male,2.0,65.0,Active,4.0,13.0,0.0,1.0
Siberian Husky,Medium,Female,13.0,52.0,Very Active,7.0,10.0,1.0,3.0
Bulldog,Medium,Female,3.0,71.0,Moderate,5.0,12.0,1.0,0.0
Bulldog,Medium,Female,7.0,55.0,Active,1.0,9.0,1.0,2.0
Boxer,Medium,Male,1.0,41.0,Active,0.0,8.0,1.0,4.0
Siberian Husky,Medium,Male,13.0,48.0,Low,3.0,11.0,2.0,2.0
Australian Shepherd,Medium,Male,5.0,61.0,Very Active,2.0,14.0,2.0,3.0
Bulldog,Medium,Male,7.0,49.0,Very Active,0.0,10.0,1.0,1.0
Siberian Husky,Medium,Female,4.0,40.0,Moderate,3.0,9.0,1.0,2.0
Boxer,Medium,Male,5.0,61.0,Active,1.0,11.0,1.0,3.0
Boxer,Medium,Female,2.0,46.0,Active,4.0,14.0,1.0,1.0
Australian Shepherd,Medium,Male,10.0,27.0,Very Active,2.0,10.0,2.0,2.0
Bulldog,Medium,Male,4.0,57.0,Very Active,2.0,10.0,2.0,4.0
Australian Shepherd,Medium,Female,11.0,79.0,Very Active,0.0,12.0,3.0,0.0
Boxer,Medium,Female,8.0,43.0,Active,3.0,9.0,1.0,2.0
Bulldog,Medium,Male,3.0,49.0,Active,2.0,11.0,3.0,4.0
Siberian Husky,Medium,Male,12.0,37.0,Very Active,3.0,12.0,2.0,1.0
Boxer,Medium,Male,6.0,55.0,Moderate,1.0,11.0,1.0,1.0
Siberian Husky,Medium,Male,3.0,61.0,Moderate,4.0,10.0,0.0,1.0
Siberian Husky,Medium,Female,7.0,50.0,Active,3.0,11.0,0.0,0.0
Bulldog,Medium,Female,6.0,71.0,Active,4.0,11.0,1.0,2.0
Australian Shepherd,Medium,Female,11.0,33.0,Very Active,3.0,11.0,1.0,1.0
Australian Shepherd,Medium,Female,6.0,63.0,Moderate,3.0,11.0,2.0,2.0
Bulldog,Medium,Male,1.0,36.0,Active,4.0,10.0,3.0,0.0
Boxer,Medium,Female,6.0,64.0,Active,4.0,14.0,1.0,3.0
Siberian Husky,Medium,Male,1.0,39.0,Very Active,5.0,12.0,4.0,1.0
Bulldog,Medium,Female,11.0,50.0,Active,3.0,13.0,0.0,2.0
Australian Shepherd,Medium,Male,3.0,36.0,Very Active,0.0,14.0,1.0,0.0
Bulldog,Medium,Female,10.0,65.0,Active,3.0,11.0,2.0,2.0
Australian Shepherd,Medium,Male,12.0,54.0,Moderate,3.0,11.0,3.0,2.0
Boxer,Medium,Female,1.0,30.0,Active,4.0,9.0,2.0,1.0
Bulldog,Medium,Female,5.0,43.0,Moderate,2.0,10.0,3.0,1.0
Australian Shepherd,Medium,Male,4.0,37.0,Low,3.0,8.0,1.0,2.0
Australian Shepherd,Medium,Male,3.0,63.0,Very Active,3.0,9.0,0.0,4.0
Boxer,Medium,Female,8.0,52.0,Low,5.0,12.0,2.0,1.0
Siberian Husky,Medium,Female,10.0,57.0,Low,3.0,11.0,2.0,1.0
Siberian Husky,Medium,Female,6.0,69.0,Moderate,5.0,10.0,0.0,1.0
Boxer,Medium,Female,10.0,47.0,Very Active,2.0,13.0,2.0,3.0
Bulldog,Medium,Male,5.0,36.0,Very Active,2.0,11.0,2.0,0.0
Bulldog,Medium,Male,12.0,59.0,Low,1.0,9.0,3.0,1.0
Australian Shepherd,Medium,Male,6.0,40.0,Active,3.0,12.0,2.0,1.0
Australian Shepherd,Medium,Male,13.0,30.0,Active,2.0,10.0,2.0,0.0
Australian Shepherd,Medium,Male,1.0,44.0,Very Active,2.0,12.0,2.0,1.0
Bulldog,Medium,Female,6.0,62.0,Very Active,2.0,12.0,1.0,3.0
Boxer,Medium,Male,3.0,53.0,Very Active,3.0,9.0,3.0,2.0
Siberian Husky,Medium,Female,1.0,50.0,Active,0.0,11.0,3.0,1.0
Boxer,Medium,Male,2.0,49.0,Low,3.0,11.0,2.0,3.0
Bulldog,Medium,Female,2.0,47.0,Low,3.0,8.0,2.0,1.0
Siberian Husky,Medium,Female,12.0,67.0,Active,4.0,13.0,0.0,3.0
Boxer,Medium,Female,10.0,65.0,Active,2.0,10.0,1.0,2.0
Australian Shepherd,Medium,Male,8.0,50.0,Low,4.0,11.0,2.0,2.0
Siberian Husky,Medium,Female,1.0,71.0,Active,3.0,10.0,1.0,2.0
Siberian Husky,Medium,Male,8.0,51.0,Active,1.0,13.0,0.0,3.0
Boxer,Medium,Female,2.0,57.0,Low,3.0,11.0,2.0,2.0
Boxer,Medium,Female,11.0,28.0,Moderate,2.0,14.0,2.0,2.0
Bulldog,Medium,Female,1.0,72.0,Active,2.0,9.0,3.0,3.0
Bulldog,Medium,Female,8.0,58.0,Active,3.0,14.0,1.0,0.0
Boxer,Medium,Male,4.0,50.0,Active,2.0,10.0,1.0,3.0
Bulldog,Medium,Female,7.0,54.0,Active,4.0,11.0,1.0,1.0
Australian Shepherd,Medium,Female,13.0,63.0,Active,3.0,12.0,1.0,2.0
Boxer,Medium,Male,2.0,47.0,Low,4.0,14.0,2.0,0.0
Siberian Husky,Medium,Male,10.0,58.0,Very Active,3.0,10.0,2.0,4.0
Bulldog,Medium,Male,4.0,50.0,Active,3.0,12.0,2.0,2.0
Siberian Husky,Medium,Male,4.0,61.0,Moderate,0.0,8.0,2.0,4.0
Siberian Husky,Medium,Male,1.0,35.0,Very Active,3.0,12.0,2.0,1.0
Australian Shepherd,Medium,Female,8.0,74.0,Active,3.0,10.0,3.0,0.0
Australian Shepherd,Medium,Female,5.0,43.0,Very Active,3.0,11.0,2.0,4.0
Australian Shepherd,Medium,Female,2.0,42.0,Active,0.0,13.0,2.0,1.0
Boxer,Medium,Female,2.0,60.0,Active,2.0,9.0,2.0,3.0
Boxer,Medium,Female,4.0,44.0,Active,1.0,11.0,2.0,1.0
Siberian Husky,Medium,Male,10.0,70.0,Active,4.0,10.0,1.0,3.0
Bulldog,Medium,Female,5.0,58.0,Active,1.0,11.0,3.0,2.0
Siberian Husky,Medium,Male,9.0,54.0,Low,5.0,13.0,4.0,3.0
Siberian Husky,Medium,Male,3.0,64.0,Moderate,2.0,11.0,2.0,0.0
Australian Shepherd,Medium,Female,5.0,26.0,Active,2.0,10.0,2.0,4.0
Australian Shepherd,Medium,Male,6.0,35.0,Active,3.0,12.0,2.0,4.0
Siberian Husky,Medium,Female,1.0,50.0,Very Active,1.0,10.0,1.0,1.0
Bulldog,Medium,Male,4.0,42.0,Moderate,3.0,10.0,2.0,2.0
Bulldog,Medium,Female,1.0,66.0,Moderate,3.0,11.0,2.0,4.0
Boxer,Medium,Male,8.0,25.0,Very Active,2.0,11.0,0.0,1.0
Australian Shepherd,Medium,Female,6.0,41.0,Active,3.0,12.0,1.0,2.0
Australian Shepherd,Medium,Male,6.0,60.0,Active,0.0,11.0,1.0,2.0
Siberian Husky,Medium,Male,8.0,51.0,Active,1.0,11.0,0.0,1.0
Siberian Husky,Medium,Female,8.0,51.0,Active,5.0,10.0,1.0,2.0
Siberian Husky,Medium,Male,2.0,42.0,Low,4.0,11.0,0.0,1.0
Siberian Husky,Medium,Male,3.0,56.0,Low,1.0,13.0,0.0,1.0
Boxer,Medium,Female,9.0,30.0,Low,3.0,10.0,1.0,1.0
Australian Shepherd,Medium,Male,7.0,60.0,Very Active,2.0,11.0,1.0,1.0
Siberian Husky,Medium,Male,4.0,51.0,Very Active,2.0,11.0,0.0,4.0
Siberian Husky,Medium,Male,5.0,52.0,Active,3.0,12.0,3.0,1.0
Australian Shepherd,Medium,Female,6.0,52.0,Very Active,1.0,11.0,1.0,2.0
Bulldog,Medium,Female,1.0,46.0,Active,2.0,12.0,1.0,2.0
Australian Shepherd,Medium,Male,4.0,40.0,Very Active,2.0,12.0,2.0,3.0
Boxer,Medium,Female,13.0,44.0,Active,5.0,13.0,1.0,2.0
Bulldog,Medium,Male,6.0,56.0,Active,3.0,12.0,1.0,2.0
Australian Shepherd,Medium,Female,3.0,69.0,Low,4.0,11.0,1.0,1.0
Siberian Husky,Medium,Female,6.0,61.0,Active,2.0,9.0,0.0,0.0
Boxer,Medium,Female,10.0,26.0,Active,1.0,11.0,2.0,1.0
Siberian Husky,Medium,Female,5.0,48.0,Low,3.0,12.0,2.0,0.0
