Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
German Shepherd,Large,Male,8.0,Neutered,Very Active,4.0,9.0,3.0,1.0,29.94
Boxer,Medium,Female,1.0,Spayed,Moderate,2.0,10.0,3.0,0.0,29.48
Poodle,Small,Female,6.0,Spayed,Moderate,3.0,11.0,2.0,1.0,27.22
Unknown,Large,Male,8.0,Spayed,Moderate,5.0,11.0,1.0,1.0,22.23
Labrador Retriever,Large,Male,10.0,Spayed,Very Active,3.0,9.0,1.0,2.0,31.99
German Shepherd,Large,Female,6.0,Unknown,Very Active,2.0,10.0,0.0,1.0,35.15
Dachshund,Small,Male,7.0,Unknown,Active,2.0,10.0,1.0,3.0,7.79
Siberian Husky,Medium,Male,1.0,Unknown,Active,4.0,10.0,2.0,3.0,23.59
Rottweiler,Large,Male,9.0,Spayed,Low,2.0,12.0,1.0,0.0,56.9
Golden Retriever,Large,Female,1.0,Neutered,Active,1.0,12.0,2.0,2.0,32.87
Yorkshire Terrier,Small,Female,1.0,Unknown,Active,1.0,10.0,2.0,3.0,4.89
Australian Shepherd,Medium,Male,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,26.76
Doberman,Large,Male,11.0,Unknown,Active,1.0,11.0,0.0,1.0,28.34
Bulldog,Medium,Female,7.0,Neutered,Active,1.0,10.0,1.0,1.0,20.79
Great Dane,Large,Unknown,12.0,Spayed,Moderate,2.0,10.0,1.0,1.0,70.99
Dachshund,Small,Female,4.0,Spayed,Active,4.0,12.0,3.0,1.0,6.04
German Shepherd,Large,Female,3.0,Neutered,Low,2.0,10.0,1.0,0.0,26.76
Dachshund,Small,Female,5.0,Unknown,Very Active,7.0,13.0,2.0,1.0,4.17
Chihuahua,Small,Female,12.0,Spayed,Unknown,3.0,11.0,0.0,1.0,3.97
Australian Shepherd,Unknown,Male,6.0,Spayed,Active,1.0,12.0,3.0,0.0,24.95
Labrador Retriever,Large,Male,5.0,Neutered,Active,0.0,11.0,2.0,2.0,31.89
Great Dane,Large,Male,2.0,Neutered,Unknown,0.0,13.0,0.0,1.0,72.36
Bulldog,Medium,Male,10.0,Unknown,Very Active,1.0,11.0,3.0,1.0,24.35
Dachshund,Small,Female,8.0,Spayed,Unknown,1.0,11.0,1.0,1.0,4.23
Poodle,Small,Female,3.0,Neutered,Low,3.0,13.0,2.0,3.0,26.31
Labrador Retriever,Large,Male,12.0,Neutered,Unknown,1.0,14.0,2.0,4.0,25.4
Beagle,Small,Female,13.0,Neutered,Low,5.0,12.0,2.0,2.0,9.79
Beagle,Small,Male,1.0,Spayed,Very Active,2.0,10.0,1.0,2.0,14.56
Dachshund,Small,Male,13.0,Unknown,Active,2.0,11.0,2.0,2.0,4.14
Yorkshire Terrier,Small,Female,8.0,Neutered,Very Active,4.0,13.0,1.0,2.0,3.22
Great Dane,Large,Female,4.0,Unknown,Unknown,1.0,12.0,2.0,1.0,71.15
Dachshund,Small,Female,13.0,Neutered,Active,3.0,11.0,2.0,1.0,6.76
German Shepherd,Unknown,Female,6.0,Neutered,Low,3.0,10.0,2.0,1.0,28.58
Siberian Husky,Unknown,Male,1.0,Unknown,Very Active,1.0,13.0,1.0,2.0,16.33
Siberian Husky,Medium,Male,1.0,Spayed,Low,2.0,12.0,3.0,1.0,24.49
German Shepherd,Large,Male,13.0,Unknown,Active,2.0,14.0,2.0,1.0,24.95
Bulldog,Medium,Female,7.0,Neutered,Unknown,4.0,10.0,1.0,2.0,23.15
Poodle,Small,Female,9.0,Spayed,Unknown,3.0,12.0,2.0,0.0,21.32
Beagle,Small,Male,3.0,Spayed,Low,2.0,12.0,0.0,0.0,14.04
Chihuahua,Small,Male,4.0,Unknown,Unknown,4.0,11.0,1.0,3.0,2.89
Great Dane,Large,Male,6.0,Neutered,Active,1.0,10.0,0.0,2.0,72.36
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,13.0,1.0,1.0,26.76
Yorkshire Terrier,Small,Female,1.0,Neutered,Low,1.0,10.0,2.0,4.0,4.82
Doberman,Large,Male,1.0,Spayed,Unknown,5.0,9.0,2.0,1.0,39.39
Labrador Retriever,Large,Female,10.0,Spayed,Very Active,2.0,10.0,1.0,3.0,33.95
Golden Retriever,Large,Male,7.0,Spayed,Unknown,5.0,11.0,2.0,0.0,28.12
Boxer,Medium,Female,3.0,Spayed,Low,2.0,10.0,1.0,1.0,32.55
Siberian Husky,Medium,Male,6.0,Spayed,Low,3.0,11.0,1.0,2.0,23.59
Golden Retriever,Large,Male,2.0,Unknown,Active,6.0,11.0,2.0,2.0,27.67
Poodle,Small,Unknown,11.0,Neutered,Active,4.0,12.0,1.0,2.0,17.24
Rottweiler,Large,Male,2.0,Neutered,Unknown,2.0,10.0,0.0,3.0,48.89
Dachshund,Small,Male,5.0,Unknown,Low,2.0,12.0,2.0,2.0,7.14
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,4.0,8.0,0.0,1.0,26.57
German Shepherd,Large,Female,7.0,Unknown,Very Active,4.0,13.0,1.0,1.0,23.68
Australian Shepherd,Medium,Female,5.0,Neutered,Low,5.0,8.0,0.0,3.0,22.23
Rottweiler,Large,Female,2.0,Neutered,Very Active,2.0,12.0,1.0,1.0,53.52
Doberman,Large,Male,10.0,Spayed,Unknown,4.0,12.0,1.0,1.0,42.09
Yorkshire Terrier,Small,Male,12.0,Unknown,Very Active,2.0,12.0,2.0,4.0,4.2
Australian Shepherd,Unknown,Male,13.0,Spayed,Unknown,5.0,12.0,1.0,1.0,22.68
Beagle,Small,Female,13.0,Spayed,Active,2.0,11.0,2.0,4.0,12.5
Labrador Retriever,Large,Female,9.0,Spayed,Unknown,4.0,10.0,2.0,0.0,25.4
Yorkshire Terrier,Small,Male,2.0,Unknown,Unknown,2.0,12.0,2.0,1.0,2.5
Labrador Retriever,Large,Male,12.0,Neutered,Active,4.0,12.0,1.0,2.0,31.3
Golden Retriever,Large,Male,9.0,Unknown,Active,3.0,10.0,1.0,3.0,28.58
Siberian Husky,Medium,Female,5.0,Spayed,Low,3.0,11.0,0.0,2.0,18.52
Golden Retriever,Unknown,Male,2.0,Unknown,Very Active,3.0,11.0,4.0,3.0,32.3
German Shepherd,Large,Female,8.0,Neutered,Very Active,0.0,13.0,0.0,1.0,34.67
Yorkshire Terrier,Small,Male,3.0,Unknown,Very Active,2.0,10.0,2.0,1.0,2.48
Australian Shepherd,Medium,Female,4.0,Neutered,Unknown,2.0,10.0,1.0,4.0,23.13
Doberman,Large,Male,2.0,Unknown,Active,5.0,12.0,2.0,0.0,28.73
Doberman,Large,Female,3.0,Spayed,Moderate,3.0,12.0,1.0,0.0,33.97
Australian Shepherd,Medium,Male,10.0,Neutered,Very Active,2.0,12.0,2.0,3.0,21.32
German Shepherd,Large,Female,2.0,Spayed,Unknown,4.0,11.0,3.0,0.0,29.48
Labrador Retriever,Large,Male,2.0,Spayed,Moderate,1.0,11.0,2.0,2.0,25.85
Golden Retriever,Large,Male,4.0,Neutered,Unknown,3.0,10.0,3.0,1.0,26.84
Yorkshire Terrier,Small,Male,8.0,Neutered,Active,5.0,10.0,3.0,0.0,3.53
Great Dane,Large,Unknown,11.0,Neutered,Low,3.0,11.0,2.0,2.0,70.16
Great Dane,Large,Female,1.0,Neutered,Unknown,6.0,11.0,3.0,1.0,49.9
Yorkshire Terrier,Small,Female,8.0,Spayed,Moderate,1.0,11.0,2.0,4.0,3.8
Poodle,Small,Male,12.0,Spayed,Active,6.0,10.0,0.0,1.0,29.48
Yorkshire Terrier,Small,Male,2.0,Spayed,Moderate,2.0,11.0,1.0,3.0,2.61
Yorkshire Terrier,Small,Female,4.0,Unknown,Very Active,1.0,9.0,2.0,2.0,4.8
Poodle,Unknown,Female,11.0,Neutered,Very Active,5.0,11.0,3.0,2.0,21.96
Golden Retriever,Large,Male,5.0,Neutered,Active,1.0,11.0,3.0,3.0,26.85
German Shepherd,Large,Male,5.0,Neutered,Moderate,4.0,10.0,0.0,3.0,25.4
Dachshund,Small,Female,7.0,Spayed,Active,3.0,13.0,1.0,2.0,5.4
Bulldog,Medium,Female,9.0,Neutered,Very Active,5.0,11.0,2.0,1.0,19.5
Doberman,Large,Female,9.0,Unknown,Active,1.0,9.0,1.0,3.0,39.15
Labrador Retriever,Large,Male,10.0,Neutered,Unknown,3.0,13.0,1.0,0.0,29.03
Doberman,Large,Male,8.0,Spayed,Low,2.0,11.0,3.0,3.0,44.6
Australian Shepherd,Medium,Male,7.0,Spayed,Very Active,0.0,13.0,2.0,0.0,27.63
Golden Retriever,Large,Female,13.0,Unknown,Active,3.0,11.0,0.0,1.0,31.24
Bulldog,Medium,Male,9.0,Unknown,Very Active,1.0,12.0,2.0,1.0,19.3
Beagle,Small,Female,10.0,Neutered,Very Active,2.0,12.0,1.0,3.0,15.62
Golden Retriever,Large,Male,12.0,Unknown,Low,4.0,10.0,2.0,1.0,27.67
Yorkshire Terrier,Small,Male,2.0,Spayed,Low,4.0,14.0,2.0,2.0,3.73
Beagle,Small,Female,9.0,Unknown,Low,2.0,9.0,3.0,3.0,10.3
Yorkshire Terrier,Small,Female,1.0,Spayed,Active,3.0,10.0,2.0,1.0,3.32
Boxer,Medium,Female,2.0,Unknown,Unknown,1.0,8.0,0.0,1.0,33.29
Boxer,Medium,Female,11.0,Neutered,Low,6.0,10.0,2.0,2.0,28.12
Rottweiler,Large,Unknown,13.0,Neutered,Low,1.0,12.0,4.0,1.0,59.32
Beagle,Small,Female,11.0,Unknown,Active,3.0,12.0,0.0,0.0,9.27
Doberman,Large,Female,4.0,Neutered,Unknown,3.0,12.0,1.0,0.0,43.29
Rottweiler,Large,Female,5.0,Neutered,Moderate,2.0,11.0,1.0,1.0,54.14
Labrador Retriever,Large,Unknown,1.0,Spayed,Active,6.0,9.0,3.0,1.0,31.44
Australian Shepherd,Medium,Female,10.0,Spayed,Low,0.0,13.0,2.0,2.0,22.42
Rottweiler,Large,Male,7.0,Spayed,Moderate,3.0,10.0,2.0,3.0,52.17
Boxer,Medium,Female,6.0,Spayed,Unknown,4.0,13.0,1.0,1.0,26.19
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,12.0,2.0,0.0,3.58
Chihuahua,Small,Unknown,6.0,Neutered,Active,1.0,9.0,1.0,2.0,1.65
Australian Shepherd,Medium,Male,11.0,Spayed,Active,3.0,8.0,3.0,1.0,22.23
Dachshund,Unknown,Female,7.0,Unknown,Moderate,5.0,11.0,3.0,2.0,7.26
Great Dane,Large,Male,9.0,Neutered,Unknown,2.0,13.0,3.0,2.0,79.44
Great Dane,Large,Male,1.0,Unknown,Very Active,3.0,10.0,2.0,0.0,66.96
Siberian Husky,Medium,Male,6.0,Neutered,Low,4.0,14.0,0.0,1.0,21.11
Yorkshire Terrier,Small,Female,3.0,Spayed,Active,2.0,9.0,1.0,2.0,2.76
Boxer,Medium,Female,6.0,Unknown,Unknown,3.0,10.0,1.0,3.0,33.57
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,3.0,12.0,1.0,1.0,4.04
Labrador Retriever,Large,Male,6.0,Unknown,Moderate,3.0,11.0,1.0,3.0,35.06
Rottweiler,Large,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,4.0,59.13
Great Dane,Large,Male,8.0,Neutered,Moderate,3.0,11.0,1.0,1.0,56.25
Boxer,Medium,Male,12.0,Spayed,Low,3.0,10.0,1.0,4.0,29.25
Poodle,Small,Male,5.0,Unknown,Very Active,1.0,10.0,3.0,0.0,12.25
German Shepherd,Large,Male,3.0,Unknown,Unknown,5.0,11.0,2.0,3.0,30.15
Doberman,Large,Male,2.0,Unknown,Moderate,4.0,11.0,0.0,3.0,35.67
Poodle,Small,Male,5.0,Spayed,Very Active,2.0,12.0,0.0,1.0,12.25
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,2.0,1.0,24.95
Poodle,Small,Male,5.0,Spayed,Moderate,2.0,11.0,1.0,1.0,27.67
Bulldog,Medium,Male,4.0,Spayed,Low,4.0,10.0,3.0,1.0,22.52
Labrador Retriever,Large,Male,11.0,Neutered,Active,0.0,10.0,1.0,1.0,27.67
Boxer,Medium,Male,11.0,Unknown,Active,1.0,11.0,2.0,2.0,26.31
Beagle,Small,Male,13.0,Neutered,Very Active,3.0,11.0,0.0,1.0,13.15
Yorkshire Terrier,Small,Female,1.0,Unknown,Unknown,4.0,11.0,0.0,0.0,2.51
Dachshund,Small,Female,13.0,Unknown,Active,3.0,11.0,2.0,2.0,5.3
German Shepherd,Large,Female,8.0,Neutered,Active,4.0,11.0,1.0,3.0,31.75
Rottweiler,Large,Male,7.0,Spayed,Unknown,2.0,9.0,1.0,3.0,46.62
Unknown,Small,Male,1.0,Spayed,Moderate,2.0,12.0,0.0,1.0,14.51
Golden Retriever,Large,Female,7.0,Unknown,Low,2.0,11.0,2.0,1.0,27.51
Beagle,Small,Female,7.0,Spayed,Moderate,4.0,10.0,1.0,1.0,12.31
Australian Shepherd,Medium,Male,7.0,Unknown,Active,3.0,11.0,4.0,2.0,22.28
Dachshund,Small,Female,2.0,Spayed,Low,1.0,11.0,2.0,1.0,6.66
Beagle,Small,Female,13.0,Spayed,Active,1.0,12.0,1.0,1.0,9.5
Yorkshire Terrier,Unknown,Male,6.0,Unknown,Low,2.0,12.0,0.0,1.0,4.48
Chihuahua,Small,Female,5.0,Neutered,Unknown,2.0,10.0,3.0,1.0,2.5
Labrador Retriever,Large,Female,8.0,Neutered,Very Active,3.0,10.0,1.0,3.0,26.78
Yorkshire Terrier,Small,Male,9.0,Unknown,Very Active,6.0,10.0,1.0,1.0,4.93
Doberman,Large,Female,11.0,Neutered,Very Active,4.0,12.0,0.0,1.0,36.29
Chihuahua,Small,Female,8.0,Neutered,Moderate,5.0,11.0,1.0,4.0,3.55
Golden Retriever,Large,Male,13.0,Spayed,Moderate,1.0,10.0,1.0,0.0,26.93
