Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
Dachshund,Small,Female,10.0,Spayed,Moderate,1.0,12.0,2.0,4.0,24.95
Golden Retriever,Large,Female,9.0,Neutered,Unknown,2.0,11.0,1.0,1.0,22.68
Beagle,Small,Female,6.0,Spayed,Moderate,3.0,12.0,2.0,0.0,25.4
Yorkshire Terrier,Small,Unknown,2.0,Spayed,Unknown,1.0,10.0,3.0,3.0,13.15
Bulldog,Medium,Male,11.0,Spayed,Moderate,2.0,9.0,3.0,3.0,15.42
Boxer,Medium,Male,9.0,Unknown,Very Active,3.0,12.0,1.0,1.0,25.85
Rottweiler,Large,Male,11.0,Neutered,Very Active,5.0,14.0,1.0,1.0,32.21
Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,2.0,10.0,2.0,0.0,33.11
Dachshund,Unknown,Male,7.0,Spayed,Very Active,2.0,11.0,0.0,1.0,41.28
Poodle,Small,Male,1.0,Unknown,Active,3.0,11.0,2.0,2.0,13.61
Australian Shepherd,Medium,Female,12.0,Unknown,Very Active,2.0,10.0,2.0,1.0,19.5
Golden Retriever,Large,Male,2.0,Unknown,Low,2.0,14.0,0.0,1.0,19.5
Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,3.0,8.0,3.0,2.0,34.47
Australian Shepherd,Medium,Female,6.0,Neutered,Moderate,5.0,14.0,0.0,3.0,24.04
Rottweiler,Large,Female,3.0,Neutered,Unknown,4.0,10.0,1.0,0.0,14.51
German Shepherd,Large,Female,10.0,Neutered,Very Active,3.0,11.0,2.0,2.0,16.78
Australian Shepherd,Medium,Female,4.0,Neutered,Active,3.0,9.0,0.0,1.0,25.4
Chihuahua,Small,Female,9.0,Neutered,Low,0.0,13.0,3.0,1.0,34.47
Siberian Husky,Medium,Male,3.0,Spayed,Unknown,2.0,10.0,2.0,1.0,14.97
Poodle,Small,Male,5.0,Spayed,Low,4.0,10.0,1.0,1.0,14.97
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,2.0,17.24
Yorkshire Terrier,Small,Male,12.0,Unknown,Low,2.0,11.0,4.0,1.0,18.14
Doberman,Large,Male,10.0,Unknown,Very Active,3.0,11.0,3.0,1.0,24.49
Unknown,Medium,Male,7.0,Unknown,Active,5.0,11.0,2.0,0.0,22.68
Labrador Retriever,Large,Male,2.0,Neutered,Active,0.0,10.0,1.0,1.0,25.85
Bulldog,Medium,Female,8.0,Neutered,Moderate,2.0,9.0,1.0,2.0,17.24
Siberian Husky,Medium,Male,7.0,Spayed,Very Active,3.0,12.0,1.0,2.0,17.69
Chihuahua,Small,Female,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,20.41
Siberian Husky,Medium,Male,1.0,Neutered,Active,1.0,12.0,2.0,1.0,27.67
Australian Shepherd,Medium,Male,5.0,Neutered,Unknown,5.0,12.0,0.0,4.0,19.5
Doberman,Large,Female,9.0,Spayed,Unknown,2.0,13.0,0.0,1.0,22.68
Bulldog,Medium,Female,9.0,Spayed,Very Active,3.0,13.0,1.0,2.0,11.34
Great Dane,Large,Female,11.0,Spayed,Active,1.0,12.0,1.0,2.0,27.22
Poodle,Small,Male,8.0,Neutered,Active,1.0,13.0,2.0,0.0,29.94
Beagle,Small,Male,6.0,Spayed,Low,2.0,9.0,2.0,1.0,28.58
Doberman,Unknown,Male,7.0,Neutered,Low,2.0,10.0,2.0,4.0,17.69
Labrador Retriever,Large,Female,13.0,Neutered,Unknown,2.0,10.0,2.0,1.0,4.54
Yorkshire Terrier,Small,Female,1.0,Unknown,Very Active,3.0,11.0,0.0,1.0,18.6
Beagle,Small,Male,6.0,Neutered,Moderate,2.0,14.0,1.0,0.0,13.15
Yorkshire Terrier,Small,Female,10.0,Spayed,Unknown,4.0,13.0,3.0,3.0,23.13
Siberian Husky,Medium,Unknown,8.0,Unknown,Active,2.0,11.0,1.0,2.0,26.31
Boxer,Medium,Male,4.0,Neutered,Moderate,4.0,12.0,3.0,2.0,28.58
Siberian Husky,Medium,Male,4.0,Neutered,Low,3.0,12.0,0.0,1.0,16.33
Labrador Retriever,Large,Male,4.0,Spayed,Active,3.0,9.0,2.0,1.0,9.07
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,2.0,11.0,2.0,3.0,22.68
Unknown,Large,Female,6.0,Neutered,Moderate,1.0,9.0,1.0,0.0,22.68
Siberian Husky,Medium,Male,4.0,Unknown,Moderate,1.0,10.0,2.0,0.0,12.25
Chihuahua,Small,Male,4.0,Spayed,Active,0.0,12.0,1.0,0.0,24.95
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,1.0,1.0,23.13
Labrador Retriever,Large,Male,4.0,Spayed,Active,2.0,13.0,1.0,1.0,19.5
German Shepherd,Large,Female,10.0,Unknown,Active,4.0,9.0,3.0,0.0,22.68
Beagle,Small,Male,4.0,Neutered,Unknown,3.0,11.0,2.0,1.0,28.12
Chihuahua,Small,Male,11.0,Unknown,Active,3.0,10.0,2.0,0.0,16.78
Siberian Husky,Medium,Male,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,18.6
Dachshund,Small,Male,2.0,Unknown,Unknown,0.0,13.0,0.0,1.0,14.97
Labrador Retriever,Large,Female,4.0,Spayed,Unknown,6.0,10.0,0.0,1.0,32.21
Doberman,Large,Female,3.0,Neutered,Low,3.0,14.0,0.0,2.0,21.32
Yorkshire Terrier,Small,Male,3.0,Neutered,Unknown,1.0,10.0,0.0,3.0,19.96
Rottweiler,Large,Male,10.0,Neutered,Active,0.0,10.0,0.0,2.0,27.67
Great Dane,Large,Male,3.0,Neutered,Low,5.0,9.0,2.0,2.0,35.38
Yorkshire Terrier,Small,Female,4.0,Neutered,Unknown,7.0,8.0,0.0,2.0,20.41
Doberman,Large,Male,9.0,Unknown,Active,1.0,11.0,2.0,3.0,5.44
Siberian Husky,Medium,Male,4.0,Neutered,Very Active,3.0,13.0,2.0,2.0,28.12
Labrador Retriever,Large,Female,6.0,Spayed,Active,1.0,10.0,1.0,4.0,18.14
Beagle,Small,Male,11.0,Spayed,Low,1.0,11.0,3.0,3.0,28.12
Yorkshire Terrier,Small,Male,8.0,Spayed,Unknown,2.0,11.0,2.0,3.0,22.68
Siberian Husky,Medium,Female,7.0,Neutered,Active,0.0,12.0,1.0,3.0,38.1
Golden Retriever,Large,Female,10.0,Spayed,Low,1.0,12.0,1.0,1.0,26.76
Dachshund,Small,Female,4.0,Spayed,Very Active,3.0,13.0,3.0,2.0,10.43
Siberian Husky,Medium,Male,2.0,Unknown,Active,2.0,10.0,3.0,0.0,29.94
Poodle,Small,Unknown,5.0,Spayed,Very Active,2.0,12.0,2.0,2.0,14.97
Labrador Retriever,Large,Female,13.0,Spayed,Moderate,2.0,12.0,2.0,0.0,26.31
German Shepherd,Large,Female,12.0,Unknown,Low,3.0,10.0,0.0,2.0,21.32
Labrador Retriever,Unknown,Female,2.0,Unknown,Moderate,2.0,10.0,3.0,3.0,22.68
Boxer,Medium,Male,6.0,Unknown,Active,0.0,9.0,3.0,2.0,28.58
Doberman,Large,Male,2.0,Spayed,Active,2.0,10.0,1.0,0.0,23.13
Boxer,Medium,Female,6.0,Spayed,Unknown,2.0,11.0,1.0,4.0,30.39
Labrador Retriever,Large,Male,7.0,Spayed,Very Active,1.0,11.0,1.0,2.0,27.67
Doberman,Large,Female,2.0,Neutered,Unknown,2.0,11.0,3.0,3.0,24.95
Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,3.0,11.0,1.0,2.0,19.5
German Shepherd,Large,Female,6.0,Spayed,Low,4.0,11.0,2.0,2.0,31.3
Chihuahua,Small,Female,2.0,Spayed,Active,3.0,13.0,0.0,2.0,21.32
Australian Shepherd,Medium,Male,7.0,Spayed,Active,1.0,12.0,4.0,1.0,4.54
Bulldog,Medium,Male,6.0,Neutered,Active,2.0,10.0,1.0,4.0,36.29
Siberian Husky,Medium,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,0.0,27.67
Australian Shepherd,Medium,Male,2.0,Unknown,Moderate,4.0,12.0,1.0,1.0,19.96
Rottweiler,Large,Female,5.0,Unknown,Very Active,3.0,13.0,3.0,2.0,28.12
Doberman,Large,Male,11.0,Unknown,Very Active,3.0,11.0,2.0,4.0,33.11
Siberian Husky,Medium,Female,6.0,Spayed,Low,4.0,12.0,2.0,2.0,11.34
Rottweiler,Large,Female,3.0,Spayed,Unknown,3.0,11.0,1.0,1.0,29.03
Beagle,Small,Male,8.0,Neutered,Unknown,3.0,11.0,0.0,2.0,26.31
Siberian Husky,Medium,Male,13.0,Spayed,Very Active,1.0,14.0,2.0,4.0,17.24
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,9.0,3.0,2.0,23.59
Doberman,Large,Female,8.0,Spayed,Low,1.0,10.0,2.0,2.0,36.29
Australian Shepherd,Medium,Female,11.0,Unknown,Very Active,2.0,10.0,3.0,2.0,27.67
Great Dane,Large,Female,4.0,Unknown,Low,0.0,11.0,2.0,2.0,14.97
Bulldog,Medium,Female,12.0,Neutered,Moderate,2.0,12.0,2.0,3.0,20.41
Rottweiler,Large,Male,6.0,Neutered,Unknown,1.0,12.0,2.0,1.0,23.59
Siberian Husky,Medium,Female,5.0,Spayed,Unknown,1.0,11.0,2.0,2.0,19.05
Boxer,Medium,Female,7.0,Spayed,Moderate,2.0,10.0,2.0,1.0,22.68
German Shepherd,Large,Female,5.0,Unknown,Unknown,3.0,10.0,1.0,3.0,20.41
Beagle,Small,Male,3.0,Unknown,Moderate,1.0,9.0,1.0,3.0,21.32
Great Dane,Large,Male,9.0,Neutered,Moderate,5.0,13.0,2.0,2.0,22.68
German Shepherd,Large,Male,8.0,Neutered,Very Active,4.0,9.0,3.0,1.0,29.94
Boxer,Medium,Female,1.0,Spayed,Moderate,2.0,10.0,3.0,0.0,29.48
Poodle,Small,Female,6.0,Spayed,Moderate,3.0,11.0,2.0,1.0,27.22
Unknown,Large,Male,8.0,Spayed,Moderate,5.0,11.0,1.0,1.0,22.23
Labrador Retriever,Large,Male,10.0,Spayed,Very Active,3.0,9.0,1.0,2.0,8.16
German Shepherd,Large,Female,6.0,Unknown,Very Active,2.0,10.0,0.0,1.0,18.6
Dachshund,Small,Male,7.0,Unknown,Active,2.0,10.0,1.0,3.0,26.31
Siberian Husky,Medium,Male,1.0,Unknown,Active,4.0,10.0,2.0,3.0,23.59
Rottweiler,Large,Male,9.0,Spayed,Low,2.0,12.0,1.0,0.0,20.87
Golden Retriever,Large,Female,1.0,Neutered,Active,1.0,12.0,2.0,2.0,38.56
Yorkshire Terrier,Small,Female,1.0,Unknown,Active,1.0,10.0,2.0,3.0,16.33
Australian Shepherd,Medium,Male,3.0,Neutered,Moderate,3.0,10.0,2.0,1.0,26.76
Doberman,Large,Male,11.0,Unknown,Active,1.0,11.0,0.0,1.0,19.96
Bulldog,Medium,Female,7.0,Neutered,Active,1.0,10.0,1.0,1.0,26.76
Great Dane,Large,Unknown,12.0,Spayed,Moderate,2.0,10.0,1.0,1.0,19.05
Dachshund,Small,Female,4.0,Spayed,Active,4.0,12.0,3.0,1.0,20.87
German Shepherd,Large,Female,3.0,Neutered,Low,2.0,10.0,1.0,0.0,26.76
Dachshund,Small,Female,5.0,Unknown,Very Active,7.0,13.0,2.0,1.0,26.76
Chihuahua,Small,Female,12.0,Spayed,Unknown,3.0,11.0,0.0,1.0,30.39
Australian Shepherd,Unknown,Male,6.0,Spayed,Active,1.0,12.0,3.0,0.0,24.95
Labrador Retriever,Large,Male,5.0,Neutered,Active,0.0,11.0,2.0,2.0,24.95
Great Dane,Large,Male,2.0,Neutered,Unknown,0.0,13.0,0.0,1.0,24.95
Bulldog,Medium,Male,10.0,Unknown,Very Active,1.0,11.0,3.0,1.0,30.39
Dachshund,Small,Female,8.0,Spayed,Unknown,1.0,11.0,1.0,1.0,29.03
Poodle,Small,Female,3.0,Neutered,Low,3.0,13.0,2.0,3.0,26.31
Labrador Retriever,Large,Male,12.0,Neutered,Unknown,1.0,14.0,2.0,4.0,25.4
Beagle,Small,Female,13.0,Neutered,Low,5.0,12.0,2.0,2.0,19.05
Beagle,Small,Male,1.0,Spayed,Very Active,2.0,10.0,1.0,2.0,24.49
Dachshund,Small,Male,13.0,Unknown,Active,2.0,11.0,2.0,2.0,10.43
Yorkshire Terrier,Small,Female,8.0,Neutered,Very Active,4.0,13.0,1.0,2.0,14.97
Great Dane,Large,Female,4.0,Unknown,Unknown,1.0,12.0,2.0,1.0,21.77
Dachshund,Small,Female,13.0,Neutered,Active,3.0,11.0,2.0,1.0,32.21
German Shepherd,Unknown,Female,6.0,Neutered,Low,3.0,10.0,2.0,1.0,28.58
Siberian Husky,Unknown,Male,1.0,Unknown,Very Active,1.0,13.0,1.0,2.0,16.33
Siberian Husky,Medium,Male,1.0,Spayed,Low,2.0,12.0,3.0,1.0,24.49
German Shepherd,Large,Male,13.0,Unknown,Active,2.0,14.0,2.0,1.0,24.95
Bulldog,Medium,Female,7.0,Neutered,Unknown,4.0,10.0,1.0,2.0,25.4
Poodle,Small,Female,9.0,Spayed,Unknown,3.0,12.0,2.0,0.0,21.32
Beagle,Small,Male,3.0,Spayed,Low,2.0,12.0,0.0,0.0,34.47
Chihuahua,Small,Male,4.0,Unknown,Unknown,4.0,11.0,1.0,3.0,29.48
Great Dane,Large,Male,6.0,Neutered,Active,1.0,10.0,0.0,2.0,16.33
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,13.0,1.0,1.0,26.76
Yorkshire Terrier,Small,Female,1.0,Neutered,Low,1.0,10.0,2.0,4.0,11.34
Doberman,Large,Male,1.0,Spayed,Unknown,5.0,9.0,2.0,1.0,15.42
Labrador Retriever,Large,Female,10.0,Spayed,Very Active,2.0,10.0,1.0,3.0,23.13
Golden Retriever,Large,Male,7.0,Spayed,Unknown,5.0,11.0,2.0,0.0,28.12
Boxer,Medium,Female,3.0,Spayed,Low,2.0,10.0,1.0,1.0,24.49
Siberian Husky,Medium,Male,6.0,Spayed,Low,3.0,11.0,1.0,2.0,23.59
Golden Retriever,Large,Male,2.0,Unknown,Active,6.0,11.0,2.0,2.0,27.67
Poodle,Small,Unknown,11.0,Neutered,Active,4.0,12.0,1.0,2.0,17.24
Rottweiler,Large,Male,2.0,Neutered,Unknown,2.0,10.0,0.0,3.0,32.21
Dachshund,Small,Male,5.0,Unknown,Low,2.0,12.0,2.0,2.0,32.66
Siberian Husky,Medium,Male,3.0,Spayed,Moderate,4.0,8.0,0.0,1.0,34.02
German Shepherd,Large,Female,7.0,Unknown,Very Active,4.0,13.0,1.0,1.0,15.88
Australian Shepherd,Medium,Female,5.0,Neutered,Low,5.0,8.0,0.0,3.0,22.23
Rottweiler,Large,Female,2.0,Neutered,Very Active,2.0,12.0,1.0,1.0,26.31
Doberman,Large,Male,10.0,Spayed,Unknown,4.0,12.0,1.0,1.0,14.51
Yorkshire Terrier,Small,Male,12.0,Unknown,Very Active,2.0,12.0,2.0,4.0,16.78
Australian Shepherd,Unknown,Male,13.0,Spayed,Unknown,5.0,12.0,1.0,1.0,22.68
Beagle,Small,Female,13.0,Spayed,Active,2.0,11.0,2.0,4.0,29.03
Labrador Retriever,Large,Female,9.0,Spayed,Unknown,4.0,10.0,2.0,0.0,25.4
Yorkshire Terrier,Small,Male,2.0,Unknown,Unknown,2.0,12.0,2.0,1.0,17.24
Labrador Retriever,Large,Male,12.0,Neutered,Active,4.0,12.0,1.0,2.0,31.3
Golden Retriever,Large,Male,9.0,Unknown,Active,3.0,10.0,1.0,3.0,28.58
Siberian Husky,Medium,Female,5.0,Spayed,Low,3.0,11.0,0.0,2.0,30.39
Golden Retriever,Unknown,Male,2.0,Unknown,Very Active,3.0,11.0,4.0,3.0,16.78
German Shepherd,Large,Female,8.0,Neutered,Very Active,0.0,13.0,0.0,1.0,12.7
Yorkshire Terrier,Small,Male,3.0,Unknown,Very Active,2.0,10.0,2.0,1.0,26.76
Australian Shepherd,Medium,Female,4.0,Neutered,Unknown,2.0,10.0,1.0,4.0,23.13
Doberman,Large,Male,2.0,Unknown,Active,5.0,12.0,2.0,0.0,8.62
Doberman,Large,Female,3.0,Spayed,Moderate,3.0,12.0,1.0,0.0,17.24
Australian Shepherd,Medium,Male,10.0,Neutered,Very Active,2.0,12.0,2.0,3.0,21.32
German Shepherd,Large,Female,2.0,Spayed,Unknown,4.0,11.0,3.0,0.0,29.48
Labrador Retriever,Large,Male,2.0,Spayed,Moderate,1.0,11.0,2.0,2.0,25.85
Golden Retriever,Large,Male,4.0,Neutered,Unknown,3.0,10.0,3.0,1.0,24.49
Yorkshire Terrier,Small,Male,8.0,Neutered,Active,5.0,10.0,3.0,0.0,37.65
Great Dane,Large,Unknown,11.0,Neutered,Low,3.0,11.0,2.0,2.0,29.03
Great Dane,Large,Female,1.0,Neutered,Unknown,6.0,11.0,3.0,1.0,25.4
Yorkshire Terrier,Small,Female,8.0,Spayed,Moderate,1.0,11.0,2.0,4.0,22.23
Poodle,Small,Male,12.0,Spayed,Active,6.0,10.0,0.0,1.0,29.48
Yorkshire Terrier,Small,Male,2.0,Spayed,Moderate,2.0,11.0,1.0,3.0,22.23
Yorkshire Terrier,Small,Female,4.0,Unknown,Very Active,1.0,9.0,2.0,2.0,23.59
Poodle,Unknown,Female,11.0,Neutered,Very Active,5.0,11.0,3.0,2.0,32.66
Golden Retriever,Large,Male,5.0,Neutered,Active,1.0,11.0,3.0,3.0,23.59
German Shepherd,Large,Male,5.0,Neutered,Moderate,4.0,10.0,0.0,3.0,25.4
Dachshund,Small,Female,7.0,Spayed,Active,3.0,13.0,1.0,2.0,27.22
Bulldog,Medium,Female,9.0,Neutered,Very Active,5.0,11.0,2.0,1.0,19.5
Doberman,Large,Female,9.0,Unknown,Active,1.0,9.0,1.0,3.0,19.05
Labrador Retriever,Large,Male,10.0,Neutered,Unknown,3.0,13.0,1.0,0.0,29.03
Doberman,Large,Male,8.0,Spayed,Low,2.0,11.0,3.0,3.0,17.24
Australian Shepherd,Medium,Male,7.0,Spayed,Very Active,0.0,13.0,2.0,0.0,34.02
Golden Retriever,Large,Female,13.0,Unknown,Active,3.0,11.0,0.0,1.0,19.96
Bulldog,Medium,Male,9.0,Unknown,Very Active,1.0,12.0,2.0,1.0,30.39
Beagle,Small,Female,10.0,Neutered,Very Active,2.0,12.0,1.0,3.0,16.78
Golden Retriever,Large,Male,12.0,Unknown,Low,4.0,10.0,2.0,1.0,27.67
Yorkshire Terrier,Small,Male,2.0,Spayed,Low,4.0,14.0,2.0,2.0,16.33
Beagle,Small,Female,9.0,Unknown,Low,2.0,9.0,3.0,3.0,18.6
Yorkshire Terrier,Small,Female,1.0,Spayed,Active,3.0,10.0,2.0,1.0,26.76
Boxer,Medium,Female,2.0,Unknown,Unknown,1.0,8.0,0.0,1.0,24.04
Boxer,Medium,Female,11.0,Neutered,Low,6.0,10.0,2.0,2.0,28.12
Rottweiler,Large,Unknown,13.0,Neutered,Low,1.0,12.0,4.0,1.0,33.57
Beagle,Small,Female,11.0,Unknown,Active,3.0,12.0,0.0,0.0,34.47
Doberman,Large,Female,4.0,Neutered,Unknown,3.0,12.0,1.0,0.0,17.24
Rottweiler,Large,Female,5.0,Neutered,Moderate,2.0,11.0,1.0,1.0,19.05
Labrador Retriever,Large,Unknown,1.0,Spayed,Active,6.0,9.0,3.0,1.0,22.68
Australian Shepherd,Medium,Female,10.0,Spayed,Low,0.0,13.0,2.0,2.0,16.33
Rottweiler,Large,Male,7.0,Spayed,Moderate,3.0,10.0,2.0,3.0,15.88
Boxer,Medium,Female,6.0,Spayed,Unknown,4.0,13.0,1.0,1.0,22.68
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,12.0,2.0,0.0,23.13
Chihuahua,Small,Unknown,6.0,Neutered,Active,1.0,9.0,1.0,2.0,28.12
Australian Shepherd,Medium,Male,11.0,Spayed,Active,3.0,8.0,3.0,1.0,22.23
Dachshund,Unknown,Female,7.0,Unknown,Moderate,5.0,11.0,3.0,2.0,7.26
Great Dane,Large,Male,9.0,Neutered,Unknown,2.0,13.0,3.0,2.0,29.03
Great Dane,Large,Male,1.0,Unknown,Very Active,3.0,10.0,2.0,0.0,24.49
Siberian Husky,Medium,Male,6.0,Neutered,Low,4.0,14.0,0.0,1.0,28.12
Yorkshire Terrier,Small,Female,3.0,Spayed,Active,2.0,9.0,1.0,2.0,16.78
Boxer,Medium,Female,6.0,Unknown,Unknown,3.0,10.0,1.0,3.0,33.57
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,3.0,12.0,1.0,1.0,29.03
Labrador Retriever,Large,Male,6.0,Unknown,Moderate,3.0,11.0,1.0,3.0,22.68
Rottweiler,Large,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,4.0,31.75
Great Dane,Large,Male,8.0,Neutered,Moderate,3.0,11.0,1.0,1.0,14.06
Boxer,Medium,Male,12.0,Spayed,Low,3.0,10.0,1.0,4.0,18.14
Poodle,Small,Male,5.0,Unknown,Very Active,1.0,10.0,3.0,0.0,12.25
German Shepherd,Large,Male,3.0,Unknown,Unknown,5.0,11.0,2.0,3.0,21.32
Doberman,Large,Male,2.0,Unknown,Moderate,4.0,11.0,0.0,3.0,21.32
Poodle,Small,Male,5.0,Spayed,Very Active,2.0,12.0,0.0,1.0,12.25
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,2.0,1.0,24.95
Poodle,Small,Male,5.0,Spayed,Moderate,2.0,11.0,1.0,1.0,27.67
Bulldog,Medium,Male,4.0,Spayed,Low,4.0,10.0,3.0,1.0,30.84
Labrador Retriever,Large,Male,11.0,Neutered,Active,0.0,10.0,1.0,1.0,27.67
Boxer,Medium,Male,11.0,Unknown,Active,1.0,11.0,2.0,2.0,26.31
Beagle,Small,Male,13.0,Neutered,Very Active,3.0,11.0,0.0,1.0,8.16
Yorkshire Terrier,Small,Female,1.0,Unknown,Unknown,4.0,11.0,0.0,0.0,21.32
Dachshund,Small,Female,13.0,Unknown,Active,3.0,11.0,2.0,2.0,34.93
German Shepherd,Large,Female,8.0,Neutered,Active,4.0,11.0,1.0,3.0,31.75
Rottweiler,Large,Male,7.0,Spayed,Unknown,2.0,9.0,1.0,3.0,19.96
Unknown,Small,Male,1.0,Spayed,Moderate,2.0,12.0,0.0,1.0,14.51
Golden Retriever,Large,Female,7.0,Unknown,Low,2.0,11.0,2.0,1.0,24.49
Beagle,Small,Female,7.0,Spayed,Moderate,4.0,10.0,1.0,1.0,36.29
Australian Shepherd,Medium,Male,7.0,Unknown,Active,3.0,11.0,4.0,2.0,13.15
Dachshund,Small,Female,2.0,Spayed,Low,1.0,11.0,2.0,1.0,27.67
Beagle,Small,Female,13.0,Spayed,Active,1.0,12.0,1.0,1.0,25.85
Yorkshire Terrier,Unknown,Male,6.0,Unknown,Low,2.0,12.0,0.0,1.0,34.02
Chihuahua,Small,Female,5.0,Neutered,Unknown,2.0,10.0,3.0,1.0,14.97
Labrador Retriever,Large,Female,8.0,Neutered,Very Active,3.0,10.0,1.0,3.0,8.62
Yorkshire Terrier,Small,Male,9.0,Unknown,Very Active,6.0,10.0,1.0,1.0,14.97
Doberman,Large,Female,11.0,Neutered,Very Active,4.0,12.0,0.0,1.0,36.29
Chihuahua,Small,Female,8.0,Neutered,Moderate,5.0,11.0,1.0,4.0,27.67
Golden Retriever,Large,Male,13.0,Spayed,Moderate,1.0,10.0,1.0,0.0,19.5
