Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER
Rottweiler,3.0,14.51,Médio,Sim,520.41
German Shepherd,10.0,16.78,Médio,Sim,580.35
Australian Shepherd,4.0,25.4,Grande,Sim,792.0
Chihuahua,9.0,34.47,Grande,Sim,995.82
Siberian Husky,3.0,14.97,Médio,Sim,532.74
Poodle,5.0,14.97,Médio,Sim,532.74
Boxer,5.0,17.24,Médio,Sim,592.24
Yorkshire Terrier,12.0,18.14,Médio,Sim,615.28
Doberman,10.0,24.49,Médio,Sim,770.62
Golden Retriever,2.0,29.48,Grande,Não,885.61
SRD (Sem Raça Definida),7.0,22.68,Médio,Sim,727.5
Labrador Retriever,2.0,25.85,Grande,Sim,802.5
Bulldog,8.0,17.24,Médio,Sim,592.24
Siberian Husky,7.0,17.69,Médio,Sim,603.8
Chihuahua,8.0,20.41,Médio,Sim,672.17
Siberian Husky,1.0,27.67,Grande,Sim,844.51
Australian Shepherd,5.0,19.5,Médio,Sim,649.57
Yorkshire Terrier,8.0,41.73,Grande,Não,1149.3
Doberman,9.0,22.68,Médio,Sim,727.5
Bulldog,9.0,11.34,Médio,Sim,432.57
Great Dane,11.0,27.22,Grande,Sim,834.19
Poodle,8.0,29.94,Grande,Sim,895.96
Doberman,12.0,15.42,Médio,Não,544.7
German Shepherd,7.0,25.4,Grande,Não,792.0
Beagle,6.0,28.58,Grande,Sim,865.26
Doberman,7.0,17.69,Médio,Sim,603.8
Labrador Retriever,13.0,4.54,Pequeno,Sim,217.72
Yorkshire Terrier,1.0,18.6,Médio,Sim,626.95
Beagle,7.0,13.15,Médio,Sim,483.38
Yorkshire Terrier,10.0,23.13,Médio,Sim,738.29
Golden Retriever,9.0,27.22,Grande,Não,834.19
Siberian Husky,8.0,26.31,Grande,Sim,813.18
Boxer,4.0,28.58,Grande,Sim,865.26
Dachshund,6.0,16.78,Médio,Sim,580.35
Labrador Retriever,10.0,35.83,Grande,Não,1025.14
Siberian Husky,4.0,16.33,Médio,Sim,568.64
Labrador Retriever,4.0,9.07,Pequeno,Sim,365.85
Golden Retriever,7.0,11.79,Médio,Não,445.38
Yorkshire Terrier,9.0,22.68,Médio,Sim,727.5
SRD (Sem Raça Definida),6.0,22.68,Médio,Sim,727.5
Siberian Husky,4.0,12.25,Médio,Sim,458.35
Chihuahua,4.0,24.95,Médio,Sim,781.45
Poodle,3.0,23.13,Médio,Sim,738.29
Labrador Retriever,4.0,19.5,Médio,Sim,649.57
German Shepherd,10.0,22.68,Médio,Sim,727.5
Beagle,4.0,28.12,Grande,Sim,854.79
Yorkshire Terrier,7.0,28.12,Grande,Não,854.79
Chihuahua,11.0,16.78,Médio,Sim,580.35
Golden Retriever,10.0,25.85,Grande,Não,802.5
Siberian Husky,8.0,18.6,Médio,Sim,626.95
Dachshund,2.0,14.97,Médio,Sim,532.74
Labrador Retriever,4.0,32.21,Grande,Sim,946.44
Doberman,3.0,21.32,Médio,Sim,694.53
Yorkshire Terrier,3.0,19.96,Médio,Sim,661.03
Rottweiler,10.0,27.67,Grande,Sim,844.51
Chihuahua,11.0,15.42,Médio,Não,544.7
Great Dane,3.0,35.38,Grande,Sim,1015.47
SRD (Sem Raça Definida),9.0,21.77,Médio,Não,705.49
Yorkshire Terrier,4.0,20.41,Médio,Sim,672.17
Doberman,9.0,5.44,Pequeno,Sim,249.34
Siberian Husky,4.0,28.12,Grande,Sim,854.79
Chihuahua,12.0,33.57,Grande,Não,976.25
Labrador Retriever,7.0,18.14,Médio,Sim,615.28
Beagle,11.0,28.12,Grande,Sim,854.79
Australian Shepherd,7.0,8.62,Pequeno,Não,352.15
Yorkshire Terrier,8.0,22.68,Médio,Sim,727.5
Siberian Husky,7.0,38.1,Grande,Sim,1073.47
Golden Retriever,10.0,26.76,Grande,Sim,823.59
Dachshund,4.0,10.43,Médio,Sim,406.27
Siberian Husky,2.0,29.94,Grande,Sim,895.96
Bulldog,9.0,29.48,Grande,Não,885.61
Poodle,5.0,14.97,Médio,Sim,532.74
Labrador Retriever,13.0,26.31,Grande,Sim,813.18
German Shepherd,12.0,21.32,Médio,Sim,694.53
Labrador Retriever,2.0,22.68,Médio,Sim,727.5
Boxer,7.0,28.58,Grande,Sim,865.26
Doberman,2.0,23.13,Médio,Sim,738.29
Beagle,12.0,21.32,Médio,Não,694.53
Boxer,6.0,30.39,Grande,Sim,906.04
Labrador Retriever,7.0,27.67,Grande,Sim,844.51
Doberman,2.0,24.95,Médio,Sim,781.45
Bulldog,1.0,17.24,Médio,Não,592.24
Australian Shepherd,1.0,19.5,Médio,Sim,649.57
German Shepherd,6.0,31.3,Grande,Sim,926.31
Chihuahua,2.0,21.32,Médio,Sim,694.53
Australian Shepherd,7.0,4.54,Pequeno,Sim,217.72
Bulldog,7.0,36.29,Grande,Sim,1035.0
Rottweiler,4.0,26.31,Grande,Não,813.18
Doberman,1.0,23.59,Médio,Não,749.28
Siberian Husky,7.0,27.67,Grande,Sim,844.51
Australian Shepherd,2.0,19.96,Médio,Sim,661.03
Rottweiler,5.0,28.12,Grande,Sim,854.79
Doberman,11.0,33.11,Grande,Sim,966.2
Dachshund,4.0,23.13,Médio,Não,738.29
Siberian Husky,6.0,11.34,Médio,Sim,432.57
SRD (Sem Raça Definida),4.0,24.95,Médio,Sim,781.45
Rottweiler,3.0,29.03,Grande,Sim,875.45
Chihuahua,9.0,24.95,Médio,Não,781.45
Beagle,8.0,26.31,Grande,Sim,813.18
Siberian Husky,13.0,17.24,Médio,Sim,592.24
Chihuahua,8.0,23.59,Médio,Sim,749.28
Doberman,8.0,36.29,Grande,Sim,1035.0
Boxer,10.0,26.76,Grande,Não,823.59
Australian Shepherd,11.0,27.67,Grande,Sim,844.51
Great Dane,4.0,14.97,Médio,Sim,532.74
Bulldog,12.0,20.41,Médio,Sim,672.17
Rottweiler,7.0,23.59,Médio,Sim,749.28
Siberian Husky,5.0,19.05,Médio,Sim,638.29
Golden Retriever,11.0,24.49,Médio,Não,770.62
Boxer,7.0,22.68,Médio,Sim,727.5
German Shepherd,5.0,20.41,Médio,Sim,672.17
Beagle,3.0,21.32,Médio,Sim,694.53
Chihuahua,8.0,15.88,Médio,Não,556.85
Great Dane,9.0,22.68,Médio,Sim,727.5
German Shepherd,8.0,29.94,Grande,Sim,895.96
Doberman,9.0,23.59,Médio,Não,749.28
Boxer,1.0,29.48,Grande,Sim,885.61
Labrador Retriever,13.0,16.78,Médio,Não,580.35
Australian Shepherd,13.0,19.05,Médio,Não,638.29
Poodle,6.0,27.22,Grande,Sim,834.19
Bulldog,13.0,27.67,Grande,Não,844.51
SRD (Sem Raça Definida),8.0,22.23,Médio,Sim,716.64
Australian Shepherd,3.0,27.67,Grande,Não,844.51
Labrador Retriever,6.0,20.87,Médio,Não,683.5
Labrador Retriever,10.0,8.16,Pequeno,Sim,337.96
German Shepherd,6.0,18.6,Médio,Sim,626.95
Dachshund,7.0,26.31,Grande,Sim,813.18
Poodle,1.0,23.59,Médio,Não,749.28
Dachshund,3.0,38.56,Grande,Não,1083.18
Siberian Husky,1.0,23.59,Médio,Sim,749.28
Rottweiler,9.0,20.87,Médio,Sim,683.5
Boxer,2.0,15.88,Médio,Não,556.85
Golden Retriever,1.0,38.56,Grande,Sim,1083.18
Yorkshire Terrier,1.0,16.33,Médio,Sim,568.64
Australian Shepherd,3.0,26.76,Grande,Sim,823.59
Doberman,11.0,19.96,Médio,Sim,661.03
Bulldog,13.0,24.95,Médio,Não,781.45
Bulldog,7.0,26.76,Grande,Sim,823.59
Great Dane,12.0,19.05,Médio,Sim,638.29
Dachshund,4.0,20.87,Médio,Sim,683.5
Doberman,7.0,25.4,Grande,Sim,792.0
German Shepherd,3.0,26.76,Grande,Sim,823.59
Dachshund,5.0,26.76,Grande,Sim,823.59
Chihuahua,12.0,30.39,Grande,Sim,906.04
Poodle,13.0,31.75,Grande,Não,936.28
Doberman,7.0,18.14,Médio,Não,615.28
Rottweiler,1.0,24.04,Médio,Não,759.97
Australian Shepherd,6.0,24.95,Médio,Sim,781.45
Bulldog,10.0,20.87,Médio,Não,683.5
Labrador Retriever,5.0,24.95,Médio,Sim,781.45
Great Dane,2.0,24.95,Médio,Sim,781.45
Bulldog,10.0,30.39,Grande,Sim,906.04
Poodle,1.0,20.41,Médio,Não,672.17
Dachshund,8.0,29.03,Grande,Sim,875.45
Chihuahua,4.0,30.39,Grande,Sim,906.04
Poodle,3.0,26.31,Grande,Sim,813.18
Labrador Retriever,12.0,25.4,Grande,Sim,792.0
Beagle,13.0,19.05,Médio,Sim,638.29
Beagle,1.0,24.49,Médio,Sim,770.62
Chihuahua,11.0,26.76,Grande,Não,823.59
Dachshund,10.0,22.68,Médio,Não,727.5
Dachshund,13.0,10.43,Médio,Sim,406.27
Yorkshire Terrier,8.0,14.97,Médio,Sim,532.74
Great Dane,4.0,21.77,Médio,Sim,705.49
Dachshund,13.0,32.21,Grande,Sim,946.44
Poodle,1.0,14.51,Médio,Não,520.41
German Shepherd,6.0,28.58,Grande,Sim,865.26
Siberian Husky,1.0,16.33,Médio,Sim,568.64
Beagle,6.0,16.78,Médio,Não,580.35
Beagle,4.0,11.79,Médio,Sim,445.38
Siberian Husky,1.0,24.49,Médio,Sim,770.62
German Shepherd,13.0,24.95,Médio,Sim,781.45
Bulldog,7.0,25.4,Grande,Sim,792.0
Poodle,9.0,21.32,Médio,Sim,694.53
Beagle,3.0,34.47,Grande,Sim,995.82
Beagle,13.0,19.96,Médio,Não,661.03
Chihuahua,4.0,29.48,Grande,Sim,885.61
Great Dane,6.0,16.33,Médio,Sim,568.64
Boxer,5.0,26.76,Grande,Sim,823.59
Beagle,10.0,22.68,Médio,Não,727.5
Yorkshire Terrier,1.0,11.34,Médio,Sim,432.57
Doberman,1.0,15.42,Médio,Sim,544.7
Labrador Retriever,10.0,23.13,Médio,Sim,738.29
Golden Retriever,7.0,28.12,Grande,Sim,854.79
Boxer,3.0,24.49,Médio,Sim,770.62
Siberian Husky,6.0,23.59,Médio,Sim,749.28
Golden Retriever,2.0,27.67,Grande,Sim,844.51
Yorkshire Terrier,2.0,30.39,Grande,Não,906.04
Poodle,11.0,17.24,Médio,Sim,592.24
Rottweiler,2.0,32.21,Grande,Sim,946.44
Dachshund,5.0,32.66,Grande,Sim,956.34
Beagle,10.0,29.48,Grande,Não,885.61
Siberian Husky,3.0,34.02,Grande,Sim,986.05
German Shepherd,7.0,15.88,Médio,Sim,556.85
Australian Shepherd,5.0,22.23,Médio,Sim,716.64
Australian Shepherd,1.0,27.22,Grande,Não,834.19
Rottweiler,2.0,26.31,Grande,Sim,813.18
Doberman,10.0,14.51,Médio,Sim,520.41
Yorkshire Terrier,12.0,16.78,Médio,Sim,580.35
Australian Shepherd,13.0,22.68,Médio,Sim,727.5
Rottweiler,9.0,28.58,Grande,Não,865.26
Boxer,10.0,22.68,Médio,Não,727.5
Beagle,13.0,29.03,Grande,Sim,875.45
Labrador Retriever,9.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,2.0,17.24,Médio,Sim,592.24
Siberian Husky,11.0,16.33,Médio,Não,568.64
Labrador Retriever,12.0,31.3,Grande,Sim,926.31
Golden Retriever,9.0,28.58,Grande,Sim,865.26
Rottweiler,10.0,22.68,Médio,Não,727.5
Siberian Husky,5.0,30.39,Grande,Sim,906.04
Golden Retriever,2.0,16.78,Médio,Sim,580.35
German Shepherd,8.0,12.7,Médio,Sim,470.92
Yorkshire Terrier,3.0,26.76,Grande,Sim,823.59
Australian Shepherd,4.0,23.13,Médio,Sim,738.29
Doberman,12.0,23.13,Médio,Não,738.29
Doberman,2.0,8.62,Pequeno,Sim,352.15
Chihuahua,8.0,22.68,Médio,Sim,727.5
Doberman,3.0,17.24,Médio,Sim,592.24
Australian Shepherd,10.0,21.32,Médio,Sim,694.53
German Shepherd,2.0,29.48,Grande,Sim,885.61
Labrador Retriever,2.0,25.85,Grande,Sim,802.5
Golden Retriever,4.0,24.49,Médio,Sim,770.62
Yorkshire Terrier,8.0,37.65,Grande,Sim,1063.95
Great Dane,11.0,29.03,Grande,Sim,875.45
Great Dane,1.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,8.0,22.23,Médio,Sim,716.64
Bulldog,13.0,24.95,Médio,Não,781.45
Poodle,12.0,29.48,Grande,Sim,885.61
Yorkshire Terrier,2.0,22.23,Médio,Sim,716.64
SRD (Sem Raça Definida),5.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,4.0,23.59,Médio,Sim,749.28
Poodle,11.0,32.66,Grande,Sim,956.34
Golden Retriever,5.0,23.59,Médio,Sim,749.28
German Shepherd,5.0,25.4,Grande,Sim,792.0
Dachshund,7.0,27.22,Grande,Sim,834.19
Bulldog,9.0,19.5,Médio,Sim,649.57
Doberman,9.0,19.05,Médio,Sim,638.29
Labrador Retriever,10.0,29.03,Grande,Sim,875.45
Doberman,1.0,20.41,Médio,Não,672.17
Doberman,8.0,17.24,Médio,Sim,592.24
Australian Shepherd,7.0,34.02,Grande,Sim,986.05
Golden Retriever,13.0,19.96,Médio,Sim,661.03
Bulldog,9.0,30.39,Grande,Sim,906.04
Beagle,13.0,15.42,Médio,Não,544.7
Beagle,10.0,16.78,Médio,Sim,580.35
Golden Retriever,12.0,27.67,Grande,Sim,844.51
Yorkshire Terrier,2.0,16.33,Médio,Sim,568.64
Beagle,9.0,18.6,Médio,Sim,626.95
Rottweiler,12.0,17.69,Médio,Não,603.8
Yorkshire Terrier,1.0,26.76,Grande,Sim,823.59
Boxer,2.0,24.04,Médio,Sim,759.97
Boxer,11.0,28.12,Grande,Sim,854.79
Rottweiler,13.0,33.57,Grande,Sim,976.25
Beagle,11.0,34.47,Grande,Sim,995.82
Labrador Retriever,9.0,22.23,Médio,Não,716.64
Doberman,4.0,17.24,Médio,Sim,592.24
Rottweiler,5.0,19.05,Médio,Sim,638.29
Chihuahua,8.0,18.6,Médio,Não,626.95
Labrador Retriever,1.0,22.68,Médio,Sim,727.5
Australian Shepherd,10.0,16.33,Médio,Sim,568.64
Rottweiler,7.0,15.88,Médio,Sim,556.85
Boxer,7.0,22.68,Médio,Sim,727.5
Chihuahua,8.0,23.13,Médio,Sim,738.29
Chihuahua,6.0,28.12,Grande,Sim,854.79
Beagle,13.0,15.42,Médio,Não,544.7
Siberian Husky,5.0,24.04,Médio,Não,759.97
Rottweiler,7.0,18.14,Médio,Não,615.28
Poodle,9.0,24.95,Médio,Não,781.45
Australian Shepherd,11.0,22.23,Médio,Sim,716.64
Dachshund,7.0,7.26,Pequeno,Sim,309.6
Poodle,11.0,29.94,Grande,Não,895.96
Boxer,10.0,29.03,Grande,Não,875.45
Great Dane,9.0,29.03,Grande,Sim,875.45
Great Dane,1.0,24.49,Médio,Sim,770.62
German Shepherd,5.0,30.84,Grande,Não,916.08
Siberian Husky,6.0,28.12,Grande,Sim,854.79
Yorkshire Terrier,3.0,16.78,Médio,Sim,580.35
Boxer,6.0,33.57,Grande,Sim,976.25
Yorkshire Terrier,9.0,29.03,Grande,Sim,875.45
Dachshund,5.0,26.31,Grande,Não,813.18
Labrador Retriever,7.0,22.68,Médio,Sim,727.5
Rottweiler,5.0,31.75,Grande,Sim,936.28
Great Dane,8.0,14.06,Médio,Sim,508.26
Boxer,12.0,18.14,Médio,Sim,615.28
Australian Shepherd,10.0,6.8,Pequeno,Não,294.77
Poodle,5.0,12.25,Médio,Sim,458.35
German Shepherd,3.0,21.32,Médio,Sim,694.53
Doberman,2.0,21.32,Médio,Sim,694.53
Yorkshire Terrier,9.0,20.87,Médio,Não,683.5
Poodle,5.0,12.25,Médio,Sim,458.35
Poodle,3.0,24.95,Médio,Sim,781.45
Poodle,5.0,27.67,Grande,Sim,844.51
Bulldog,4.0,30.84,Grande,Sim,916.08
Labrador Retriever,11.0,27.67,Grande,Sim,844.51
Doberman,7.0,33.57,Grande,Não,976.25
Great Dane,11.0,31.3,Grande,Não,926.31
Dachshund,12.0,25.4,Grande,Não,792.0
Boxer,11.0,26.31,Grande,Sim,813.18
Beagle,13.0,8.16,Pequeno,Sim,337.96
Yorkshire Terrier,1.0,21.32,Médio,Sim,694.53
Dachshund,13.0,34.93,Grande,Sim,1005.77
German Shepherd,8.0,31.75,Grande,Sim,936.28
Dachshund,8.0,6.8,Pequeno,Não,294.77
Rottweiler,7.0,19.96,Médio,Sim,661.03
SRD (Sem Raça Definida),1.0,14.51,Médio,Sim,520.41
Golden Retriever,7.0,24.49,Médio,Sim,770.62
SRD (Sem Raça Definida),1.0,27.67,Grande,Não,844.51
Beagle,7.0,36.29,Grande,Sim,1035.0
Great Dane,7.0,18.14,Médio,Não,615.28
Chihuahua,5.0,21.32,Médio,Não,694.53
Australian Shepherd,7.0,13.15,Médio,Sim,483.38
Beagle,13.0,23.13,Médio,Não,738.29
Great Dane,10.0,10.89,Médio,Não,419.63
Dachshund,2.0,27.67,Grande,Sim,844.51
Beagle,13.0,25.85,Grande,Sim,802.5
Yorkshire Terrier,6.0,34.02,Grande,Sim,986.05
Dachshund,9.0,22.68,Médio,Não,727.5
Chihuahua,5.0,14.97,Médio,Sim,532.74
Labrador Retriever,8.0,8.62,Pequeno,Sim,352.15
Boxer,4.0,31.3,Grande,Não,926.31
Yorkshire Terrier,9.0,14.97,Médio,Sim,532.74
Doberman,11.0,36.29,Grande,Sim,1035.0
Chihuahua,8.0,27.67,Grande,Sim,844.51
Golden Retriever,13.0,19.5,Médio,Sim,649.57
German Shepherd,7.0,34.02,Grande,Sim,986.05
Labrador Retriever,1.0,21.32,Médio,Não,694.53
Yorkshire Terrier,13.0,26.31,Grande,Sim,813.18
Dachshund,7.0,24.04,Médio,Sim,759.97
Yorkshire Terrier,5.0,31.3,Grande,Sim,926.31
Boxer,13.0,22.68,Médio,Não,727.5
Siberian Husky,4.0,26.31,Grande,Não,813.18
Australian Shepherd,9.0,27.67,Grande,Não,844.51
German Shepherd,9.0,24.04,Médio,Sim,759.97
Great Dane,13.0,24.04,Médio,Sim,759.97
Australian Shepherd,10.0,31.3,Grande,Sim,926.31
Yorkshire Terrier,10.0,19.5,Médio,Sim,649.57
Dachshund,9.0,27.22,Grande,Sim,834.19
Great Dane,5.0,24.49,Médio,Sim,770.62
Golden Retriever,11.0,23.13,Médio,Sim,738.29
Bulldog,4.0,30.39,Grande,Sim,906.04
Boxer,10.0,22.68,Médio,Sim,727.5
Beagle,3.0,24.04,Médio,Não,759.97
Rottweiler,1.0,27.22,Grande,Não,834.19
Siberian Husky,3.0,30.84,Grande,Sim,916.08
Siberian Husky,12.0,27.67,Grande,Sim,844.51
Labrador Retriever,9.0,17.69,Médio,Sim,603.8
Doberman,7.0,20.41,Médio,Sim,672.17
German Shepherd,9.0,14.06,Médio,Não,508.26
Great Dane,4.0,17.69,Médio,Sim,603.8
German Shepherd,11.0,29.94,Grande,Sim,895.96
German Shepherd,2.0,22.23,Médio,Sim,716.64
Poodle,1.0,28.12,Grande,Sim,854.79
German Shepherd,4.0,16.78,Médio,Sim,580.35
Labrador Retriever,9.0,24.04,Médio,Sim,759.97
Yorkshire Terrier,4.0,16.33,Médio,Sim,568.64
Boxer,9.0,20.87,Médio,Sim,683.5
Bulldog,9.0,21.77,Médio,Não,705.49
Chihuahua,9.0,27.67,Grande,Sim,844.51
Bulldog,12.0,24.95,Médio,Sim,781.45
Rottweiler,9.0,11.79,Médio,Sim,445.38
Siberian Husky,11.0,28.12,Grande,Sim,854.79
Dachshund,5.0,15.42,Médio,Não,544.7
Golden Retriever,7.0,30.84,Grande,Sim,916.08
Yorkshire Terrier,10.0,23.13,Médio,Sim,738.29
Boxer,7.0,22.68,Médio,Sim,727.5
Siberian Husky,1.0,14.06,Médio,Sim,508.26
Doberman,4.0,28.12,Grande,Sim,854.79
Great Dane,13.0,16.78,Médio,Sim,580.35
Great Dane,11.0,30.84,Grande,Não,916.08
Beagle,2.0,31.75,Grande,Sim,936.28
Great Dane,9.0,24.49,Médio,Não,770.62
Beagle,4.0,19.5,Médio,Sim,649.57
Yorkshire Terrier,12.0,29.03,Grande,Sim,875.45
Yorkshire Terrier,3.0,31.3,Grande,Sim,926.31
Yorkshire Terrier,2.0,25.85,Grande,Sim,802.5
Chihuahua,8.0,20.41,Médio,Sim,672.17
Chihuahua,9.0,20.41,Médio,Sim,672.17
Great Dane,11.0,20.41,Médio,Não,672.17
Dachshund,12.0,14.97,Médio,Sim,532.74
Chihuahua,5.0,29.94,Grande,Sim,895.96
Siberian Husky,3.0,24.95,Médio,Não,781.45
Labrador Retriever,9.0,31.3,Grande,Sim,926.31
Golden Retriever,2.0,18.14,Médio,Sim,615.28
Golden Retriever,12.0,18.14,Médio,Sim,615.28
Yorkshire Terrier,10.0,15.88,Médio,Sim,556.85
Great Dane,2.0,14.97,Médio,Sim,532.74
Dachshund,6.0,10.43,Médio,Sim,406.27
Dachshund,10.0,20.41,Médio,Sim,672.17
Labrador Retriever,11.0,17.24,Médio,Sim,592.24
Dachshund,8.0,14.97,Médio,Sim,532.74
Bulldog,13.0,26.31,Grande,Sim,813.18
Bulldog,4.0,8.62,Pequeno,Sim,352.15
Rottweiler,11.0,24.04,Médio,Não,759.97
Australian Shepherd,1.0,27.22,Grande,Não,834.19
Great Dane,1.0,14.06,Médio,Sim,508.26
Poodle,8.0,21.77,Médio,Sim,705.49
Australian Shepherd,7.0,19.5,Médio,Sim,649.57
Beagle,10.0,35.83,Grande,Sim,1025.14
Bulldog,7.0,19.5,Médio,Sim,649.57
Bulldog,8.0,34.93,Grande,Sim,1005.77
Boxer,2.0,29.48,Grande,Sim,885.61
German Shepherd,13.0,12.25,Médio,Sim,458.35
Great Dane,11.0,29.03,Grande,Sim,875.45
German Shepherd,8.0,24.95,Médio,Sim,781.45
Great Dane,6.0,25.4,Grande,Sim,792.0
Poodle,12.0,19.05,Médio,Não,638.29
Dachshund,8.0,21.32,Médio,Sim,694.53
Great Dane,9.0,25.4,Grande,Não,792.0
Great Dane,10.0,24.95,Médio,Sim,781.45
Dachshund,12.0,28.58,Grande,Sim,865.26
Beagle,8.0,20.41,Médio,Sim,672.17
Chihuahua,12.0,29.48,Grande,Sim,885.61
Golden Retriever,6.0,31.3,Grande,Sim,926.31
Doberman,7.0,13.61,Médio,Sim,496.01
Beagle,1.0,23.59,Médio,Não,749.28
Poodle,10.0,12.25,Médio,Sim,458.35
Australian Shepherd,9.0,16.33,Médio,Não,568.64
Golden Retriever,4.0,22.68,Médio,Sim,727.5
Bulldog,4.0,35.38,Grande,Não,1015.47
Labrador Retriever,11.0,19.5,Médio,Sim,649.57
