Breed,Sex,Age,animalWeight_kg,animalSize,Daily Activity Level,Diet,Food Brand,daily_walk_km,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,RER_kcal,Healthy
Boxer,Female,2.0,20.87,Medium,Active,Special diet,Nutro,3.22,Yes,No,8.0,2.0,Moderate,1.0,683.5,Yes
Bulldog,Female,11.0,39.46,Large,Low,Special diet,Purina,4.83,No,No,13.0,2.0,Active,0.0,1102.09,No
Great Dane,Female,11.0,19.96,Medium,Active,Hard food,Purina,6.44,No,No,10.0,1.0,Active,0.0,661.03,No
Poodle,Female,7.0,20.87,Medium,Very Active,Wet food,Wellness,4.83,No,No,11.0,0.0,Active,2.0,683.5,Yes
Chihuahua,Male,3.0,11.79,Medium,Active,Special diet,Iams,4.83,Yes,No,12.0,1.0,Very Active,1.0,445.38,Yes
German Shepherd,Female,11.0,17.24,Medium,Very Active,Wet food,Purina,1.61,No,No,12.0,1.0,Moderate,1.0,592.24,Yes
Bulldog,Male,9.0,29.48,Large,Active,Special diet,Wellness,4.83,No,No,12.0,1.0,Very Active,1.0,885.61,Yes
Great Dane,Male,6.0,29.48,Large,Low,Special diet,Blue Buffalo,1.61,Yes,No,8.0,2.0,Moderate,1.0,885.61,Yes
Chihuahua,Male,10.0,6.8,Small,Moderate,Wet food,Wellness,4.83,Yes,No,8.0,3.0,Moderate,1.0,294.77,No
Beagle,Male,11.0,23.59,Medium,Active,Special diet,Nutro,6.44,Yes,No,11.0,1.0,Active,0.0,749.28,Yes
Poodle,Female,13.0,14.51,Medium,Moderate,Wet food,Pedigree,6.44,No,No,13.0,2.0,Low,2.0,520.41,Yes
Siberian Husky,Female,13.0,11.79,Medium,Very Active,Hard food,Hill's Science,8.05,No,No,10.0,1.0,Very Active,2.0,445.38,Yes
Rottweiler,Male,2.0,29.94,Large,Active,Home cooked,Special,1.61,Yes,No,14.0,1.0,Moderate,1.0,895.96,Yes
Poodle,Male,13.0,22.68,Medium,Moderate,Hard food,Iams,0.0,No,No,10.0,2.0,Active,2.0,727.5,Yes
German Shepherd,Female,5.0,28.58,Large,Active,Special diet,Nutro,6.44,No,No,10.0,2.0,Moderate,0.0,865.26,Yes
Rottweiler,Female,13.0,19.5,Medium,Active,Special diet,Nutro,6.44,Yes,No,11.0,1.0,Very Active,3.0,649.57,No
Australian Shepherd,Male,10.0,31.3,Large,Very Active,Hard food,Wellness,1.61,No,No,10.0,3.0,Very Active,4.0,926.31,Yes
Australian Shepherd,Male,8.0,25.4,Large,Low,Special diet,Wellness,4.83,No,No,12.0,2.0,Low,2.0,792.0,Yes
Bulldog,Male,2.0,26.31,Large,Active,Wet food,Wellness,3.22,Yes,No,9.0,1.0,Active,2.0,813.18,Yes
Siberian Husky,Female,4.0,31.3,Large,Active,Hard food,Purina,3.22,No,Yes,11.0,0.0,Active,1.0,926.31,No
Rottweiler,Female,13.0,12.25,Medium,Very Active,Home cooked,Special,0.0,Yes,No,13.0,1.0,Active,2.0,458.35,Yes
Golden Retriever,Female,9.0,29.48,Large,Moderate,Wet food,Purina,4.83,Yes,No,9.0,2.0,Active,2.0,885.61,No
Dachshund,Male,10.0,23.13,Medium,Low,Wet food,Wellness,4.83,No,No,12.0,2.0,Very Active,2.0,738.29,Yes
Australian Shepherd,Female,12.0,26.76,Large,Active,Home cooked,Special,9.66,No,Yes,10.0,2.0,Low,1.0,823.59,Yes
Poodle,Female,9.0,14.06,Medium,Low,Special diet,Pedigree,6.44,No,No,13.0,2.0,Moderate,0.0,508.26,Yes
Bulldog,Male,12.0,14.97,Medium,Moderate,Wet food,Wellness,4.83,Yes,No,12.0,3.0,Very Active,0.0,532.74,No
Great Dane,Male,2.0,31.3,Large,Active,Hard food,Wellness,1.61,No,No,11.0,0.0,Moderate,1.0,926.31,Yes
Yorkshire Terrier,Female,2.0,20.41,Medium,Low,Hard food,Wellness,4.83,No,No,9.0,1.0,Very Active,0.0,672.17,Yes
Golden Retriever,Male,4.0,29.03,Large,Active,Wet food,Royal Canin,8.05,No,No,12.0,2.0,Moderate,2.0,875.45,Yes
Chihuahua,Female,13.0,4.54,Small,Low,Wet food,Blue Buffalo,0.0,No,No,13.0,1.0,Very Active,0.0,217.72,No
Great Dane,Female,12.0,18.6,Medium,Moderate,Hard food,Blue Buffalo,4.83,No,No,10.0,1.0,Very Active,0.0,626.95,No
Rottweiler,Male,7.0,21.77,Medium,Active,Wet food,Pedigree,6.44,No,No,12.0,0.0,Very Active,0.0,705.49,No
Poodle,Female,9.0,27.67,Large,Active,Special diet,Nutro,1.61,No,No,10.0,2.0,Very Active,0.0,844.51,Yes
Siberian Husky,Female,8.0,22.23,Medium,Active,Wet food,Hill's Science,4.83,No,No,13.0,2.0,Low,1.0,716.64,Yes
Rottweiler,Female,11.0,26.76,Large,Moderate,Hard food,Iams,1.61,Yes,No,10.0,1.0,Active,0.0,823.59,No
German Shepherd,Female,5.0,20.87,Medium,Moderate,Wet food,Hill's Science,4.83,Yes,No,10.0,3.0,Active,3.0,683.5,No
Poodle,Female,7.0,15.42,Medium,Active,Special diet,Wellness,1.61,Yes,No,12.0,1.0,Very Active,1.0,544.7,Yes
Boxer,Female,12.0,20.41,Medium,Active,Wet food,Nutro,6.44,Yes,Yes,12.0,3.0,Active,1.0,672.17,No
German Shepherd,Female,4.0,11.79,Medium,Low,Home cooked,Special,9.66,Yes,No,10.0,1.0,Very Active,3.0,445.38,Yes
Labrador Retriever,Female,8.0,27.22,Large,Active,Wet food,Iams,4.83,Yes,No,11.0,2.0,Very Active,1.0,834.19,Yes
German Shepherd,Female,2.0,34.93,Large,Moderate,Hard food,Iams,3.22,No,No,11.0,1.0,Very Active,4.0,1005.77,Yes
Labrador Retriever,Female,6.0,28.12,Large,Low,Hard food,Wellness,3.22,No,No,10.0,1.0,Moderate,2.0,854.79,Yes
Poodle,Male,7.0,29.94,Large,Active,Wet food,Hill's Science,3.22,No,No,10.0,2.0,Very Active,3.0,895.96,Yes
Doberman,Male,8.0,19.05,Medium,Low,Special diet,Purina,4.83,No,No,12.0,2.0,Moderate,3.0,638.29,Yes
Bulldog,Male,12.0,28.12,Large,Moderate,Wet food,Iams,0.0,No,Yes,9.0,1.0,Very Active,1.0,854.79,No
Golden Retriever,Male,1.0,34.02,Large,Active,Wet food,Blue Buffalo,3.22,Yes,No,12.0,0.0,Very Active,0.0,986.05,No
Labrador Retriever,Female,4.0,18.14,Medium,Very Active,Hard food,Purina,4.83,No,No,13.0,0.0,Active,2.0,615.28,Yes
Australian Shepherd,Male,8.0,28.58,Large,Active,Hard food,Blue Buffalo,4.83,No,No,10.0,3.0,Very Active,0.0,865.26,No
Beagle,Female,13.0,18.6,Medium,Active,Wet food,Purina,6.44,No,No,12.0,1.0,Active,0.0,626.95,No
Yorkshire Terrier,Male,11.0,28.58,Large,Low,Wet food,Iams,4.83,No,No,12.0,1.0,Very Active,0.0,865.26,Yes
Boxer,Male,5.0,17.24,Medium,Active,Hard food,Royal Canin,3.22,No,No,12.0,3.0,Active,3.0,592.24,Yes
Labrador Retriever,Male,10.0,23.59,Medium,Low,Home cooked,Special,3.22,Yes,Yes,10.0,2.0,Low,3.0,749.28,No
Golden Retriever,Female,5.0,32.21,Large,Moderate,Home cooked,Special,3.22,No,No,10.0,2.0,Low,1.0,946.44,Yes
Beagle,Male,9.0,13.61,Medium,Moderate,Hard food,Purina,3.22,Yes,No,11.0,0.0,Active,4.0,496.01,No
Golden Retriever,Male,1.0,15.88,Medium,Active,Hard food,Royal Canin,9.66,Yes,No,14.0,1.0,Active,1.0,556.85,No
Boxer,Male,10.0,18.6,Medium,Very Active,Special diet,Royal Canin,8.05,Yes,No,11.0,3.0,Active,2.0,626.95,Yes
Doberman,Female,9.0,23.13,Medium,Moderate,Special diet,Blue Buffalo,3.22,Yes,No,9.0,2.0,Active,1.0,738.29,No
Dachshund,Female,13.0,28.12,Large,Low,Wet food,Wellness,6.44,Yes,No,12.0,2.0,Very Active,0.0,854.79,No
Dachshund,Female,10.0,24.95,Medium,Moderate,Home cooked,Special,1.61,Yes,No,12.0,2.0,Very Active,4.0,781.45,Yes
Golden Retriever,Female,9.0,22.68,Medium,Active,Home cooked,Special,3.22,No,No,11.0,1.0,Very Active,1.0,727.5,Yes
Australian Shepherd,Female,13.0,38.1,Large,Low,Home cooked,Special,3.22,Yes,No,13.0,1.0,Very Active,0.0,1073.47,No
Yorkshire Terrier,Female,13.0,6.35,Small,Active,Special diet,Wellness,3.22,Yes,No,12.0,1.0,Moderate,3.0,280.01,No
Beagle,Female,6.0,25.4,Large,Moderate,Wet food,Special,4.83,No,No,12.0,2.0,Very Active,0.0,792.0,Yes
Yorkshire Terrier,Male,2.0,13.15,Medium,Active,Hard food,Nutro,1.61,Yes,No,10.0,3.0,Very Active,3.0,483.38,Yes
Bulldog,Male,11.0,15.42,Medium,Moderate,Home cooked,Special,3.22,No,Yes,9.0,3.0,Low,3.0,544.7,Yes
Boxer,Male,9.0,25.85,Large,Very Active,Home cooked,Special,4.83,Yes,No,12.0,1.0,Moderate,1.0,802.5,Yes
Rottweiler,Male,11.0,32.21,Large,Very Active,Special diet,Iams,8.05,No,No,14.0,1.0,Moderate,1.0,946.44,Yes
Yorkshire Terrier,Male,12.0,33.11,Large,Very Active,Home cooked,Special,3.22,No,No,10.0,2.0,Low,0.0,966.2,Yes
Great Dane,Female,7.0,25.85,Large,Low,Special diet,Nutro,4.83,Yes,Yes,10.0,3.0,Very Active,1.0,802.5,No
Dachshund,Male,7.0,41.28,Large,Very Active,Home cooked,Special,3.22,Yes,No,11.0,0.0,Very Active,1.0,1139.99,Yes
Poodle,Male,1.0,13.61,Medium,Active,Wet food,Blue Buffalo,4.83,No,No,11.0,2.0,Moderate,2.0,496.01,Yes
Dachshund,Male,9.0,9.98,Small,Active,Home cooked,Special,4.83,Yes,No,9.0,1.0,Low,1.0,393.05,No
Chihuahua,Male,2.0,22.23,Medium,Very Active,Home cooked,Special,1.61,No,No,13.0,1.0,Low,1.0,716.64,Yes
Australian Shepherd,Female,12.0,19.5,Medium,Very Active,Special diet,Royal Canin,3.22,Yes,No,10.0,2.0,Active,1.0,649.57,Yes
Poodle,Male,1.0,21.77,Medium,Low,Wet food,Hill's Science,8.05,No,No,12.0,0.0,Active,0.0,705.49,No
Siberian Husky,Female,4.0,24.49,Medium,Low,Home cooked,Special,3.22,Yes,No,10.0,3.0,Low,2.0,770.62,Yes
Golden Retriever,Male,2.0,19.5,Medium,Low,Wet food,Pedigree,3.22,Yes,No,14.0,0.0,Moderate,1.0,649.57,Yes
Australian Shepherd,Male,3.0,34.47,Large,Active,Wet food,Purina,4.83,No,No,8.0,3.0,Active,2.0,995.82,Yes
Australian Shepherd,Female,7.0,24.04,Medium,Moderate,Special diet,Wellness,8.05,No,No,14.0,0.0,Active,3.0,759.97,Yes
Rottweiler,Female,3.0,14.51,Medium,Active,Wet food,Royal Canin,6.44,No,No,10.0,1.0,Very Active,0.0,520.41,Yes
German Shepherd,Female,10.0,16.78,Medium,Very Active,Wet food,Hill's Science,4.83,No,No,11.0,2.0,Moderate,2.0,580.35,Yes
Australian Shepherd,Female,4.0,25.4,Large,Active,Special diet,Iams,4.83,No,No,9.0,0.0,Very Active,1.0,792.0,Yes
Chihuahua,Female,9.0,34.47,Large,Low,Special diet,Purina,0.0,Yes,No,13.0,3.0,Low,1.0,995.82,Yes
Siberian Husky,Male,3.0,14.97,Medium,Active,Special diet,Blue Buffalo,3.22,Yes,No,10.0,2.0,Low,1.0,532.74,Yes
Poodle,Male,5.0,14.97,Medium,Low,Wet food,Purina,6.44,Yes,No,10.0,1.0,Very Active,1.0,532.74,Yes
Boxer,Male,5.0,17.24,Medium,Moderate,Home cooked,Special,6.44,Yes,No,12.0,2.0,Very Active,2.0,592.24,Yes
Yorkshire Terrier,Male,12.0,18.14,Medium,Low,Special diet,Purina,3.22,No,No,11.0,4.0,Active,1.0,615.28,Yes
Doberman,Male,10.0,24.49,Medium,Very Active,Special diet,Special,4.83,Yes,No,11.0,3.0,Very Active,1.0,770.62,Yes
Golden Retriever,Female,2.0,29.48,Large,Low,Special diet,Blue Buffalo,1.61,Yes,Yes,9.0,0.0,Very Active,0.0,885.61,No
Mixed/SRD,Male,7.0,22.68,Medium,Active,Special diet,Iams,8.05,No,No,11.0,2.0,Low,0.0,727.5,Yes
Labrador Retriever,Male,2.0,25.85,Large,Active,Home cooked,Special,0.0,Yes,No,10.0,1.0,Low,1.0,802.5,Yes
Bulldog,Female,8.0,17.24,Medium,Moderate,Hard food,Pedigree,3.22,No,No,9.0,1.0,Very Active,2.0,592.24,Yes
Siberian Husky,Male,7.0,17.69,Medium,Very Active,Special diet,Purina,4.83,Yes,No,12.0,1.0,Very Active,2.0,603.8,Yes
Chihuahua,Female,8.0,20.41,Medium,Moderate,Wet food,Royal Canin,3.22,No,No,12.0,2.0,Very Active,0.0,672.17,Yes
Siberian Husky,Male,1.0,27.67,Large,Active,Wet food,Wellness,1.61,No,No,12.0,2.0,Moderate,1.0,844.51,Yes
Australian Shepherd,Male,5.0,19.5,Medium,Active,Special diet,Purina,8.05,Yes,No,12.0,0.0,Active,4.0,649.57,Yes
Yorkshire Terrier,Female,8.0,41.73,Large,Moderate,Special diet,Royal Canin,3.22,Yes,No,11.0,3.0,Very Active,1.0,1149.3,No
Doberman,Female,9.0,22.68,Medium,Active,Hard food,Special,3.22,No,No,13.0,0.0,Very Active,1.0,727.5,Yes
Bulldog,Female,9.0,11.34,Medium,Very Active,Home cooked,Special,4.83,Yes,No,13.0,1.0,Active,2.0,432.57,Yes
Great Dane,Female,11.0,27.22,Large,Active,Home cooked,Special,1.61,No,No,12.0,1.0,Very Active,2.0,834.19,Yes
Poodle,Male,8.0,29.94,Large,Active,Home cooked,Special,1.61,Yes,No,13.0,2.0,Very Active,0.0,895.96,Yes
Doberman,Male,12.0,15.42,Medium,Low,Home cooked,Special,4.83,Yes,No,13.0,2.0,Very Active,0.0,544.7,No
German Shepherd,Male,7.0,25.4,Large,Low,Hard food,Royal Canin,4.83,No,No,9.0,1.0,Very Active,0.0,792.0,No
Beagle,Male,6.0,28.58,Large,Low,Home cooked,Special,3.22,No,Yes,9.0,2.0,Low,1.0,865.26,Yes
Doberman,Male,7.0,17.69,Medium,Low,Home cooked,Special,3.22,No,No,10.0,2.0,Moderate,4.0,603.8,Yes
Labrador Retriever,Female,13.0,4.54,Small,Active,Home cooked,Special,3.22,Yes,No,10.0,2.0,Low,1.0,217.72,Yes
Yorkshire Terrier,Female,1.0,18.6,Medium,Very Active,Special diet,Hill's Science,4.83,Yes,No,11.0,0.0,Low,1.0,626.95,Yes
Beagle,Male,7.0,13.15,Medium,Moderate,Wet food,Blue Buffalo,3.22,No,No,14.0,1.0,Very Active,0.0,483.38,Yes
Yorkshire Terrier,Female,10.0,23.13,Medium,Active,Special diet,Royal Canin,6.44,Yes,No,13.0,3.0,Low,3.0,738.29,Yes
Golden Retriever,Male,9.0,27.22,Large,Moderate,Special diet,Nutro,4.83,Yes,Yes,10.0,1.0,Low,0.0,834.19,No
Siberian Husky,Male,8.0,26.31,Large,Active,Home cooked,Special,3.22,Yes,No,11.0,1.0,Very Active,2.0,813.18,Yes
Boxer,Male,4.0,28.58,Large,Moderate,Hard food,Wellness,6.44,Yes,No,12.0,3.0,Very Active,2.0,865.26,Yes
Dachshund,Female,6.0,16.78,Medium,Very Active,Wet food,Pedigree,6.44,Yes,No,11.0,0.0,Active,1.0,580.35,Yes
Labrador Retriever,Male,10.0,35.83,Large,Active,Hard food,Pedigree,4.83,Yes,No,9.0,1.0,Very Active,4.0,1025.14,No
Siberian Husky,Male,4.0,16.33,Medium,Low,Hard food,Hill's Science,4.83,Yes,No,12.0,0.0,Very Active,1.0,568.64,Yes
Labrador Retriever,Male,4.0,9.07,Small,Active,Hard food,Purina,4.83,Yes,No,9.0,2.0,Moderate,1.0,365.85,Yes
Golden Retriever,Male,7.0,11.79,Medium,Active,Special diet,Pedigree,4.83,Yes,No,8.0,2.0,Low,0.0,445.38,No
Yorkshire Terrier,Female,9.0,22.68,Medium,Moderate,Special diet,Purina,3.22,No,No,11.0,2.0,Active,3.0,727.5,Yes
Mixed/SRD,Female,6.0,22.68,Medium,Moderate,Special diet,Nutro,1.61,No,No,9.0,1.0,Very Active,0.0,727.5,Yes
Siberian Husky,Male,4.0,12.25,Medium,Moderate,Home cooked,Special,1.61,No,No,10.0,2.0,Very Active,0.0,458.35,Yes
Chihuahua,Male,4.0,24.95,Medium,Active,Wet food,Purina,0.0,No,No,12.0,1.0,Moderate,0.0,781.45,Yes
Poodle,Female,3.0,23.13,Medium,Very Active,Wet food,Nutro,3.22,No,No,12.0,1.0,Moderate,1.0,738.29,Yes
Labrador Retriever,Male,4.0,19.5,Medium,Active,Hard food,Purina,3.22,No,No,13.0,1.0,Very Active,1.0,649.57,Yes
German Shepherd,Female,10.0,22.68,Medium,Active,Special diet,Pedigree,6.44,No,No,9.0,3.0,Low,0.0,727.5,Yes
Beagle,Male,4.0,28.12,Large,Active,Hard food,Blue Buffalo,4.83,No,No,11.0,2.0,Moderate,1.0,854.79,Yes
Yorkshire Terrier,Male,7.0,28.12,Large,Active,Wet food,Pedigree,1.61,Yes,No,12.0,1.0,Very Active,1.0,854.79,No
Chihuahua,Male,11.0,16.78,Medium,Active,Special diet,Hill's Science,4.83,No,No,10.0,2.0,Active,0.0,580.35,Yes
Golden Retriever,Female,10.0,25.85,Large,Low,Home cooked,Special,9.66,Yes,No,10.0,1.0,Moderate,0.0,802.5,No
Siberian Husky,Male,8.0,18.6,Medium,Moderate,Special diet,Hill's Science,3.22,Yes,No,12.0,2.0,Active,0.0,626.95,Yes
Dachshund,Male,2.0,14.97,Medium,Active,Wet food,Purina,0.0,No,No,13.0,0.0,Very Active,1.0,532.74,Yes
Labrador Retriever,Female,4.0,32.21,Large,Active,Special diet,Hill's Science,9.66,Yes,No,10.0,0.0,Low,1.0,946.44,Yes
Doberman,Female,3.0,21.32,Medium,Low,Wet food,Hill's Science,4.83,No,No,14.0,0.0,Moderate,2.0,694.53,Yes
Yorkshire Terrier,Male,3.0,19.96,Medium,Active,Home cooked,Special,1.61,Yes,No,10.0,0.0,Very Active,3.0,661.03,Yes
Rottweiler,Male,10.0,27.67,Large,Active,Wet food,Royal Canin,0.0,Yes,No,10.0,0.0,Active,2.0,844.51,Yes
Chihuahua,Male,11.0,15.42,Medium,Active,Hard food,Wellness,1.61,Yes,No,10.0,1.0,Active,0.0,544.7,No
Great Dane,Male,3.0,35.38,Large,Low,Wet food,Blue Buffalo,8.05,No,No,9.0,2.0,Low,2.0,1015.47,Yes
Mixed/SRD,Female,9.0,21.77,Medium,Active,Wet food,Royal Canin,6.44,Yes,No,10.0,3.0,Very Active,1.0,705.49,No
Yorkshire Terrier,Female,4.0,20.41,Medium,Active,Wet food,Special,11.27,No,Yes,8.0,0.0,Low,2.0,672.17,Yes
Doberman,Male,9.0,5.44,Small,Active,Home cooked,Special,1.61,No,No,11.0,2.0,Very Active,3.0,249.34,Yes
Siberian Husky,Male,4.0,28.12,Large,Very Active,Hard food,Iams,4.83,No,No,13.0,2.0,Low,2.0,854.79,Yes
Chihuahua,Male,12.0,33.57,Large,Moderate,Special diet,Nutro,8.05,Yes,No,12.0,2.0,Active,0.0,976.25,No
Labrador Retriever,Female,7.0,18.14,Medium,Active,Hard food,Royal Canin,1.61,No,No,10.0,1.0,Very Active,4.0,615.28,Yes
Beagle,Male,11.0,28.12,Large,Low,Special diet,Pedigree,1.61,No,No,11.0,3.0,Low,3.0,854.79,Yes
Australian Shepherd,Female,7.0,8.62,Small,Low,Wet food,Nutro,8.05,Yes,No,14.0,2.0,Very Active,1.0,352.15,No
Yorkshire Terrier,Male,8.0,22.68,Medium,Active,Special diet,Iams,3.22,Yes,No,11.0,2.0,Low,3.0,727.5,Yes
Siberian Husky,Female,7.0,38.1,Large,Active,Special diet,Wellness,0.0,No,No,12.0,1.0,Active,3.0,1073.47,Yes
Golden Retriever,Female,10.0,26.76,Large,Low,Special diet,Hill's Science,1.61,No,No,12.0,1.0,Very Active,1.0,823.59,Yes
Dachshund,Female,4.0,10.43,Medium,Very Active,Special diet,Nutro,4.83,Yes,No,13.0,3.0,Low,2.0,406.27,Yes
Siberian Husky,Male,2.0,29.94,Large,Active,Hard food,Iams,3.22,No,No,10.0,3.0,Very Active,0.0,895.96,Yes
Bulldog,Female,9.0,29.48,Large,Moderate,Wet food,Hill's Science,8.05,No,No,14.0,0.0,Low,0.0,885.61,No
Poodle,Male,5.0,14.97,Medium,Very Active,Wet food,Royal Canin,3.22,No,No,12.0,2.0,Very Active,2.0,532.74,Yes
Labrador Retriever,Female,13.0,26.31,Large,Moderate,Home cooked,Special,3.22,No,No,12.0,2.0,Low,0.0,813.18,Yes
German Shepherd,Female,12.0,21.32,Medium,Low,Wet food,Special,4.83,No,No,10.0,0.0,Very Active,2.0,694.53,Yes
Labrador Retriever,Female,2.0,22.68,Medium,Moderate,Special diet,Wellness,3.22,No,No,10.0,3.0,Active,3.0,727.5,Yes
Boxer,Male,7.0,28.58,Large,Active,Home cooked,Special,0.0,No,No,9.0,3.0,Active,2.0,865.26,Yes
Doberman,Male,2.0,23.13,Medium,Active,Hard food,Blue Buffalo,3.22,Yes,No,10.0,1.0,Low,0.0,738.29,Yes
Beagle,Female,12.0,21.32,Medium,Active,Hard food,Special,3.22,Yes,No,12.0,0.0,Moderate,0.0,694.53,No
Boxer,Female,6.0,30.39,Large,Active,Hard food,Pedigree,3.22,No,Yes,11.0,1.0,Very Active,4.0,906.04,Yes
Labrador Retriever,Male,7.0,27.67,Large,Very Active,Special diet,Blue Buffalo,1.61,No,No,11.0,1.0,Moderate,2.0,844.51,Yes
Doberman,Female,2.0,24.95,Medium,Active,Wet food,Hill's Science,3.22,Yes,No,11.0,3.0,Very Active,3.0,781.45,Yes
Bulldog,Female,1.0,17.24,Medium,Active,Home cooked,Special,1.61,Yes,Yes,13.0,2.0,Very Active,1.0,592.24,No
Australian Shepherd,Male,1.0,19.5,Medium,Very Active,Wet food,Iams,4.83,Yes,No,11.0,1.0,Low,2.0,649.57,Yes
German Shepherd,Female,6.0,31.3,Large,Low,Special diet,Pedigree,6.44,No,No,11.0,2.0,Very Active,2.0,926.31,Yes
Chihuahua,Female,2.0,21.32,Medium,Active,Home cooked,Special,4.83,Yes,No,13.0,0.0,Moderate,2.0,694.53,Yes
Australian Shepherd,Male,7.0,4.54,Small,Active,Home cooked,Special,1.61,Yes,No,12.0,4.0,Moderate,1.0,217.72,Yes
Bulldog,Male,7.0,36.29,Large,Active,Wet food,Iams,3.22,Yes,No,10.0,1.0,Active,4.0,1035.0,Yes
Rottweiler,Female,4.0,26.31,Large,Active,Hard food,Hill's Science,0.0,No,Yes,10.0,2.0,Very Active,0.0,813.18,No
Doberman,Female,1.0,23.59,Medium,Very Active,Hard food,Purina,0.0,Yes,No,12.0,3.0,Active,1.0,749.28,No
Siberian Husky,Female,7.0,27.67,Large,Very Active,Wet food,Wellness,4.83,No,No,11.0,0.0,Moderate,0.0,844.51,Yes
Australian Shepherd,Male,2.0,19.96,Medium,Moderate,Home cooked,Special,6.44,Yes,No,12.0,1.0,Very Active,1.0,661.03,Yes
Rottweiler,Female,5.0,28.12,Large,Very Active,Hard food,Hill's Science,4.83,No,No,13.0,3.0,Low,2.0,854.79,Yes
Doberman,Male,11.0,33.11,Large,Very Active,Home cooked,Special,4.83,No,No,11.0,2.0,Active,4.0,966.2,Yes
Dachshund,Male,4.0,23.13,Medium,Low,Special diet,Blue Buffalo,6.44,Yes,Yes,11.0,3.0,Very Active,1.0,738.29,No
Siberian Husky,Female,6.0,11.34,Medium,Low,Special diet,Wellness,6.44,No,No,12.0,2.0,Very Active,2.0,432.57,Yes
Mixed/SRD,Male,4.0,24.95,Medium,Low,Wet food,Pedigree,0.0,No,No,11.0,2.0,Very Active,2.0,781.45,Yes
Rottweiler,Female,3.0,29.03,Large,Active,Hard food,Royal Canin,4.83,Yes,No,11.0,1.0,Very Active,1.0,875.45,Yes
Chihuahua,Female,9.0,24.95,Medium,Active,Home cooked,Special,3.22,Yes,No,11.0,2.0,Very Active,0.0,781.45,No
Beagle,Male,8.0,26.31,Large,Active,Wet food,Blue Buffalo,4.83,Yes,No,11.0,0.0,Very Active,2.0,813.18,Yes
Siberian Husky,Male,13.0,17.24,Medium,Very Active,Home cooked,Special,1.61,No,No,14.0,2.0,Very Active,4.0,592.24,Yes
Chihuahua,Male,8.0,23.59,Medium,Low,Home cooked,Special,4.83,Yes,No,9.0,3.0,Very Active,2.0,749.28,Yes
Doberman,Female,8.0,36.29,Large,Low,Wet food,Royal Canin,1.61,No,No,10.0,2.0,Very Active,2.0,1035.0,Yes
Boxer,Male,10.0,26.76,Large,Low,Hard food,Wellness,6.44,No,No,11.0,2.0,Active,0.0,823.59,No
Australian Shepherd,Female,11.0,27.67,Large,Very Active,Home cooked,Special,3.22,No,No,10.0,3.0,Low,2.0,844.51,Yes
Great Dane,Female,4.0,14.97,Medium,Low,Home cooked,Special,0.0,No,No,11.0,2.0,Moderate,2.0,532.74,Yes
