Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude
Rottweiler,Fêmea,13.0,12.25,Médio,Muito Ativo,Caseira,Special,0.0,Sim,Não,13.0,1.0,2.0,458.35,Sim
Golden Retriever,Fêmea,9.0,29.48,Grande,Moderado,Úmida,Purina,4.83,Sim,Não,9.0,2.0,2.0,885.61,Não
Dachshund,Macho,10.0,23.13,Médio,Baixo,Úmida,Wellness,4.83,Não,Não,12.0,2.0,2.0,738.29,Sim
Australian Shepherd,Fêmea,12.0,26.76,Grande,Ativo,Caseira,Special,9.66,Não,Sim,10.0,2.0,1.0,823.59,Sim
Poodle,Fêmea,9.0,14.06,Médio,Baixo,Especial,Pedigree,6.44,Não,Não,13.0,2.0,0.0,508.26,Sim
Bulldog,Macho,12.0,14.97,Médio,Moderado,Úmida,Wellness,4.83,Sim,Não,12.0,3.0,0.0,532.74,Não
Great Dane,Macho,2.0,31.3,Grande,Ativo,Ração Seca,Wellness,1.61,Não,Não,11.0,0.0,1.0,926.31,Sim
Yorkshire Terrier,Fêmea,2.0,20.41,Médio,Baixo,Ração Seca,Wellness,4.83,Não,Não,9.0,1.0,0.0,672.17,Sim
Golden Retriever,Macho,4.0,29.03,Grande,Ativo,Úmida,Royal Canin,8.05,Não,Não,12.0,2.0,2.0,875.45,Sim
Chihuahua,Fêmea,13.0,4.54,Pequeno,Baixo,Úmida,Blue Buffalo,0.0,Não,Não,13.0,1.0,0.0,217.72,Não
Great Dane,Fêmea,12.0,18.6,Médio,Moderado,Ração Seca,Blue Buffalo,4.83,Não,Não,10.0,1.0,0.0,626.95,Não
Rottweiler,Macho,7.0,21.77,Médio,Ativo,Úmida,Pedigree,6.44,Não,Não,12.0,0.0,0.0,705.49,Não
Poodle,Fêmea,9.0,27.67,Grande,Ativo,Especial,Nutro,1.61,Não,Não,10.0,2.0,0.0,844.51,Sim
Siberian Husky,Fêmea,8.0,22.23,Médio,Ativo,Úmida,Hill's Science,4.83,Não,Não,13.0,2.0,1.0,716.64,Sim
Rottweiler,Fêmea,11.0,26.76,Grande,Moderado,Ração Seca,Iams,1.61,Sim,Não,10.0,1.0,0.0,823.59,Não
German Shepherd,Fêmea,5.0,20.87,Médio,Moderado,Úmida,Hill's Science,4.83,Sim,Não,10.0,3.0,3.0,683.5,Não
Poodle,Fêmea,7.0,15.42,Médio,Ativo,Especial,Wellness,1.61,Sim,Não,12.0,1.0,1.0,544.7,Sim
Boxer,Fêmea,12.0,20.41,Médio,Ativo,Úmida,Nutro,6.44,Sim,Sim,12.0,3.0,1.0,672.17,Não
German Shepherd,Fêmea,4.0,11.79,Médio,Baixo,Caseira,Special,9.66,Sim,Não,10.0,1.0,3.0,445.38,Sim
Labrador Retriever,Fêmea,8.0,27.22,Grande,Ativo,Úmida,Iams,4.83,Sim,Não,11.0,2.0,1.0,834.19,Sim
German Shepherd,Fêmea,2.0,34.93,Grande,Moderado,Ração Seca,Iams,3.22,Não,Não,11.0,1.0,4.0,1005.77,Sim
Labrador Retriever,Fêmea,6.0,28.12,Grande,Baixo,Ração Seca,Wellness,3.22,Não,Não,10.0,1.0,2.0,854.79,Sim
Poodle,Macho,7.0,29.94,Grande,Ativo,Úmida,Hill's Science,3.22,Não,Não,10.0,2.0,3.0,895.96,Sim
Doberman,Macho,8.0,19.05,Médio,Baixo,Especial,Purina,4.83,Não,Não,12.0,2.0,3.0,638.29,Sim
Bulldog,Macho,12.0,28.12,Grande,Moderado,Úmida,Iams,0.0,Não,Sim,9.0,1.0,1.0,854.79,Não
Golden Retriever,Macho,1.0,34.02,Grande,Ativo,Úmida,Blue Buffalo,3.22,Sim,Não,12.0,0.0,0.0,986.05,Não
Labrador Retriever,Fêmea,4.0,18.14,Médio,Muito Ativo,Ração Seca,Purina,4.83,Não,Não,13.0,0.0,2.0,615.28,Sim
Australian Shepherd,Macho,8.0,28.58,Grande,Ativo,Ração Seca,Blue Buffalo,4.83,Não,Não,10.0,3.0,0.0,865.26,Não
Beagle,Fêmea,13.0,18.6,Médio,Ativo,Úmida,Purina,6.44,Não,Não,12.0,1.0,0.0,626.95,Não
Yorkshire Terrier,Macho,11.0,28.58,Grande,Baixo,Úmida,Iams,4.83,Não,Não,12.0,1.0,0.0,865.26,Sim
Boxer,Macho,5.0,17.24,Médio,Ativo,Ração Seca,Royal Canin,3.22,Não,Não,12.0,3.0,3.0,592.24,Sim
Labrador Retriever,Macho,10.0,23.59,Médio,Baixo,Caseira,Special,3.22,Sim,Sim,10.0,2.0,3.0,749.28,Não
Golden Retriever,Fêmea,5.0,32.21,Grande,Moderado,Caseira,Special,3.22,Não,Não,10.0,2.0,1.0,946.44,Sim
Beagle,Macho,9.0,13.61,Médio,Moderado,Ração Seca,Purina,3.22,Sim,Não,11.0,0.0,4.0,496.01,Não
Golden Retriever,Macho,1.0,15.88,Médio,Ativo,Ração Seca,Royal Canin,9.66,Sim,Não,14.0,1.0,1.0,556.85,Não
Boxer,Macho,10.0,18.6,Médio,Muito Ativo,Especial,Royal Canin,8.05,Sim,Não,11.0,3.0,2.0,626.95,Sim
Doberman,Fêmea,9.0,23.13,Médio,Moderado,Especial,Blue Buffalo,3.22,Sim,Não,9.0,2.0,1.0,738.29,Não
Dachshund,Fêmea,13.0,28.12,Grande,Baixo,Úmida,Wellness,6.44,Sim,Não,12.0,2.0,0.0,854.79,Não
Dachshund,Fêmea,10.0,24.95,Médio,Moderado,Caseira,Special,1.61,Sim,Não,12.0,2.0,4.0,781.45,Sim
Golden Retriever,Fêmea,9.0,22.68,Médio,Ativo,Caseira,Special,3.22,Não,Não,11.0,1.0,1.0,727.5,Sim
Australian Shepherd,Fêmea,13.0,38.1,Grande,Baixo,Caseira,Special,3.22,Sim,Não,13.0,1.0,0.0,1073.47,Não
Yorkshire Terrier,Fêmea,13.0,6.35,Pequeno,Ativo,Especial,Wellness,3.22,Sim,Não,12.0,1.0,3.0,280.01,Não
Beagle,Fêmea,6.0,25.4,Grande,Moderado,Úmida,Special,4.83,Não,Não,12.0,2.0,0.0,792.0,Sim
Yorkshire Terrier,Macho,2.0,13.15,Médio,Ativo,Ração Seca,Nutro,1.61,Sim,Não,10.0,3.0,3.0,483.38,Sim
Bulldog,Macho,11.0,15.42,Médio,Moderado,Caseira,Special,3.22,Não,Sim,9.0,3.0,3.0,544.7,Sim
Boxer,Macho,9.0,25.85,Grande,Muito Ativo,Caseira,Special,4.83,Sim,Não,12.0,1.0,1.0,802.5,Sim
Rottweiler,Macho,11.0,32.21,Grande,Muito Ativo,Especial,Iams,8.05,Não,Não,14.0,1.0,1.0,946.44,Sim
Yorkshire Terrier,Macho,12.0,33.11,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,10.0,2.0,0.0,966.2,Sim
Great Dane,Fêmea,7.0,25.85,Grande,Baixo,Especial,Nutro,4.83,Sim,Sim,10.0,3.0,1.0,802.5,Não
Dachshund,Macho,7.0,41.28,Grande,Muito Ativo,Caseira,Special,3.22,Sim,Não,11.0,0.0,1.0,1139.99,Sim
Poodle,Macho,1.0,13.61,Médio,Ativo,Úmida,Blue Buffalo,4.83,Não,Não,11.0,2.0,2.0,496.01,Sim
Dachshund,Macho,9.0,9.98,Pequeno,Ativo,Caseira,Special,4.83,Sim,Não,9.0,1.0,1.0,393.05,Não
Chihuahua,Macho,2.0,22.23,Médio,Muito Ativo,Caseira,Special,1.61,Não,Não,13.0,1.0,1.0,716.64,Sim
Australian Shepherd,Fêmea,12.0,19.5,Médio,Muito Ativo,Especial,Royal Canin,3.22,Sim,Não,10.0,2.0,1.0,649.57,Sim
Poodle,Macho,1.0,21.77,Médio,Baixo,Úmida,Hill's Science,8.05,Não,Não,12.0,0.0,0.0,705.49,Não
Siberian Husky,Fêmea,4.0,24.49,Médio,Baixo,Caseira,Special,3.22,Sim,Não,10.0,3.0,2.0,770.62,Sim
Golden Retriever,Macho,2.0,19.5,Médio,Baixo,Úmida,Pedigree,3.22,Sim,Não,14.0,0.0,1.0,649.57,Sim
Australian Shepherd,Macho,3.0,34.47,Grande,Ativo,Úmida,Purina,4.83,Não,Não,8.0,3.0,2.0,995.82,Sim
Australian Shepherd,Fêmea,7.0,24.04,Médio,Moderado,Especial,Wellness,8.05,Não,Não,14.0,0.0,3.0,759.97,Sim
Rottweiler,Fêmea,3.0,14.51,Médio,Ativo,Úmida,Royal Canin,6.44,Não,Não,10.0,1.0,0.0,520.41,Sim
German Shepherd,Fêmea,10.0,16.78,Médio,Muito Ativo,Úmida,Hill's Science,4.83,Não,Não,11.0,2.0,2.0,580.35,Sim
Australian Shepherd,Fêmea,4.0,25.4,Grande,Ativo,Especial,Iams,4.83,Não,Não,9.0,0.0,1.0,792.0,Sim
Chihuahua,Fêmea,9.0,34.47,Grande,Baixo,Especial,Purina,0.0,Sim,Não,13.0,3.0,1.0,995.82,Sim
Siberian Husky,Macho,3.0,14.97,Médio,Ativo,Especial,Blue Buffalo,3.22,Sim,Não,10.0,2.0,1.0,532.74,Sim
Poodle,Macho,5.0,14.97,Médio,Baixo,Úmida,Purina,6.44,Sim,Não,10.0,1.0,1.0,532.74,Sim
Boxer,Macho,5.0,17.24,Médio,Moderado,Caseira,Special,6.44,Sim,Não,12.0,2.0,2.0,592.24,Sim
Yorkshire Terrier,Macho,12.0,18.14,Médio,Baixo,Especial,Purina,3.22,Não,Não,11.0,4.0,1.0,615.28,Sim
Doberman,Macho,10.0,24.49,Médio,Muito Ativo,Especial,Special,4.83,Sim,Não,11.0,3.0,1.0,770.62,Sim
Golden Retriever,Fêmea,2.0,29.48,Grande,Baixo,Especial,Blue Buffalo,1.61,Sim,Sim,9.0,0.0,0.0,885.61,Não
SRD (Sem Raça Definida),Macho,7.0,22.68,Médio,Ativo,Especial,Iams,8.05,Não,Não,11.0,2.0,0.0,727.5,Sim
Labrador Retriever,Macho,2.0,25.85,Grande,Ativo,Caseira,Special,0.0,Sim,Não,10.0,1.0,1.0,802.5,Sim
Bulldog,Fêmea,8.0,17.24,Médio,Moderado,Ração Seca,Pedigree,3.22,Não,Não,9.0,1.0,2.0,592.24,Sim
Siberian Husky,Macho,7.0,17.69,Médio,Muito Ativo,Especial,Purina,4.83,Sim,Não,12.0,1.0,2.0,603.8,Sim
Chihuahua,Fêmea,8.0,20.41,Médio,Moderado,Úmida,Royal Canin,3.22,Não,Não,12.0,2.0,0.0,672.17,Sim
Siberian Husky,Macho,1.0,27.67,Grande,Ativo,Úmida,Wellness,1.61,Não,Não,12.0,2.0,1.0,844.51,Sim
Australian Shepherd,Macho,5.0,19.5,Médio,Ativo,Especial,Purina,8.05,Sim,Não,12.0,0.0,4.0,649.57,Sim
Yorkshire Terrier,Fêmea,8.0,41.73,Grande,Moderado,Especial,Royal Canin,3.22,Sim,Não,11.0,3.0,1.0,1149.3,Não
Doberman,Fêmea,9.0,22.68,Médio,Ativo,Ração Seca,Special,3.22,Não,Não,13.0,0.0,1.0,727.5,Sim
Bulldog,Fêmea,9.0,11.34,Médio,Muito Ativo,Caseira,Special,4.83,Sim,Não,13.0,1.0,2.0,432.57,Sim
Great Dane,Fêmea,11.0,27.22,Grande,Ativo,Caseira,Special,1.61,Não,Não,12.0,1.0,2.0,834.19,Sim
Poodle,Macho,8.0,29.94,Grande,Ativo,Caseira,Special,1.61,Sim,Não,13.0,2.0,0.0,895.96,Sim
Doberman,Macho,12.0,15.42,Médio,Baixo,Caseira,Special,4.83,Sim,Não,13.0,2.0,0.0,544.7,Não
German Shepherd,Macho,7.0,25.4,Grande,Baixo,Ração Seca,Royal Canin,4.83,Não,Não,9.0,1.0,0.0,792.0,Não
Beagle,Macho,6.0,28.58,Grande,Baixo,Caseira,Special,3.22,Não,Sim,9.0,2.0,1.0,865.26,Sim
Doberman,Macho,7.0,17.69,Médio,Baixo,Caseira,Special,3.22,Não,Não,10.0,2.0,4.0,603.8,Sim
Labrador Retriever,Fêmea,13.0,4.54,Pequeno,Ativo,Caseira,Special,3.22,Sim,Não,10.0,2.0,1.0,217.72,Sim
Yorkshire Terrier,Fêmea,1.0,18.6,Médio,Muito Ativo,Especial,Hill's Science,4.83,Sim,Não,11.0,0.0,1.0,626.95,Sim
Beagle,Macho,7.0,13.15,Médio,Moderado,Úmida,Blue Buffalo,3.22,Não,Não,14.0,1.0,0.0,483.38,Sim
Yorkshire Terrier,Fêmea,10.0,23.13,Médio,Ativo,Especial,Royal Canin,6.44,Sim,Não,13.0,3.0,3.0,738.29,Sim
Golden Retriever,Macho,9.0,27.22,Grande,Moderado,Especial,Nutro,4.83,Sim,Sim,10.0,1.0,0.0,834.19,Não
Siberian Husky,Macho,8.0,26.31,Grande,Ativo,Caseira,Special,3.22,Sim,Não,11.0,1.0,2.0,813.18,Sim
Boxer,Macho,4.0,28.58,Grande,Moderado,Ração Seca,Wellness,6.44,Sim,Não,12.0,3.0,2.0,865.26,Sim
Dachshund,Fêmea,6.0,16.78,Médio,Muito Ativo,Úmida,Pedigree,6.44,Sim,Não,11.0,0.0,1.0,580.35,Sim
Labrador Retriever,Macho,10.0,35.83,Grande,Ativo,Ração Seca,Pedigree,4.83,Sim,Não,9.0,1.0,4.0,1025.14,Não
Siberian Husky,Macho,4.0,16.33,Médio,Baixo,Ração Seca,Hill's Science,4.83,Sim,Não,12.0,0.0,1.0,568.64,Sim
Labrador Retriever,Macho,4.0,9.07,Pequeno,Ativo,Ração Seca,Purina,4.83,Sim,Não,9.0,2.0,1.0,365.85,Sim
Golden Retriever,Macho,7.0,11.79,Médio,Ativo,Especial,Pedigree,4.83,Sim,Não,8.0,2.0,0.0,445.38,Não
Yorkshire Terrier,Fêmea,9.0,22.68,Médio,Moderado,Especial,Purina,3.22,Não,Não,11.0,2.0,3.0,727.5,Sim
SRD (Sem Raça Definida),Fêmea,6.0,22.68,Médio,Moderado,Especial,Nutro,1.61,Não,Não,9.0,1.0,0.0,727.5,Sim
Siberian Husky,Macho,4.0,12.25,Médio,Moderado,Caseira,Special,1.61,Não,Não,10.0,2.0,0.0,458.35,Sim
Chihuahua,Macho,4.0,24.95,Médio,Ativo,Úmida,Purina,0.0,Não,Não,12.0,1.0,0.0,781.45,Sim
Poodle,Fêmea,3.0,23.13,Médio,Muito Ativo,Úmida,Nutro,3.22,Não,Não,12.0,1.0,1.0,738.29,Sim
Labrador Retriever,Macho,4.0,19.5,Médio,Ativo,Ração Seca,Purina,3.22,Não,Não,13.0,1.0,1.0,649.57,Sim
German Shepherd,Fêmea,10.0,22.68,Médio,Ativo,Especial,Pedigree,6.44,Não,Não,9.0,3.0,0.0,727.5,Sim
Beagle,Macho,4.0,28.12,Grande,Ativo,Ração Seca,Blue Buffalo,4.83,Não,Não,11.0,2.0,1.0,854.79,Sim
Yorkshire Terrier,Macho,7.0,28.12,Grande,Ativo,Úmida,Pedigree,1.61,Sim,Não,12.0,1.0,1.0,854.79,Não
Chihuahua,Macho,11.0,16.78,Médio,Ativo,Especial,Hill's Science,4.83,Não,Não,10.0,2.0,0.0,580.35,Sim
Golden Retriever,Fêmea,10.0,25.85,Grande,Baixo,Caseira,Special,9.66,Sim,Não,10.0,1.0,0.0,802.5,Não
Siberian Husky,Macho,8.0,18.6,Médio,Moderado,Especial,Hill's Science,3.22,Sim,Não,12.0,2.0,0.0,626.95,Sim
Dachshund,Macho,2.0,14.97,Médio,Ativo,Úmida,Purina,0.0,Não,Não,13.0,0.0,1.0,532.74,Sim
Labrador Retriever,Fêmea,4.0,32.21,Grande,Ativo,Especial,Hill's Science,9.66,Sim,Não,10.0,0.0,1.0,946.44,Sim
Doberman,Fêmea,3.0,21.32,Médio,Baixo,Úmida,Hill's Science,4.83,Não,Não,14.0,0.0,2.0,694.53,Sim
Yorkshire Terrier,Macho,3.0,19.96,Médio,Ativo,Caseira,Special,1.61,Sim,Não,10.0,0.0,3.0,661.03,Sim
Rottweiler,Macho,10.0,27.67,Grande,Ativo,Úmida,Royal Canin,0.0,Sim,Não,10.0,0.0,2.0,844.51,Sim
Chihuahua,Macho,11.0,15.42,Médio,Ativo,Ração Seca,Wellness,1.61,Sim,Não,10.0,1.0,0.0,544.7,Não
Great Dane,Macho,3.0,35.38,Grande,Baixo,Úmida,Blue Buffalo,8.05,Não,Não,9.0,2.0,2.0,1015.47,Sim
SRD (Sem Raça Definida),Fêmea,9.0,21.77,Médio,Ativo,Úmida,Royal Canin,6.44,Sim,Não,10.0,3.0,1.0,705.49,Não
Yorkshire Terrier,Fêmea,4.0,20.41,Médio,Ativo,Úmida,Special,11.27,Não,Sim,8.0,0.0,2.0,672.17,Sim
Doberman,Macho,9.0,5.44,Pequeno,Ativo,Caseira,Special,1.61,Não,Não,11.0,2.0,3.0,249.34,Sim
Siberian Husky,Macho,4.0,28.12,Grande,Muito Ativo,Ração Seca,Iams,4.83,Não,Não,13.0,2.0,2.0,854.79,Sim
Chihuahua,Macho,12.0,33.57,Grande,Moderado,Especial,Nutro,8.05,Sim,Não,12.0,2.0,0.0,976.25,Não
Labrador Retriever,Fêmea,7.0,18.14,Médio,Ativo,Ração Seca,Royal Canin,1.61,Não,Não,10.0,1.0,4.0,615.28,Sim
Beagle,Macho,11.0,28.12,Grande,Baixo,Especial,Pedigree,1.61,Não,Não,11.0,3.0,3.0,854.79,Sim
Australian Shepherd,Fêmea,7.0,8.62,Pequeno,Baixo,Úmida,Nutro,8.05,Sim,Não,14.0,2.0,1.0,352.15,Não
Yorkshire Terrier,Macho,8.0,22.68,Médio,Ativo,Especial,Iams,3.22,Sim,Não,11.0,2.0,3.0,727.5,Sim
Siberian Husky,Fêmea,7.0,38.1,Grande,Ativo,Especial,Wellness,0.0,Não,Não,12.0,1.0,3.0,1073.47,Sim
Golden Retriever,Fêmea,10.0,26.76,Grande,Baixo,Especial,Hill's Science,1.61,Não,Não,12.0,1.0,1.0,823.59,Sim
Dachshund,Fêmea,4.0,10.43,Médio,Muito Ativo,Especial,Nutro,4.83,Sim,Não,13.0,3.0,2.0,406.27,Sim
Siberian Husky,Macho,2.0,29.94,Grande,Ativo,Ração Seca,Iams,3.22,Não,Não,10.0,3.0,0.0,895.96,Sim
Bulldog,Fêmea,9.0,29.48,Grande,Moderado,Úmida,Hill's Science,8.05,Não,Não,14.0,0.0,0.0,885.61,Não
Poodle,Macho,5.0,14.97,Médio,Muito Ativo,Úmida,Royal Canin,3.22,Não,Não,12.0,2.0,2.0,532.74,Sim
Labrador Retriever,Fêmea,13.0,26.31,Grande,Moderado,Caseira,Special,3.22,Não,Não,12.0,2.0,0.0,813.18,Sim
German Shepherd,Fêmea,12.0,21.32,Médio,Baixo,Úmida,Special,4.83,Não,Não,10.0,0.0,2.0,694.53,Sim
Labrador Retriever,Fêmea,2.0,22.68,Médio,Moderado,Especial,Wellness,3.22,Não,Não,10.0,3.0,3.0,727.5,Sim
Boxer,Macho,7.0,28.58,Grande,Ativo,Caseira,Special,0.0,Não,Não,9.0,3.0,2.0,865.26,Sim
Doberman,Macho,2.0,23.13,Médio,Ativo,Ração Seca,Blue Buffalo,3.22,Sim,Não,10.0,1.0,0.0,738.29,Sim
Beagle,Fêmea,12.0,21.32,Médio,Ativo,Ração Seca,Special,3.22,Sim,Não,12.0,0.0,0.0,694.53,Não
Boxer,Fêmea,6.0,30.39,Grande,Ativo,Ração Seca,Pedigree,3.22,Não,Sim,11.0,1.0,4.0,906.04,Sim
Labrador Retriever,Macho,7.0,27.67,Grande,Muito Ativo,Especial,Blue Buffalo,1.61,Não,Não,11.0,1.0,2.0,844.51,Sim
Doberman,Fêmea,2.0,24.95,Médio,Ativo,Úmida,Hill's Science,3.22,Sim,Não,11.0,3.0,3.0,781.45,Sim
Bulldog,Fêmea,1.0,17.24,Médio,Ativo,Caseira,Special,1.61,Sim,Sim,13.0,2.0,1.0,592.24,Não
Australian Shepherd,Macho,1.0,19.5,Médio,Muito Ativo,Úmida,Iams,4.83,Sim,Não,11.0,1.0,2.0,649.57,Sim
German Shepherd,Fêmea,6.0,31.3,Grande,Baixo,Especial,Pedigree,6.44,Não,Não,11.0,2.0,2.0,926.31,Sim
Chihuahua,Fêmea,2.0,21.32,Médio,Ativo,Caseira,Special,4.83,Sim,Não,13.0,0.0,2.0,694.53,Sim
Australian Shepherd,Macho,7.0,4.54,Pequeno,Ativo,Caseira,Special,1.61,Sim,Não,12.0,4.0,1.0,217.72,Sim
Bulldog,Macho,7.0,36.29,Grande,Ativo,Úmida,Iams,3.22,Sim,Não,10.0,1.0,4.0,1035.0,Sim
Rottweiler,Fêmea,4.0,26.31,Grande,Ativo,Ração Seca,Hill's Science,0.0,Não,Sim,10.0,2.0,0.0,813.18,Não
Doberman,Fêmea,1.0,23.59,Médio,Muito Ativo,Ração Seca,Purina,0.0,Sim,Não,12.0,3.0,1.0,749.28,Não
Siberian Husky,Fêmea,7.0,27.67,Grande,Muito Ativo,Úmida,Wellness,4.83,Não,Não,11.0,0.0,0.0,844.51,Sim
Australian Shepherd,Macho,2.0,19.96,Médio,Moderado,Caseira,Special,6.44,Sim,Não,12.0,1.0,1.0,661.03,Sim
Rottweiler,Fêmea,5.0,28.12,Grande,Muito Ativo,Ração Seca,Hill's Science,4.83,Não,Não,13.0,3.0,2.0,854.79,Sim
Doberman,Macho,11.0,33.11,Grande,Muito Ativo,Caseira,Special,4.83,Não,Não,11.0,2.0,4.0,966.2,Sim
Dachshund,Macho,4.0,23.13,Médio,Baixo,Especial,Blue Buffalo,6.44,Sim,Sim,11.0,3.0,1.0,738.29,Não
Siberian Husky,Fêmea,6.0,11.34,Médio,Baixo,Especial,Wellness,6.44,Não,Não,12.0,2.0,2.0,432.57,Sim
SRD (Sem Raça Definida),Macho,4.0,24.95,Médio,Baixo,Úmida,Pedigree,0.0,Não,Não,11.0,2.0,2.0,781.45,Sim
Rottweiler,Fêmea,3.0,29.03,Grande,Ativo,Ração Seca,Royal Canin,4.83,Sim,Não,11.0,1.0,1.0,875.45,Sim
Chihuahua,Fêmea,9.0,24.95,Médio,Ativo,Caseira,Special,3.22,Sim,Não,11.0,2.0,0.0,781.45,Não
