ID,Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy,Weight (kg)
30,Rottweiler,Large,Male,2.0,Neutered,Active,Home cooked,Special,1.0,Yes,Yes,No,14.0,1.0,Moderate,1.0,43.0,Yes,Yes,53.01
31,Poodle,Small,Male,13.0,Neutered,Moderate,Hard food,Iams,0.0,No,Unknown,No,10.0,2.0,Active,2.0,61.0,Yes,Yes,22.68
32,German Shepherd,Large,Female,5.0,Neutered,Unknown,Special diet,Nutro,4.0,No,No,No,10.0,2.0,Moderate,0.0,61.0,Yes,Yes,28.58
34,Australian Shepherd,Medium,Male,10.0,Spayed,Very Active,Hard food,Wellness,1.0,No,No,No,10.0,3.0,Very Active,4.0,52.0,Yes,Yes,31.3
35,Australian Shepherd,Medium,Male,8.0,Unknown,Low,Special diet,Wellness,3.0,No,No,No,12.0,2.0,Low,2.0,82.0,Yes,Yes,25.4
36,Bulldog,Medium,Male,2.0,Neutered,Active,Wet food,Wellness,2.0,No,Yes,No,9.0,1.0,Active,2.0,70.0,Yes,Yes,18.79
38,Rottweiler,Large,Female,13.0,Neutered,Very Active,Home cooked,Special,0.0,Yes,Yes,No,13.0,1.0,Active,2.0,99.0,Yes,Yes,49.43
40,Dachshund,Small,Male,10.0,Neutered,Low,Wet food,Wellness,3.0,Yes,No,No,12.0,2.0,Very Active,2.0,93.0,Yes,Yes,5.68
41,Australian Shepherd,Unknown,Female,12.0,Neutered,Unknown,Home cooked,Special,6.0,No,No,Yes,10.0,2.0,Low,1.0,68.0,Yes,Yes,26.76
42,Poodle,Small,Female,9.0,Neutered,Low,Special diet,Pedigree,4.0,No,No,No,13.0,2.0,Moderate,0.0,55.0,Yes,Yes,14.06
44,Great Dane,Large,Male,2.0,Unknown,Unknown,Hard food,Wellness,1.0,No,No,No,11.0,0.0,Moderate,1.0,67.0,Yes,Yes,52.66
45,Yorkshire Terrier,Small,Female,2.0,Neutered,Low,Hard food,Wellness,3.0,No,No,No,9.0,1.0,Unknown,0.0,74.0,Yes,Yes,4.6
46,Golden Retriever,Large,Male,4.0,Unknown,Active,Wet food,Royal Canin,5.0,No,No,No,12.0,2.0,Moderate,2.0,69.0,Yes,Yes,29.03
50,Poodle,Small,Female,9.0,Unknown,Active,Special diet,Nutro,1.0,No,No,No,10.0,2.0,Unknown,0.0,47.0,Yes,Yes,27.67
51,Siberian Husky,Medium,Female,8.0,Neutered,Active,Wet food,Hill's Science,3.0,No,No,No,13.0,2.0,Low,1.0,80.0,Yes,Yes,22.23
54,Poodle,Small,Female,7.0,Unknown,Unknown,Special diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,Unknown,1.0,73.0,Yes,Yes,15.42
57,Labrador Retriever,Large,Female,8.0,Spayed,Unknown,Wet food,Iams,3.0,No,Yes,No,11.0,2.0,Unknown,1.0,43.0,Yes,Yes,27.22
58,German Shepherd,Large,Female,2.0,Spayed,Moderate,Hard food,Iams,2.0,No,No,Unknown,11.0,1.0,Unknown,4.0,45.0,Yes,Yes,34.93
59,Labrador Retriever,Large,Female,6.0,Spayed,Low,Hard food,Wellness,2.0,No,No,No,10.0,1.0,Moderate,2.0,64.0,Yes,Yes,28.12
60,Poodle,Small,Male,7.0,Neutered,Unknown,Wet food,Hill's Science,2.0,Yes,No,No,10.0,2.0,Unknown,3.0,50.0,Yes,Yes,29.94
61,Doberman,Large,Male,8.0,Neutered,Low,Special diet,Purina,3.0,Yes,No,No,12.0,2.0,Moderate,3.0,64.0,Yes,Yes,42.89
64,Labrador Retriever,Large,Female,4.0,Neutered,Very Active,Hard food,Purina,3.0,No,No,No,13.0,0.0,Active,2.0,57.0,Unknown,Yes,34.77
67,Yorkshire Terrier,Small,Male,11.0,Spayed,Low,Unknown,Iams,3.0,No,No,No,12.0,1.0,Unknown,0.0,55.0,Yes,Yes,2.5
68,Boxer,Medium,Male,5.0,Neutered,Active,Hard food,Royal Canin,2.0,Yes,No,No,12.0,3.0,Active,3.0,35.0,Yes,Yes,35.63
70,Golden Retriever,Large,Female,5.0,Spayed,Moderate,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,1.0,64.0,Yes,Yes,32.21
73,Boxer,Medium,Unknown,10.0,Unknown,Very Active,Special diet,Royal Canin,5.0,Yes,Yes,No,11.0,3.0,Active,2.0,78.0,Yes,Yes,28.46
76,Dachshund,Small,Female,10.0,Spayed,Moderate,Home cooked,Special,1.0,Yes,Yes,No,12.0,2.0,Unknown,4.0,53.0,Yes,Yes,4.72
77,Golden Retriever,Large,Female,9.0,Neutered,Unknown,Home cooked,Special,2.0,Unknown,No,No,11.0,1.0,Unknown,1.0,79.0,Yes,Yes,28.29
80,Beagle,Small,Female,6.0,Spayed,Moderate,Wet food,Unknown,3.0,No,No,No,12.0,2.0,Unknown,0.0,86.0,Yes,Yes,13.73
81,Yorkshire Terrier,Small,Unknown,2.0,Spayed,Unknown,Hard food,Nutro,1.0,No,Yes,No,10.0,3.0,Very Active,3.0,66.0,Yes,Yes,4.24
82,Bulldog,Medium,Male,11.0,Spayed,Moderate,Home cooked,Special,2.0,Unknown,No,Yes,9.0,3.0,Low,3.0,66.0,Yes,Yes,21.81
83,Boxer,Medium,Male,9.0,Unknown,Very Active,Home cooked,Special,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes,25.85
84,Rottweiler,Large,Male,11.0,Neutered,Very Active,Special diet,Iams,5.0,Yes,No,No,14.0,1.0,Moderate,1.0,75.0,Yes,Yes,50.57
85,Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,0.0,84.0,Yes,Yes,3.25
87,Dachshund,Unknown,Male,7.0,Spayed,Very Active,Home cooked,Special,2.0,Yes,Yes,No,11.0,0.0,Very Active,1.0,53.0,Yes,Yes,7.2
88,Poodle,Small,Male,1.0,Unknown,Active,Wet food,Blue Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,78.0,Yes,Yes,13.61
91,Australian Shepherd,Medium,Female,12.0,Unknown,Very Active,Special diet,Royal Canin,2.0,No,Yes,No,10.0,2.0,Active,1.0,92.0,Yes,Yes,19.5
94,Golden Retriever,Large,Male,2.0,Unknown,Low,Wet food,Pedigree,2.0,Yes,Yes,No,14.0,0.0,Moderate,1.0,58.0,Yes,Yes,26.04
95,Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,Wet food,Purina,3.0,Yes,No,No,8.0,3.0,Active,2.0,76.0,Yes,Yes,20.81
96,Australian Shepherd,Medium,Female,6.0,Neutered,Moderate,Special diet,Wellness,5.0,Yes,No,No,14.0,0.0,Active,3.0,58.0,Yes,Yes,24.04
97,Rottweiler,Large,Female,3.0,Neutered,Unknown,Wet food,Royal Canin,4.0,No,No,No,10.0,1.0,Very Active,0.0,77.0,Yes,Yes,59.57
98,German Shepherd,Large,Female,10.0,Neutered,Very Active,Wet food,Hill's Science,3.0,No,No,No,11.0,2.0,Moderate,2.0,79.0,Yes,Yes,37.12
99,Australian Shepherd,Medium,Female,4.0,Neutered,Active,Special diet,Iams,3.0,Yes,No,No,9.0,0.0,Unknown,1.0,36.0,Unknown,Yes,25.4
100,Chihuahua,Small,Female,9.0,Neutered,Low,Special diet,Purina,0.0,Yes,Yes,No,13.0,3.0,Low,1.0,31.0,Yes,Yes,3.31
101,Siberian Husky,Medium,Male,3.0,Spayed,Unknown,Special diet,Blue Buffalo,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,65.0,Yes,Yes,24.11
102,Poodle,Small,Male,5.0,Spayed,Low,Wet food,Purina,4.0,No,Yes,No,10.0,1.0,Unknown,1.0,37.0,Yes,Yes,14.97
103,Boxer,Medium,Male,5.0,Unknown,Moderate,Home cooked,Special,4.0,No,Yes,No,12.0,2.0,Unknown,2.0,50.0,Yes,Yes,25.57
104,Yorkshire Terrier,Small,Male,12.0,Unknown,Low,Special diet,Purina,2.0,Yes,No,No,11.0,4.0,Active,1.0,78.0,Yes,Yes,2.22
105,Doberman,Large,Male,10.0,Unknown,Very Active,Special diet,Unknown,3.0,Yes,Yes,No,11.0,3.0,Unknown,1.0,39.0,Yes,Yes,27.82
107,Unknown,Medium,Male,7.0,Unknown,Active,Special diet,Iams,5.0,No,No,No,11.0,2.0,Low,0.0,53.0,Yes,Yes,22.68
108,Labrador Retriever,Large,Male,2.0,Neutered,Active,Home cooked,Special,0.0,No,Yes,Unknown,10.0,1.0,Low,1.0,70.0,Yes,Yes,25.85
109,Bulldog,Medium,Female,8.0,Neutered,Moderate,Hard food,Pedigree,2.0,Yes,No,No,9.0,1.0,Unknown,2.0,77.0,Yes,Yes,22.6
110,Siberian Husky,Medium,Male,7.0,Spayed,Very Active,Special diet,Purina,3.0,No,Yes,No,12.0,1.0,Very Active,2.0,60.0,Yes,Yes,17.69
111,Chihuahua,Small,Female,8.0,Neutered,Moderate,Wet food,Royal Canin,2.0,Unknown,No,No,12.0,2.0,Very Active,0.0,94.0,Yes,Yes,1.37
112,Siberian Husky,Medium,Male,1.0,Neutered,Active,Wet food,Wellness,1.0,No,No,No,12.0,2.0,Moderate,1.0,69.0,Yes,Yes,19.56
113,Australian Shepherd,Medium,Male,5.0,Neutered,Unknown,Special diet,Purina,5.0,No,Yes,No,12.0,0.0,Active,4.0,82.0,Yes,Yes,19.5
115,Doberman,Large,Female,9.0,Spayed,Unknown,Hard food,Unknown,2.0,Yes,No,No,13.0,0.0,Very Active,1.0,58.0,Yes,Yes,35.43
116,Bulldog,Medium,Female,9.0,Spayed,Very Active,Home cooked,Special,3.0,No,Yes,No,13.0,1.0,Active,2.0,100.0,Yes,Yes,19.02
117,Great Dane,Large,Female,11.0,Spayed,Active,Home cooked,Special,1.0,No,No,No,12.0,1.0,Very Active,2.0,75.0,Yes,Yes,65.07
118,Poodle,Small,Male,8.0,Neutered,Active,Home cooked,Special,1.0,No,Yes,No,13.0,2.0,Unknown,0.0,72.0,Yes,Yes,29.94
121,Beagle,Small,Male,6.0,Spayed,Low,Home cooked,Special,2.0,Yes,No,Yes,9.0,2.0,Low,1.0,100.0,Unknown,Yes,15.6
122,Doberman,Unknown,Male,7.0,Neutered,Low,Home cooked,Special,2.0,No,No,No,10.0,2.0,Moderate,4.0,72.0,Yes,Yes,39.69
123,Labrador Retriever,Large,Female,13.0,Neutered,Unknown,Home cooked,Special,2.0,Yes,Yes,Unknown,10.0,2.0,Low,1.0,88.0,Yes,Yes,35.36
124,Yorkshire Terrier,Small,Female,1.0,Unknown,Very Active,Special diet,Hill's Science,3.0,No,Yes,No,11.0,0.0,Low,1.0,66.0,Yes,Yes,2.21
125,Beagle,Small,Male,6.0,Neutered,Moderate,Unknown,Blue Buffalo,2.0,No,No,No,14.0,1.0,Very Active,0.0,75.0,Yes,Yes,13.15
126,Yorkshire Terrier,Small,Female,10.0,Spayed,Unknown,Special diet,Royal Canin,4.0,Yes,Yes,No,13.0,3.0,Low,3.0,66.0,Yes,Yes,2.03
128,Siberian Husky,Medium,Unknown,8.0,Unknown,Active,Home cooked,Special,2.0,No,Yes,No,11.0,1.0,Unknown,2.0,54.0,Yes,Yes,26.31
129,Boxer,Medium,Male,4.0,Neutered,Moderate,Hard food,Wellness,4.0,No,Yes,No,12.0,3.0,Very Active,2.0,53.0,Yes,Yes,28.58
132,Siberian Husky,Medium,Male,4.0,Neutered,Low,Hard food,Hill's Science,3.0,No,Yes,No,12.0,0.0,Unknown,1.0,56.0,Yes,Yes,16.33
133,Labrador Retriever,Large,Male,4.0,Spayed,Active,Hard food,Purina,3.0,No,Yes,No,9.0,2.0,Moderate,1.0,67.0,Yes,Yes,32.62
135,Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,Special diet,Purina,2.0,Yes,No,No,11.0,2.0,Active,3.0,59.0,Yes,Yes,3.65
136,Unknown,Large,Female,6.0,Neutered,Moderate,Special diet,Nutro,1.0,Yes,No,No,9.0,1.0,Very Active,0.0,55.0,Yes,Yes,22.68
137,Siberian Husky,Medium,Male,4.0,Unknown,Moderate,Home cooked,Special,1.0,Yes,No,No,10.0,2.0,Unknown,0.0,42.0,Yes,Yes,21.08
138,Chihuahua,Small,Male,4.0,Spayed,Active,Wet food,Purina,0.0,No,No,No,12.0,1.0,Moderate,0.0,67.0,Yes,Yes,2.28
139,Poodle,Small,Female,3.0,Neutered,Very Active,Unknown,Nutro,2.0,Yes,No,No,12.0,1.0,Moderate,1.0,60.0,Yes,Yes,23.13
140,Labrador Retriever,Large,Male,4.0,Spayed,Active,Hard food,Purina,2.0,No,No,No,13.0,1.0,Unknown,1.0,63.0,Yes,Yes,28.83
141,German Shepherd,Large,Female,10.0,Unknown,Active,Special diet,Pedigree,4.0,No,No,Unknown,9.0,3.0,Low,0.0,58.0,Yes,Yes,22.68
142,Beagle,Small,Male,4.0,Neutered,Unknown,Hard food,Blue Buffalo,3.0,No,No,No,11.0,2.0,Moderate,1.0,68.0,Yes,Yes,9.61
144,Chihuahua,Small,Male,11.0,Unknown,Active,Special diet,Hill's Science,3.0,No,No,No,10.0,2.0,Active,0.0,74.0,Yes,Yes,3.06
146,Siberian Husky,Medium,Male,8.0,Neutered,Moderate,Special diet,Hill's Science,2.0,No,Yes,No,12.0,2.0,Active,0.0,76.0,Yes,Yes,18.6
147,Dachshund,Small,Male,2.0,Unknown,Unknown,Unknown,Purina,0.0,Yes,No,No,13.0,0.0,Unknown,1.0,57.0,Yes,Yes,5.03
148,Labrador Retriever,Large,Female,4.0,Spayed,Unknown,Special diet,Hill's Science,6.0,Yes,Yes,No,10.0,0.0,Low,1.0,48.0,Yes,Yes,32.21
149,Doberman,Large,Female,3.0,Neutered,Low,Wet food,Hill's Science,3.0,Yes,Unknown,No,14.0,0.0,Moderate,2.0,85.0,Yes,Yes,41.79
150,Yorkshire Terrier,Small,Male,3.0,Neutered,Unknown,Home cooked,Special,1.0,Yes,Yes,No,10.0,0.0,Very Active,3.0,51.0,Yes,Yes,4.29
151,Rottweiler,Large,Male,10.0,Neutered,Active,Wet food,Royal Canin,0.0,Yes,Yes,No,10.0,0.0,Active,2.0,91.0,Yes,Yes,46.53
153,Great Dane,Large,Male,3.0,Neutered,Low,Wet food,Blue Buffalo,5.0,No,No,No,9.0,2.0,Low,2.0,68.0,Yes,Yes,51.29
155,Yorkshire Terrier,Small,Female,4.0,Neutered,Unknown,Unknown,Special,7.0,No,No,Yes,8.0,0.0,Low,2.0,53.0,Yes,Yes,4.34
156,Doberman,Large,Male,9.0,Unknown,Active,Home cooked,Special,1.0,Yes,No,No,11.0,2.0,Very Active,3.0,87.0,Yes,Yes,30.6
157,Siberian Husky,Medium,Male,4.0,Neutered,Very Active,Hard food,Iams,3.0,No,No,No,13.0,2.0,Low,2.0,66.0,Yes,Yes,23.33
159,Labrador Retriever,Large,Female,6.0,Spayed,Active,Hard food,Royal Canin,1.0,No,No,No,10.0,1.0,Unknown,4.0,49.0,Yes,Yes,29.48
160,Beagle,Small,Male,11.0,Spayed,Low,Special diet,Pedigree,1.0,Yes,No,No,11.0,3.0,Low,3.0,83.0,Yes,Yes,11.02
162,Yorkshire Terrier,Small,Male,8.0,Spayed,Unknown,Special diet,Iams,2.0,Yes,Yes,No,11.0,2.0,Low,3.0,64.0,Yes,Yes,3.76
163,Siberian Husky,Medium,Female,7.0,Neutered,Active,Special diet,Wellness,0.0,Yes,No,No,12.0,1.0,Active,3.0,60.0,Yes,Yes,25.0
164,Golden Retriever,Large,Female,10.0,Spayed,Low,Special diet,Hill's Science,1.0,No,No,No,12.0,1.0,Unknown,1.0,45.0,Yes,Yes,26.76
165,Dachshund,Small,Female,4.0,Spayed,Very Active,Special diet,Nutro,3.0,Yes,Yes,No,13.0,3.0,Low,2.0,55.0,Yes,Yes,5.89
166,Siberian Husky,Medium,Male,2.0,Unknown,Active,Hard food,Iams,2.0,Yes,No,No,10.0,3.0,Unknown,0.0,69.0,Yes,Yes,24.34
168,Poodle,Small,Unknown,5.0,Spayed,Very Active,Unknown,Royal Canin,2.0,No,No,No,12.0,2.0,Very Active,2.0,64.0,Unknown,Yes,14.97
169,Labrador Retriever,Large,Female,13.0,Spayed,Moderate,Home cooked,Special,2.0,No,No,No,12.0,2.0,Low,0.0,79.0,Yes,Yes,26.31
170,German Shepherd,Large,Female,12.0,Unknown,Low,Unknown,Special,3.0,Yes,No,No,10.0,0.0,Unknown,2.0,48.0,Unknown,Yes,32.05
171,Labrador Retriever,Unknown,Female,2.0,Unknown,Moderate,Special diet,Wellness,2.0,No,No,No,10.0,3.0,Active,3.0,72.0,Yes,Yes,31.44
172,Boxer,Medium,Male,6.0,Unknown,Active,Home cooked,Special,0.0,No,No,No,9.0,3.0,Active,2.0,84.0,Yes,Yes,28.58
173,Doberman,Large,Male,2.0,Spayed,Active,Hard food,Blue Buffalo,2.0,No,Yes,No,10.0,1.0,Low,0.0,70.0,Yes,Yes,31.14
175,Boxer,Medium,Female,6.0,Spayed,Unknown,Hard food,Pedigree,2.0,Yes,No,Yes,11.0,1.0,Unknown,4.0,66.0,Yes,Yes,30.39
176,Labrador Retriever,Large,Male,7.0,Spayed,Very Active,Special diet,Blue Buffalo,1.0,No,No,No,11.0,1.0,Moderate,2.0,74.0,Yes,Yes,27.67
177,Doberman,Large,Female,2.0,Neutered,Unknown,Wet food,Hill's Science,2.0,No,Yes,No,11.0,3.0,Very Active,3.0,45.0,Yes,Yes,40.67
179,Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,Wet food,Iams,3.0,No,Yes,No,11.0,1.0,Low,2.0,49.0,Yes,Yes,19.5
180,German Shepherd,Large,Female,6.0,Spayed,Low,Special diet,Pedigree,4.0,Yes,No,No,11.0,2.0,Very Active,2.0,74.0,Yes,Yes,31.3
181,Chihuahua,Small,Female,2.0,Spayed,Active,Home cooked,Special,3.0,No,Yes,No,13.0,0.0,Moderate,2.0,57.0,Yes,Yes,3.73
182,Australian Shepherd,Medium,Male,7.0,Spayed,Active,Home cooked,Special,1.0,Yes,Yes,No,12.0,4.0,Moderate,1.0,68.0,Yes,Yes,20.76
183,Bulldog,Medium,Male,6.0,Neutered,Active,Wet food,Iams,2.0,No,Yes,No,10.0,1.0,Active,4.0,78.0,Yes,Yes,18.7
186,Siberian Husky,Medium,Female,7.0,Neutered,Very Active,Wet food,Wellness,3.0,Yes,No,No,11.0,0.0,Moderate,0.0,61.0,Yes,Yes,16.18
187,Australian Shepherd,Medium,Male,2.0,Unknown,Moderate,Home cooked,Special,4.0,Yes,Yes,No,12.0,1.0,Unknown,1.0,75.0,Yes,Yes,19.96
188,Rottweiler,Large,Female,5.0,Unknown,Very Active,Hard food,Hill's Science,3.0,Yes,No,No,13.0,3.0,Low,2.0,69.0,Yes,Yes,58.2
189,Doberman,Large,Male,11.0,Unknown,Very Active,Home cooked,Special,3.0,No,No,No,11.0,2.0,Active,4.0,70.0,Yes,Yes,33.11
191,Siberian Husky,Medium,Female,6.0,Spayed,Low,Special diet,Wellness,4.0,No,No,No,12.0,2.0,Unknown,2.0,80.0,Yes,Yes,21.97
193,Rottweiler,Large,Female,3.0,Spayed,Unknown,Hard food,Royal Canin,3.0,Yes,Yes,No,11.0,1.0,Very Active,1.0,75.0,Unknown,Yes,38.06
195,Beagle,Small,Male,8.0,Neutered,Unknown,Wet food,Blue Buffalo,3.0,No,Yes,No,11.0,0.0,Unknown,2.0,75.0,Yes,Yes,14.51
196,Siberian Husky,Medium,Male,13.0,Spayed,Very Active,Home cooked,Special,1.0,Yes,No,No,14.0,2.0,Unknown,4.0,73.0,Yes,Yes,17.24
197,Chihuahua,Small,Male,8.0,Spayed,Low,Home cooked,Special,3.0,Yes,Yes,No,9.0,3.0,Very Active,2.0,45.0,Yes,Yes,1.76
198,Doberman,Large,Female,8.0,Spayed,Low,Wet food,Royal Canin,1.0,No,No,Unknown,10.0,2.0,Very Active,2.0,55.0,Yes,Yes,36.29
200,Australian Shepherd,Medium,Female,11.0,Unknown,Very Active,Home cooked,Unknown,2.0,No,No,No,10.0,3.0,Low,2.0,45.0,Yes,Yes,27.67
201,Great Dane,Large,Female,4.0,Unknown,Low,Home cooked,Special,0.0,Yes,No,No,11.0,2.0,Moderate,2.0,83.0,Yes,Yes,60.07
202,Bulldog,Medium,Female,12.0,Neutered,Moderate,Special diet,Hill's Science,2.0,No,No,No,12.0,2.0,Unknown,3.0,75.0,Yes,Yes,20.41
203,Rottweiler,Large,Male,6.0,Neutered,Unknown,Special diet,Iams,1.0,Yes,Yes,No,12.0,2.0,Low,1.0,71.0,Yes,Yes,45.04
204,Siberian Husky,Medium,Female,5.0,Spayed,Unknown,Hard food,Hill's Science,1.0,Yes,Yes,No,11.0,2.0,Low,2.0,83.0,Yes,Yes,19.05
206,Boxer,Medium,Female,7.0,Spayed,Moderate,Wet food,Blue Buffalo,2.0,Yes,No,No,10.0,2.0,Active,1.0,46.0,Yes,Yes,34.57
207,German Shepherd,Large,Female,5.0,Unknown,Unknown,Wet food,Hill's Science,3.0,No,No,No,10.0,1.0,Moderate,3.0,64.0,Yes,Yes,23.18
208,Beagle,Small,Male,3.0,Unknown,Moderate,Home cooked,Special,1.0,No,No,No,9.0,1.0,Active,3.0,64.0,Yes,Yes,12.42
210,Great Dane,Large,Male,9.0,Neutered,Moderate,Special diet,Hill's Science,5.0,Yes,No,No,13.0,2.0,Very Active,2.0,64.0,Yes,Yes,45.27
211,German Shepherd,Large,Male,8.0,Neutered,Very Active,Wet food,Royal Canin,4.0,No,Yes,No,9.0,3.0,Active,1.0,91.0,Yes,Yes,29.94
213,Boxer,Medium,Female,1.0,Spayed,Moderate,Special diet,Hill's Science,2.0,Unknown,No,No,10.0,3.0,Very Active,0.0,64.0,Yes,Yes,29.48
216,Poodle,Small,Female,6.0,Spayed,Moderate,Special diet,Wellness,3.0,Unknown,No,No,11.0,2.0,Very Active,1.0,71.0,Yes,Yes,27.22
218,Unknown,Large,Male,8.0,Spayed,Moderate,Wet food,Nutro,5.0,No,Yes,No,11.0,1.0,Low,1.0,50.0,Yes,Yes,22.23
221,Labrador Retriever,Large,Male,10.0,Spayed,Very Active,Home cooked,Special,3.0,Yes,No,No,9.0,1.0,Moderate,2.0,70.0,Yes,Yes,35.61
222,German Shepherd,Large,Female,6.0,Unknown,Very Active,Home cooked,Special,2.0,No,No,No,10.0,0.0,Moderate,1.0,62.0,Yes,Yes,29.63
223,Dachshund,Small,Male,7.0,Unknown,Active,Home cooked,Special,2.0,Yes,Yes,No,10.0,1.0,Unknown,3.0,64.0,Yes,Yes,6.17
226,Siberian Husky,Medium,Male,1.0,Unknown,Active,Hard food,Nutro,4.0,Yes,Yes,No,10.0,2.0,Active,3.0,43.0,Yes,Yes,23.59
227,Rottweiler,Large,Male,9.0,Spayed,Low,Home cooked,Special,2.0,No,No,No,12.0,1.0,Active,0.0,55.0,Yes,Yes,39.53
229,Golden Retriever,Large,Female,1.0,Neutered,Active,Wet food,Pedigree,1.0,No,No,No,12.0,2.0,Very Active,2.0,77.0,Yes,Yes,31.53
230,Yorkshire Terrier,Small,Female,1.0,Unknown,Active,Home cooked,Special,1.0,No,Yes,No,10.0,2.0,Active,3.0,100.0,Yes,Yes,4.53
231,Australian Shepherd,Medium,Male,3.0,Neutered,Moderate,Wet food,Royal Canin,3.0,Yes,Yes,No,10.0,2.0,Low,1.0,90.0,Yes,Yes,26.76
232,Doberman,Large,Male,11.0,Unknown,Active,Special diet,Wellness,1.0,No,No,No,11.0,0.0,Active,1.0,61.0,Yes,Yes,42.11
234,Bulldog,Medium,Female,7.0,Neutered,Active,Home cooked,Special,1.0,Yes,Yes,No,10.0,1.0,Moderate,1.0,50.0,Yes,Yes,18.23
235,Great Dane,Large,Unknown,12.0,Spayed,Moderate,Special diet,Hill's Science,2.0,No,Yes,Unknown,10.0,1.0,Very Active,1.0,75.0,Yes,Yes,51.89
236,Dachshund,Small,Female,4.0,Spayed,Active,Special diet,Royal Canin,4.0,Yes,No,No,12.0,3.0,Active,1.0,62.0,Yes,Yes,6.34
238,German Shepherd,Large,Female,3.0,Neutered,Low,Home cooked,Special,2.0,No,Yes,No,10.0,1.0,Unknown,0.0,86.0,Yes,Yes,26.76
